"Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"Erythrura hyperythra","Estrildidae","Passeriformes","4","2","2","0","4","11.3","7.8","5.4","6.6","15.8","56.1","12.9","43.2","23.1","36.4","11.0","Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Granivore","Insessorial","-9.05","18.54","0.74","118.15","294579.35","Extant"
"Erythrura kleinschmidti","Estrildidae","Passeriformes","2","1","1","0","2","16.2","11.8","7.3","8.4","20.8","61.5","11.6","49.8","18.9","35.8","21.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-18.27","-17.43","-17.92","178.23","4811.61","Extant"
"Erythrura papuana","Estrildidae","Passeriformes","4","2","2","0","4","15.1","10.4","7.4","9.2","18.9","65.8","15.2","50.6","23.0","53.5","19.4","Dunning","NA","NO","NA","NA","Forest","2","1","Herbivore","Omnivore","Insessorial","-10.36","-0.34","-5.62","142.47","180233.84","Extant"
"Erythrura pealii","Estrildidae","Passeriformes","5","2","3","0","4","12.6","8.5","5.9","7.8","16.6","57.9","10.9","46.2","19.0","36.4","12.0","Updated_literature","BoW","NO","NA","NA","Forest","3","1","Herbivore","Frugivore","Insessorial","-19.18","-16.15","-17.43","172.02","17012.69","Extant"
"Erythrura prasina","Estrildidae","Passeriformes","5","2","3","0","4","13.6","9.6","6.8","7.4","14.0","56.3","13.9","43.0","24.4","56.6","14.7","Updated_literature","BoW","NO","NA","NA","Forest","2","1","Herbivore","Granivore","Insessorial","-8.78","20.86","1.64","108.07","1585424.03","Extant"
"Erythrura psittacea","Estrildidae","Passeriformes","5","1","4","0","4","11.7","8.0","5.5","7.1","17.5","56.2","9.7","46.3","17.3","51.8","11.5","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Omnivore","Generalist","-22.67","-20.09","-21.34","165.50","16520.55","Extant"
"Erythrura regia","Estrildidae","Passeriformes","5","2","3","0","4","14.2","9.6","6.1","9.2","17.7","61.8","13.2","48.8","21.2","37.6","13.2","Updated_literature","Dunning (2021)","NO","NA","NA","Forest","2","1","Herbivore","Frugivore","Insessorial","-17.83","-14.63","-15.78","167.24","5413.86","Extant"
"Erythrura trichroa","Estrildidae","Passeriformes","10","5","5","0","4","14.0","9.3","6.2","7.6","17.1","58.5","13.4","46.5","22.4","49.1","14.4","Dunning","NA","NO","NA","NA","Forest","2","1","Herbivore","Granivore","Insessorial","-21.66","9.77","-4.48","137.17","858792.10","Extant"
"Erythrura tricolor","Estrildidae","Passeriformes","5","1","4","0","4","11.8","8.5","5.2","6.9","16.2","52.8","8.6","44.0","16.3","36.6","11.0","Updated_literature","BoW","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Generalist","-10.37","-7.07","-8.93","125.97","36517.84","Extant"
"Erythrura viridifacies","Estrildidae","Passeriformes","4","0","3","1","4","12.7","8.2","5.4","6.5","13.8","56.4","15.2","41.1","27.0","50.2","12.6","Updated_literature","BoW","NO","NA","NA","Forest","2","1","Herbivore","Granivore","Insessorial","9.95","18.65","15.89","121.44","106324.25","Extant"
"Estrilda astrild","Estrildidae","Passeriformes","13","4","5","4","4","9.7","7.3","4.8","5.9","13.6","46.6","8.0","39.4","16.8","49.3","8.3","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-34.84","13.91","-11.11","27.22","5902588.40","Extant"
"Estrilda atricapilla","Estrildidae","Passeriformes","5","2","3","0","4","9.9","6.9","4.5","6.1","14.5","45.9","9.0","36.8","19.7","48.4","7.8","Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Granivore","Generalist","-7.78","5.11","-0.33","19.91","665104.34","Extant"
"Estrilda caerulescens","Estrildidae","Passeriformes","4","2","2","0","4","10.2","7.5","4.4","5.4","14.7","50.6","6.2","44.5","12.2","42.5","9.4","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Generalist","7.33","16.23","10.85","1.33","1681468.53","Extant"
"Estrilda charmosyna","Estrildidae","Passeriformes","4","2","2","0","4","10.3","7.2","4.3","5.5","13.9","52.2","8.6","43.6","16.6","59.5","7.4","Dunning","NA","NO","NA","NA","Shrubland","3","1","Herbivore","Granivore","Generalist","-4.23","11.25","3.27","38.99","748636.98","Extant"
"Estrilda erythronotos","Estrildidae","Passeriformes","4","2","2","0","4","9.9","7.8","4.4","5.1","14.6","52.6","9.3","43.3","17.8","61.0","9.2","Dunning","NA","NO","NA","NA","Shrubland","3","1","Herbivore","Granivore","Generalist","-30.51","11.25","-12.02","29.63","2061043.73","Extant"
"Estrilda kandti","Estrildidae","Passeriformes","8","3","5","0","7","9.4","6.6","4.5","5.6","16.7","44.3","5.0","39.2","11.4","45.8","8.0","Updated_literature","BoW","NO","NA","NA","NA","2","1","Herbivore","Granivore","Generalist","-5.40","1.41","-1.57","29.92","113134.74","Extant"
"Estrilda melanotis","Estrildidae","Passeriformes","5","2","3","0","4","9.1","6.7","4.6","5.5","14.2","48.0","8.8","39.1","18.4","36.6","6.5","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Generalist","-34.62","-9.58","-25.44","25.17","380944.04","Extant"
"Estrilda melpoda","Estrildidae","Passeriformes","6","2","3","1","5","9.8","6.8","4.3","5.9","14.2","45.9","8.0","38.5","17.3","46.5","7.6","Dunning","NA","NO","NA","NA","Grassland","3","1","Omnivore","Granivore","Generalist","-11.53","18.23","2.90","9.70","3732329.06","Extant"
"Estrilda nigriloris","Estrildidae","Passeriformes","1","0","1","0","1","8.8","5.7","4.2","5.3","13.2","45.5","7.9","37.6","17.4","49.0","7.5","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-10.46","-8.28","-9.32","25.65","28361.75","Extant"
"Estrilda nonnula","Estrildidae","Passeriformes","9","4","5","0","4","9.4","7.0","4.3","5.8","14.9","48.3","7.9","40.4","16.3","46.8","7.7","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-4.61","8.84","2.58","22.21","1215103.10","Extant"
"Estrilda paludicola","Estrildidae","Passeriformes","6","3","3","0","5","8.7","6.3","4.2","5.4","14.8","47.3","8.3","38.9","17.5","47.8","7.6","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-15.88","14.40","-2.12","28.09","1983230.35","Extant"
"Estrilda perreini","Estrildidae","Passeriformes","15","2","3","10","14","9.9","7.4","4.6","5.6","15.1","48.6","4.3","44.1","9.0","47.3","7.4","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Generalist","-31.29","-2.20","-12.06","24.92","1035934.15","Extant"
"Estrilda poliopareia","Estrildidae","Passeriformes","5","2","3","0","4","9.6","6.7","4.3","6.1","15.1","47.4","9.4","37.9","19.9","40.4","7.5","EltonTraits_GenAvg","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Insessorial","4.28","7.40","5.64","6.08","43938.47","Extant"
"Estrilda quartinia","Estrildidae","Passeriformes","9","4","5","0","4","8.7","6.3","4.2","5.0","13.0","46.8","7.7","39.0","16.6","36.9","6.7","Dunning","NA","NO","NA","NA","Shrubland","2","1","Omnivore","Granivore","Generalist","-21.15","14.85","-0.47","35.35","676732.96","Extant"
"Estrilda rhodopyga","Estrildidae","Passeriformes","5","2","3","0","4","10.0","7.2","4.4","5.1","13.3","46.9","8.8","38.1","18.7","45.4","7.7","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-11.15","18.74","4.75","37.60","1232056.42","Extant"
"Estrilda rufibarba","Estrildidae","Passeriformes","4","2","2","0","4","9.9","7.3","4.3","5.2","15.0","47.6","9.2","38.5","19.2","46.5","8.5","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Generalist","13.00","18.63","15.29","44.69","86115.99","Extant"
"Estrilda thomensis","Estrildidae","Passeriformes","3","2","1","0","3","9.6","6.7","4.4","5.0","13.9","51.6","7.4","44.2","14.4","50.3","7.6","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Insessorial","-17.56","-9.34","-14.49","13.78","87604.65","Extant"
"Estrilda troglodytes","Estrildidae","Passeriformes","6","3","3","0","4","9.5","6.4","4.3","5.0","13.1","50.3","10.4","40.4","20.0","43.2","7.6","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Generalist","-0.40","18.61","11.25","12.92","1962649.25","Extant"
"Euschistospiza cinereovinacea","Estrildidae","Passeriformes","4","2","2","0","4","10.7","7.7","4.6","5.5","14.9","52.2","4.5","47.8","8.6","50.2","12.0","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Terrestrial","-15.08","-0.37","-8.95","19.41","143514.59","Extant"
"Euschistospiza dybowskii","Estrildidae","Passeriformes","4","2","2","0","4","11.2","8.3","4.8","5.7","15.1","52.2","4.9","47.3","9.4","45.8","13.4","Dunning","NA","NO","NA","NA","Grassland","2","1","Omnivore","Granivore","Terrestrial","1.85","12.64","6.67","12.58","776838.25","Extant"
"Heteromunia pectoralis","Estrildidae","Passeriformes","8","4","4","0","4","13.5","9.5","6.6","7.1","14.5","58.8","12.8","46.6","21.5","40.2","15.2","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Terrestrial","-23.35","-12.04","-18.09","133.17","1302318.41","Extant"
"Hypargos margaritatus","Estrildidae","Passeriformes","5","2","3","0","3","10.9","7.9","4.8","6.3","15.3","52.0","6.5","45.3","12.5","48.8","12.8","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Terrestrial","-28.69","-20.81","-24.44","32.81","155741.30","Extant"
"Hypargos niveoguttatus","Estrildidae","Passeriformes","8","3","5","0","7","12.3","9.1","5.8","6.7","16.8","54.9","5.7","49.1","10.5","52.0","14.6","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Terrestrial","-25.25","-1.13","-12.41","31.63","1748989.03","Extant"
"Lagonosticta landanae","Estrildidae","Passeriformes","5","2","3","0","4","10.4","7.2","4.4","5.8","13.6","47.8","5.7","42.1","11.8","39.6","10.1","Dunning","NA","NO","NA","NA","Woodland","3","1","Herbivore","Granivore","Terrestrial","NA","NA","NA","NA","NA","Extant"
"Lagonosticta larvata","Estrildidae","Passeriformes","9","4","5","0","8","10.6","8.1","4.7","5.8","12.8","50.8","7.6","43.3","14.9","44.7","9.9","Dunning","NA","NO","NA","NA","Woodland","3","1","Herbivore","Granivore","Terrestrial","0.95","14.72","9.09","12.52","2442628.46","Extant"
"Lagonosticta nitidula","Estrildidae","Passeriformes","4","2","2","0","4","10.3","7.3","4.7","5.9","14.2","52.0","5.5","46.5","10.4","41.0","10.7","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Terrestrial","-20.94","-2.94","-12.71","23.19","1509814.09","Extant"
"Lagonosticta rara","Estrildidae","Passeriformes","4","2","2","0","4","10.0","7.2","4.4","5.3","13.9","49.5","4.3","45.2","8.7","40.8","10.4","Dunning","NA","NO","NA","NA","Grassland","3","1","Omnivore","Granivore","Terrestrial","0.04","13.90","7.64","10.65","2433099.84","Extant"
"Lagonosticta rhodopareia","Estrildidae","Passeriformes","22","9","10","3","17","10.2","7.3","4.6","5.2","13.6","48.4","3.6","44.6","7.4","42.3","9.3","Dunning","NA","NO","NA","NA","Shrubland","3","1","Herbivore","Granivore","Terrestrial","-27.82","9.71","-13.67","29.97","2706237.28","Extant"
"Lagonosticta rubricata","Estrildidae","Passeriformes","4","2","2","0","4","10.3","7.7","4.6","5.2","13.9","48.5","5.6","42.9","11.6","44.2","10.2","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Terrestrial","NA","NA","NA","NA","NA","Extant"
"Lagonosticta rufopicta","Estrildidae","Passeriformes","5","2","3","0","4","10.2","7.2","4.3","5.5","13.0","49.0","6.3","43.2","12.8","38.8","9.3","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Terrestrial","-2.87","15.03","8.22","10.85","3308898.34","Extant"
"Lagonosticta sanguinodorsalis","Estrildidae","Passeriformes","0","0","0","0","0","12.8","8.8","4.6","5.1","13.4","50.2","4.1","46.1","8.2","40.0","11.4","Dunning","NA","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Lagonosticta umbrinodorsalis","Rock","3","1","Herbivore","Granivore","Terrestrial","9.05","11.20","10.09","11.83","28120.62","Extant"
"Lagonosticta senegala","Estrildidae","Passeriformes","14","5","8","1","10","9.1","6.3","4.0","5.0","12.3","48.8","6.8","42.0","13.9","36.9","9.2","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Terrestrial","-34.01","20.23","0.34","21.51","10024700.97","Extant"
"Lagonosticta umbrinodorsalis","Estrildidae","Passeriformes","4","1","3","0","4","12.8","8.8","4.6","5.1","13.4","50.2","4.1","46.1","8.2","40.0","10.6","EltonTraits_Model","NA","NO","NA","NA","Rock","3","1","Herbivore","Granivore","Terrestrial","7.50","8.97","8.28","15.19","42139.72","Extant"
"Lagonosticta virata","Estrildidae","Passeriformes","5","2","3","0","4","11.2","8.3","4.2","5.1","14.5","49.0","3.9","45.1","8.0","41.4","9.3","Dunning","NA","NO","NA","NA","Shrubland","3","1","Herbivore","Granivore","Terrestrial","10.71","15.30","13.18","-7.32","110944.97","Extant"
"Lonchura atricapilla","Estrildidae","Passeriformes","24","5","4","15","4","11.3","8.3","6.5","7.4","15.0","51.7","9.6","40.9","19.0","33.5","12.4","EltonTraits_Other","NA","NO","NA","NA","Wetland","3","1","Herbivore","Granivore","Generalist","-6.41","28.46","13.42","104.10","4115354.57","Extant"
"Lonchura bicolor","Estrildidae","Passeriformes","13","6","7","0","4","10.4","8.4","5.7","7.2","12.4","48.7","10.3","38.3","21.3","33.3","9.9","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Insessorial","NA","NA","NA","NA","NA","Extant"
"Lonchura caniceps","Estrildidae","Passeriformes","5","1","1","3","4","10.8","7.4","5.6","6.9","14.7","48.6","10.2","38.3","21.0","38.6","11.5","Updated_literature","BoW","NO","NA","NA","Wetland","3","1","Herbivore","Granivore","Generalist","-10.21","-6.72","-8.88","147.65","45326.56","Extant"
"Lonchura cantans","Estrildidae","Passeriformes","5","2","3","0","4","10.9","8.3","6.3","7.3","14.9","53.6","12.7","40.9","23.6","47.8","12.0","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Terrestrial","-7.38","23.24","12.33","20.25","3802164.53","Extant"
"Lonchura castaneothorax","Estrildidae","Passeriformes","9","4","4","1","5","12.1","8.6","7.1","7.7","15.2","53.7","13.8","39.6","25.8","37.9","13.6","Dunning","NA","NO","NA","NA","Wetland","3","1","Herbivore","Granivore","Generalist","-34.18","-2.60","-19.89","142.27","1850435.67","Extant"
"Lonchura cucullata","Estrildidae","Passeriformes","21","8","8","5","8","9.6","6.9","5.2","6.3","12.7","48.4","10.4","38.1","21.4","31.3","9.0","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Terrestrial","-34.05","15.69","-3.72","21.48","8668523.94","Extant"
"Lonchura ferruginosa","Estrildidae","Passeriformes","4","1","3","0","4","12.1","8.6","6.4","7.8","15.2","52.1","10.6","41.6","20.2","37.8","13.0","Dunning","NA","NO","NA","NA","NA","3","1","Herbivore","Granivore","Insessorial","-8.85","-5.87","-7.33","110.27","136361.23","Extant"
"Lonchura flaviprymna","Estrildidae","Passeriformes","8","3","5","0","2","11.6","8.7","6.6","7.9","15.6","54.2","13.0","39.5","24.8","34.5","11.8","Dunning","NA","NO","NA","NA","Wetland","3","1","Herbivore","Granivore","Generalist","-16.99","-12.03","-15.06","130.71","117098.74","Extant"
"Lonchura forbesi","Estrildidae","Passeriformes","4","1","3","0","3","14.4","10.2","8.0","9.6","15.9","50.8","11.1","38.9","22.3","39.5","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-4.85","-2.56","-3.85","152.38","6311.21","Extant"
"Lonchura fringilloides","Estrildidae","Passeriformes","5","2","3","0","4","17.0","12.2","7.6","8.9","13.7","56.9","14.8","42.3","25.9","37.0","16.8","Dunning","NA","NO","NA","NA","Forest","2","1","Herbivore","Granivore","Insessorial","-30.91","13.67","-4.08","21.22","1503708.26","Extant"
"Lonchura fuscans","Estrildidae","Passeriformes","6","2","3","1","4","11.4","7.9","6.0","7.8","13.6","49.5","8.4","40.8","17.1","38.0","9.5","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Insessorial","-4.19","7.36","0.88","114.20","737265.04","Extant"
"Lonchura grandis","Estrildidae","Passeriformes","4","3","0","1","4","13.6","10.1","7.6","9.8","15.9","50.6","11.1","39.5","22.0","40.4","14.3","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Insessorial","-10.70","-1.47","-5.25","143.61","256441.10","Extant"
"Lonchura griseicapilla","Estrildidae","Passeriformes","5","2","3","0","4","11.0","8.2","6.3","8.0","15.6","59.9","12.8","47.1","21.3","46.5","15.0","Updated_literature","BoW","NO","NA","NA","Shrubland","3","1","Herbivore","Granivore","Terrestrial","-9.06","6.15","-1.77","36.19","430770.23","Extant"
"Lonchura hunsteini","Estrildidae","Passeriformes","4","3","1","0","4","10.5","7.5","6.8","7.0","15.0","47.2","9.5","37.8","20.1","34.0","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","NA","NA","NA","NA","NA","Extant"
"Lonchura kelaarti","Estrildidae","Passeriformes","10","2","8","0","10","13.6","9.0","7.0","7.7","14.4","54.2","13.0","41.2","24.0","38.6","14.1","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Insessorial","6.02","20.36","13.12","79.06","139953.15","Extant"
"Lonchura leucogastra","Estrildidae","Passeriformes","6","2","3","1","4","14.1","9.3","7.0","8.2","13.8","50.0","9.8","40.4","19.7","34.2","11.4","Dunning","NA","NO","NA","NA","Forest","2","1","Herbivore","Granivore","Generalist","-7.11","19.58","2.81","111.28","1481477.60","Extant"
"Lonchura leucogastroides","Estrildidae","Passeriformes","5","2","3","0","4","11.4","7.7","5.9","7.4","13.7","48.3","9.9","38.5","20.4","41.6","11.7","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-8.96","-3.32","-6.49","108.60","198034.91","Extant"
"Lonchura leucosticta","Estrildidae","Passeriformes","1","0","1","0","1","11.9","8.8","5.9","6.7","13.0","48.0","9.9","38.1","20.6","44.0","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-9.58","-5.05","-7.45","140.83","170094.55","Extant"
"Lonchura maja","Estrildidae","Passeriformes","5","2","3","0","4","12.1","8.5","6.6","7.7","15.4","53.6","12.1","41.1","22.7","36.2","12.5","Dunning","NA","NO","NA","NA","Wetland","3","1","Herbivore","Granivore","Generalist","-8.78","11.23","-0.06","103.23","768204.30","Extant"
"Lonchura malabarica","Estrildidae","Passeriformes","5","2","3","0","4","10.3","8.2","6.4","7.0","13.5","54.3","12.6","41.6","23.2","52.4","12.0","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Terrestrial","5.92","35.13","23.36","75.36","3311814.33","Extant"
"Lonchura malacca","Estrildidae","Passeriformes","8","2","3","3","4","12.2","8.3","7.0","8.1","17.1","54.7","13.6","42.0","24.4","37.8","12.6","Dunning","NA","NO","NA","NA","Wetland","3","1","Herbivore","Granivore","Insessorial","5.92","24.56","17.61","79.15","573511.14","Extant"
"Lonchura melaena","Estrildidae","Passeriformes","3","1","0","2","3","15.1","10.9","9.1","10.6","16.3","54.8","12.1","42.7","22.1","41.7","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-5.78","-2.55","-4.94","151.31","12280.03","Extant"
"Lonchura molucca","Estrildidae","Passeriformes","107","10","3","94","4","11.0","7.8","5.7","6.3","13.4","51.1","11.1","38.3","22.4","37.4","12.0","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-10.94","4.55","-3.78","122.67","313163.12","Extant"
"Lonchura montana","Estrildidae","Passeriformes","1","0","1","0","1","12.2","9.2","5.9","7.7","17.7","64.5","13.6","50.9","21.1","43.0","15.5","Updated_literature","Dunning (2021)","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-5.36","-3.39","-4.29","139.30","23554.74","Extant"
"Lonchura monticola","Estrildidae","Passeriformes","2","0","0","2","1","11.6","8.3","6.7","7.7","17.2","63.0","12.0","51.0","19.0","46.0","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Insessorial","-9.57","-7.77","-8.53","147.37","5354.89","Extant"
"Lonchura nana","Estrildidae","Passeriformes","5","2","3","0","4","9.2","6.4","5.1","6.3","12.2","44.9","7.8","37.6","17.2","37.2","8.2","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Generalist","-25.61","-11.95","-19.39","46.70","590836.07","Extant"
"Lonchura nevermanni","Estrildidae","Passeriformes","4","1","3","0","4","12.5","8.2","6.7","7.8","14.9","50.6","10.9","39.7","21.6","36.5","11.0","Dunning","NA","NO","NA","NA","Wetland","3","1","Herbivore","Granivore","Insessorial","-9.33","-7.19","-8.19","141.43","74957.63","Extant"
"Lonchura nigerrima","Estrildidae","Passeriformes","1","0","1","0","1","12.4","8.1","5.7","7.2","14.3","47.0","6.6","40.4","14.0","34.0","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-2.68","-2.36","-2.53","150.23","1216.77","Extant"
"Lonchura nigriceps","Estrildidae","Passeriformes","5","2","3","0","4","10.9","7.7","5.6","6.6","12.6","47.6","11.2","36.3","23.4","33.9","9.9","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Insessorial","NA","NA","NA","NA","NA","Extant"
"Lonchura pallida","Estrildidae","Passeriformes","9","3","3","3","7","11.7","8.4","6.8","7.7","14.7","52.1","12.3","39.6","23.8","34.7","12.0","Updated_literature","BoW","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Generalist","-10.94","0.00","-5.21","121.29","226245.63","Extant"
"Lonchura punctulata","Estrildidae","Passeriformes","31","4","9","18","12","11.8","8.8","6.7","7.5","14.0","52.6","11.9","42.4","22.0","39.0","13.6","Dunning","NA","NO","NA","NA","Grassland","2","1","Herbivore","Granivore","Generalist","-10.94","35.69","18.70","96.89","7189322.58","Extant"
"Lonchura quinticolor","Estrildidae","Passeriformes","5","2","1","2","5","13.5","9.3","7.0","8.0","15.8","54.5","12.6","41.9","23.0","39.8","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Shrubland","3","1","Herbivore","Granivore","Insessorial","-10.94","-6.66","-8.89","122.46","86198.60","Extant"
"Lonchura spectabilis","Estrildidae","Passeriformes","5","2","3","0","4","11.5","7.9","5.9","7.5","15.0","49.1","10.8","38.4","21.9","33.6","11.5","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-8.15","-2.31","-5.02","144.51","214041.33","Extant"
"Lonchura striata","Estrildidae","Passeriformes","13","8","5","0","12","12.0","8.3","6.7","7.8","13.1","50.7","10.6","40.1","20.9","39.8","12.3","Dunning","NA","NO","NA","NA","Shrubland","3","1","Herbivore","Granivore","Insessorial","-5.95","31.83","19.24","100.40","5429668.12","Extant"
"Lonchura stygia","Estrildidae","Passeriformes","3","1","2","0","3","11.9","8.3","6.7","8.0","15.3","51.2","10.4","40.7","20.4","37.0","11.2","Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Insessorial","-8.59","-6.06","-7.77","140.77","18694.09","Extant"
"Lonchura teerinki","Estrildidae","Passeriformes","1","0","1","0","1","11.2","7.7","6.5","7.6","16.5","49.5","8.5","41.0","17.2","39.5","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Insessorial","-4.78","-3.24","-3.95","139.07","16481.57","Extant"
"Lonchura tristissima","Estrildidae","Passeriformes","4","2","2","0","4","11.0","7.4","5.8","6.6","13.2","49.4","11.9","37.5","24.1","38.4","8.8","Dunning","NA","NO","NA","NA","Forest","2","1","Herbivore","Granivore","Generalist","-9.82","-0.34","-4.44","140.56","434281.56","Extant"
"Lonchura vana","Estrildidae","Passeriformes","1","0","1","0","1","9.5","6.7","5.8","6.9","10.9","49.0","7.8","41.2","15.9","36.0","13.3","EltonTraits_GenAvg","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Generalist","-1.40","-0.64","-0.69","132.87","29.06","Extant"
"Mandingoa nitidula","Estrildidae","Passeriformes","13","7","5","1","9","10.2","7.2","4.6","5.0","14.1","50.5","9.7","39.9","19.6","33.6","9.6","Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Granivore","Terrestrial","-32.50","9.73","-4.31","23.35","1540214.12","Extant"
"Neochmia modesta","Estrildidae","Passeriformes","9","5","4","0","4","10.5","7.3","5.8","6.5","14.6","55.9","13.9","42.6","24.6","49.2","12.7","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Terrestrial","-34.29","-14.72","-25.33","146.66","1594602.22","Extant"
"Neochmia phaeton","Estrildidae","Passeriformes","9","4","5","0","4","11.8","8.1","5.7","7.1","15.1","50.7","6.9","44.0","13.6","61.8","10.0","Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Generalist","-22.97","-2.32","-15.75","134.76","1189934.82","Extant"
"Neochmia ruficauda","Estrildidae","Passeriformes","9","4","5","0","4","11.6","8.2","5.5","6.4","13.9","50.9","10.7","39.5","21.3","43.6","11.1","Dunning","NA","NO","NA","NA","Wetland","3","1","Herbivore","Granivore","Terrestrial","-26.85","-10.69","-17.70","127.54","1106611.40","Extant"
"Neochmia temporalis","Estrildidae","Passeriformes","15","7","8","0","4","10.8","7.6","5.3","6.3","15.3","52.0","11.2","42.0","21.1","48.4","11.4","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Terrestrial","-39.48","-11.00","-29.52","147.61","1074490.65","Extant"
"Nesocharis ansorgei","Estrildidae","Passeriformes","1","0","1","0","1","10.6","7.1","5.2","6.0","13.6","48.0","9.0","39.0","18.8","39.0","8.4","Dunning","NA","NO","NA","NA","Forest","2","1","Herbivore","Granivore","Insessorial","-8.88","2.03","-1.64","28.50","157481.36","Extant"
"Nesocharis capistrata","Estrildidae","Passeriformes","5","2","3","0","4","10.4","7.4","5.2","6.2","15.8","55.2","6.4","47.6","11.8","44.4","11.6","Dunning","NA","NO","NA","NA","Woodland","2","1","Herbivore","Granivore","Insessorial","0.27","13.57","6.71","14.60","976089.61","Extant"
