Species Temperature
Clupea_harengus 11
Clupea_harengus 9
Clupea_harengus 13.1
Clupea_harengus 9
Clupea_harengus 9
Clupea_harengus 9
Clupea_harengus 13
Clupea_harengus 9
Clupea_harengus 10
Clupea_harengus 10.3
Clupea_harengus 10.9
Clupea_harengus 9.5
Clupea_harengus 8.2
Clupea_harengus 9
Clupea_harengus 9
Clupea_harengus 9.1
Clupea_harengus 8.8
Clupea_harengus 11.4
Clupea_harengus 12.1
Clupea_harengus 9.1
Clupea_harengus 9
Clupea_harengus 9.6
Clupea_harengus 6.2
Clupea_harengus 10.1
Clupea_harengus 9.8
Clupea_harengus 9.7
Clupea_harengus 10.1
Clupea_harengus 10.5
Clupea_harengus 9.6
Clupea_harengus 10
Clupea_harengus 11.2
Clupea_harengus 6
Clupea_harengus 10
Clupea_harengus 6
Clupea_harengus 9.5
Clupea_harengus 9
Clupea_harengus 8
Clupea_harengus 6
Clupea_harengus 6.5
Clupea_harengus 6
Clupea_harengus 8
Clupea_harengus 6.4
Clupea_harengus 8
Clupea_harengus 8.2
Clupea_harengus 4.7
Clupea_harengus 6
Clupea_harengus 4.7
Clupea_pallasii_pallasii 18
Clupea_pallasii_pallasii 10
Clupea_pallasii_pallasii 7
Clupea_pallasii_pallasii 10
Clupea_pallasii_pallasii 4.4
Clupea_pallasii_pallasii 15
Clupea_pallasii_pallasii 4
Clupea_pallasii_pallasii 12
Clupeonella_cultriventris 13.6
Clupeonella_engrauliformis 12
Clupeonella_grimmi 12
Cobitis_taenia 9
Cobitis_taenia 9
Cobitis_turcica 12.5
Coelorinchus_caelorhincus 14
Coelorinchus_caelorhincus 14
Coilia_dussumieri 27
Coilia_dussumieri 27
Coilia_dussumieri 27
Coilia_dussumieri 27
Coilia_dussumieri 27
Coilia_dussumieri 27
Coilia_reynaldi 28
Colistium_guntheri 12
Colistium_guntheri 12
Colistium_nudipinnis 12
Colistium_nudipinnis 12
Cololabis_saira 18
Cololabis_saira 15
Cololabis_saira 4
Colossoma_macropomum 25
Colossoma_macropomum 26
Colossoma_macropomum 26
Conger_conger 11
Conger_conger 11
Conodon_nobilis 27
Contusus_richei 12
Contusus_richei 12
Contusus_richei 12
Copadichromis_likomae 19
Copadichromis_mloto 26
Copadichromis_pleurostigmoides 28
Copadichromis_quadrimaculatus 28
Copadichromis_virginalis 28
Coptodon_guineensis 28
Coptodon_rendalli 23.5
Coptodon_rendalli 20
Coptodon_zillii 20.5
Coregonus_albula 9
Coregonus_albula 9
Coregonus_albula 9
Coregonus_albula 9
Coregonus_artedi 8
Coregonus_artedi 8
Coregonus_artedi 8
Coregonus_artedi 8
Coregonus_clupeaformis 5
Coregonus_clupeaformis 3
Coregonus_clupeaformis 5
Coregonus_clupeaformis 5
Coregonus_clupeaformis 3
Coregonus_clupeaformis 5
Coregonus_clupeaformis 5
Coregonus_lavaretus 9
Coregonus_lavaretus 9
