"Species" "Mass" "Temperature" "MetabolRate" "Class"
"Rattus_villosissimus" "250.6" "35.9" "145.8492" "Mammalia"
"Reithrodontomys_megalotis" "9.0" "36.8" "22.5" "Mammalia"
"Rhabdomys_pumilio" "39.6" "37" "32.076" "Mammalia"
"Saccostomus_campestris" "61.3" "35.25" "51.492" "Mammalia"
"Scotinomys_teguina" "12" "37.6" "31.2" "Mammalia"
"Scotinomys_xerampelinus" "15.2" "36.2" "31.92" "Mammalia"
"Sekeetamys_calurus" "56.9" "37.5" "44.382" "Mammalia"
"Sigmodon_hispidus" "139.3" "38.1" "230.4024" "Mammalia"
"Steatomys_pratensis" "37.54" "34.1" "18.7698" "Mammalia"
"Tachyoryctes_splendens" "191" "35.9" "150.89" "Mammalia"
"Tatera_afra" "106.5" "34" "182.115" "Mammalia"
"Tatera_leucogaster" "157.62" "35.08" "132.5584" "Mammalia"
"Thallomys_paedulcus" "132.4" "36.715" "87.26808" "Mammalia"
"Myoxus_glis" "200" "37.7" "158" "Mammalia"
"Muscardenis_avellanarius" "23.5" "35.8" "62.98" "Mammalia"
"Aconaemys_fuscus" "112" "37.3" "120.96" "Mammalia"
"Octodon_degus" "192.9625" "37.6" "170.244" "Mammalia"
"Octodontomys_gliroides" "152" "37.2" "130.7" "Mammalia"
"Octomys_mimax" "118.6" "36.7" "115.042" "Mammalia"
"Spalacopus_cyanus" "135" "36.45" "106.8" "Mammalia"
"Tympanoctomys_barrerae" "71.4" "35.7" "77.112" "Mammalia"
"Pedetes_capensis" "2300" "35.9" "793.5" "Mammalia"
"Ammospermophilus_leucurus" "95.7" "37.5" "93.882" "Mammalia"
"Cynomys_ludovicanus" "1112.3" "36.7" "422.6742" "Mammalia"
"Funisciurus_congicus" "112.3" "39.275" "95.454" "Mammalia"
"Glaucomys_volans" "64.25" "39" "67.4625" "Mammalia"
"Marmota_flaviventris" "4295" "36.5" "1546.2" "Mammalia"
"Marmota_monax" "2650" "37" "662.502" "Mammalia"
"Paraxerus_cepapi" "223.6" "39.07" "145.34" "Mammalia"
"Paraxerus_palliatus" "366.6" "39.3" "260.286" "Mammalia"
"Paraxerus_palliatus" "206" "38.805" "175.1" "Mammalia"
"Sciurus_aberti" "624" "40.7" "430.56" "Mammalia"
"Sciurus_carolinensis" "440" "38.7" "369.6" "Mammalia"
"Spermophilus_armatus" "320" "35.73333333" "147.2" "Mammalia"
"Spermophilus_beecheyi" "599.6" "37.6" "317.7882" "Mammalia"
"Spermophilus_beldingi" "303" "35.5" "127.26" "Mammalia"
"Spermophilus_citellus" "240" "37.5" "228" "Mammalia"
"Spermophilus_lateralis" "237" "36.3" "143.4" "Mammalia"
"Spermophilus_mohavensis" "240" "37" "112.8" "Mammalia"
"Spermophilus_parryi" "650" "37" "520" "Mammalia"
"Spermophilus_richardsoni" "274" "35.45" "131.52" "Mammalia"
"Spermophilus_spilosoma" "174" "36.13333333" "92.22" "Mammalia"
"Spermophilus_tereticaudus" "167" "36.3" "93.52" "Mammalia"
"Spermophilus_townsendii" "229" "35.575" "105.34" "Mammalia"
"Spermophilus_tridecemlineatus" "205.4" "35.7" "140.4414" "Mammalia"
"Spermophilus_undulatus" "680" "38" "667.08" "Mammalia"
"Tamias_amoenus" "57.1" "37" "96.2706" "Mammalia"
"Tamias_merriami" "75" "37" "78.75" "Mammalia"
"Tamias_minimus" "45.8" "37" "72.7302" "Mammalia"
"Tamias_striatus" "87.4" "38.15" "90.022" "Mammalia"
"Tamiasciurus_hudsonicus" "228.3" "38.65" "254.5545" "Mammalia"
"Xerus_inauris" "542" "36.8" "326.284" "Mammalia"
"Xerus_princeps" "602" "37.6" "340.13" "Mammalia"
"Pltilocerus_lowii" "58" "36.5" "43.5" "Mammalia"
"Tupaia_glis" "123" "37" "93.48" "Mammalia"
"Orycteropus_afer" "48000" "34.5" "6144" "Mammalia"
"Bradypus_variegatus" "3790" "33" "685.992" "Mammalia"
"Cabassous_centralis" "4330" "33.6" "916.8" "Mammalia"
"Chaetophractus_nationi" "2150" "35.5" "559" "Mammalia"
"Chaetophractus_vellerosus" "1110" "34.4" "306.36" "Mammalia"
"Chaetophractus_villosus" "4540" "35.1" "808.12" "Mammalia"
"Dasypus_novemcinctus" "3510" "34.5" "865.215" "Mammalia"
