Species Tm
Diaphus_watasei 1.4
Dicentrarchus_labrax 2
Dicentrarchus_labrax 2
Dicentrarchus_labrax 4
Dicentrarchus_labrax 4
Diplectrum_formosum 1.01
Diplectrum_formosum 1.13
Diplodus_annularis 1
Diplodus_annularis 1
Diplodus_annularis 2
Diplodus_capensis 3
Diplodus_capensis 3
Diplodus_hottentotus 6
Diplodus_hottentotus 6
Diplodus_sargus 4
Diplodus_sargus 4
Diplodus_sargus 4
Diplodus_sargus 4
Diplodus_sargus 2.12
Diplodus_sargus 2
Diplodus_vulgaris 2
Dipturus_batis 11
Dipturus_innominatus 8
Dipturus_innominatus 13
Dissostichus_mawsoni 12.8
Dissostichus_mawsoni 16.6
Dissostichus_mawsoni 12.8
Dissostichus_mawsoni 16.6
Dorosoma_cepedianum 2
Dorosoma_cepedianum 2
Dules_auriga 2.29
Dules_auriga 2.29
Elassoma_boehlkei 1
Eleginus_gracilis 2
Eleginus_gracilis 2
Eleginus_gracilis 2
Eleginus_gracilis 2
Eleginus_gracilis 2
Eleginus_gracilis 2
Elopichthys_bambusa 2
Elopichthys_bambusa 6.8
Elopichthys_bambusa 8.1
Elops_saurus 2
Embiotoca_jacksoni 1.5
Embiotoca_lateralis 3
Emmelichthys_nitidus_nitidus 2.5
Enchelyopus_cimbrius 3
Encrasicholina_devisi 1.9
Engraulis_capensis 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_encrasicolus 1
Engraulis_japonicus 1
Engraulis_japonicus 2
Engraulis_mordax 1.5
Engraulis_mordax 1
Enneapterygius_atriceps 0.2
Eopsetta_jordani 7
Eopsetta_jordani 7
Eopsetta_jordani 8
Epigonus_telescopus 35.8
Epigonus_telescopus 36.6
Epinephelus_chlorostigma 2.5
Epinephelus_chlorostigma 3
Epinephelus_coioides 2.7
Epinephelus_guttatus 3
Epinephelus_itajara 5.5
Epinephelus_itajara 6.5
Epinephelus_marginatus 5
Epinephelus_marginatus 6.3
Epinephelus_marginatus 12
Epinephelus_marginatus 6.3
Epinephelus_marginatus 7
Esox_lucius 4
Esox_lucius 2
Esox_lucius 3
Esox_lucius 3
Esox_lucius 3
Esox_lucius 2
Esox_lucius 3
Esox_lucius 2
Esox_lucius 3
Esox_lucius 3
Esox_masquinongy 4
Esox_masquinongy 5
Etheostoma_juliae 1
Etheostoma_microperca 1
Etheostoma_microperca 1
Etheostoma_tetrazonum 1
Etheostoma_tetrazonum 2
Ethmalosa_fimbriata 1
Etmopterus_spinax 5
Etrumeus_sadina 1.7
Etrumeus_sadina 1.73
Etrumeus_sadina 3
Eubleekeria_splendens 1
Eudontomyzon_danfordi 6
Eugerres_brasilianus 1
Euthynnus_affinis 5.3
Euthynnus_alletteratus 2
Euthynnus_alletteratus 2
Eutrigla_gurnardus 1.5
Eutrigla_gurnardus 4.5
Eviota_sigillata 0.08
Furgaleus_macki 6.5
Furgaleus_macki 4.5
Gadiculus_thori 2
Gadus_chalcogrammus 5.5
Gadus_chalcogrammus 3
Gadus_chalcogrammus 3
Gadus_chalcogrammus 3
Gadus_chalcogrammus 4.5
Gadus_chalcogrammus 4
Gadus_chalcogrammus 4.5
Gadus_chalcogrammus 4
Gadus_chalcogrammus 4
Gadus_chalcogrammus 5
Gadus_macrocephalus 5.8
Gadus_morhua 8.5
Gadus_morhua 7.8
Gadus_morhua 3.14
Gadus_morhua 4
Gadus_morhua 4
Gadus_morhua 3.73
Gadus_morhua 2.3
Gadus_morhua 10.5
Gadus_morhua 9.14
Gadus_morhua 6.92
Gadus_morhua 3.12
Gadus_morhua 3.12
Gadus_morhua 2.02
Gadus_morhua 2.11
Gadus_morhua 1.7
Gadus_morhua 1.7
Gadus_morhua 2.1
Gadus_morhua 2.8
Gadus_morhua 2.8
Gadus_morhua 2.2
Gadus_morhua 2.2
Gadus_morhua 2.3
Gadus_morhua 2.7
Gadus_morhua 2.1
Gadus_morhua 2.1
Gadus_morhua 2.7
Gadus_morhua 1.7
Gadus_morhua 2.5
Gadus_morhua 1.9
Gadus_morhua 2.5
Gadus_morhua 6.36
Gadus_morhua 6.36
Gadus_morhua 6.34
Gadus_morhua 6.34
Gadus_morhua 5.57
Gadus_morhua 5.57
Gadus_morhua 6.35
Gadus_morhua 6.35
Gadus_morhua 5.91
Gadus_morhua 5.91
Gadus_morhua 5.88
Gadus_morhua 5.88
Gadus_morhua 6.28
Gadus_morhua 6.28
Gadus_morhua 6.18
Gadus_morhua 6.18
Gadus_morhua 6.39
Gadus_morhua 6.39
Gadus_morhua 3.8
Gadus_morhua 6.86
Gadus_morhua 6.86
Gadus_morhua 6.58
Gadus_morhua 6.58
Gadus_morhua 6.59
Gadus_morhua 6.59
Gadus_morhua 7.12
Gadus_morhua 7.12
Gadus_morhua 6.79
Gadus_morhua 6.79
Gadus_morhua 7.31
Gadus_morhua 7.31
Gadus_morhua 7.38
Gadus_morhua 7.38
Gadus_morhua 7.02
Gadus_morhua 7.02
Gadus_morhua 7.5
Gadus_morhua 7.28
Gadus_morhua 7.28
Galaxias_occidentalis 1
Galaxias_occidentalis 1
Galaxiella_munda 1
Galaxiella_pusilla 1
Galeocerdo_cuvier 9
Galeocerdo_cuvier 8
Galeocerdo_cuvier 10
Galeorhinus_galeus 13
Galeorhinus_galeus 17.5
Galeorhinus_galeus 17
Galeorhinus_galeus 15
Gambusia_affinis 3
Gasterosteus_aculeatus 2
Genyonemus_lineatus 1
Geophagus_brasiliensis 2
Geophagus_brasiliensis 2
Gerres_cinereus 1.5
Gerres_longirostris 1.1
Gerres_longirostris 1.5
Girella_nigricans 2.5
Girella_tricuspidata 4.16
Girella_tricuspidata 4.52
Glaucosoma_hebraicum 3
Glaucosoma_hebraicum 3
Glaucostegus_cemiculus 5.09
Glaucostegus_cemiculus 2.89
Glossolepis_maculosus 1
Glyptocephalus_cynoglossus 8.42
Glyptocephalus_cynoglossus 8.98
Glyptocephalus_cynoglossus 11.9
Glyptocephalus_cynoglossus 10.2
Glyptocephalus_cynoglossus 10.3
Glyptocephalus_cynoglossus 7.38
Glyptocephalus_cynoglossus 7.92
Glyptocephalus_cynoglossus 7.66
Glyptocephalus_cynoglossus 9.43
Glyptocephalus_cynoglossus 7.87
Glyptocephalus_cynoglossus 3.6
Glyptocephalus_cynoglossus 4.5
Glyptocephalus_cynoglossus 7
Glyptocephalus_cynoglossus 4.4
Glyptocephalus_zachirus 6
Gobio_gobio 2
Gobio_gobio 3
Gobio_soldatovi 2
Gobiobotia_pappenheimi 2
Gobiomorphus_breviceps 1.5
Gobiomorphus_breviceps 2.5
Gobionotothen_gibberifrons 10
Gobius_bucchichi 1
Gobius_niger 2
Gobiusculus_flavescens 1
Gymnocanthus_detrisus 6
Gymnocanthus_detrisus 5
Gymnocephalus_cernua 1
Gymnocephalus_cernua 1.5
Gymnocephalus_cernua 2.5
Gymnocharacinus_bergii 1
Gymnocharacinus_bergii 1
Haemulon_album 3.5
Haemulon_plumierii 2
Haemulon_sciurus 2
Halichoeres_semicinctus 2.5
Harengula_humeralis 1.5
Harengula_jaguana 1
Helicolenus_dactylopterus 13
Hemibarbus_maculatus 3
Hemibarbus_maculatus 5
Hemiculter_leucisculus 2
Hemilepidotus_gilberti 6
Hemilepidotus_zapus 5
Hemilepidotus_zapus 4
Heterandria_formosa 0.13
Heterostichus_rostratus 1.25
Heterotis_niloticus 2
Hexagrammos_decagrammus 3
Hexagrammos_lagocephalus 3.5
Hippocampus_abdominalis 1
Hippocampus_guttulatus 0.5
Hippocampus_whitei 0.58
Hippocampus_zosterae 0.25
Hippocampus_zosterae 0.4
Hippoglossina_stomata 3
Hippoglossoides_elassodon 8.88
Hippoglossoides_platessoides 7.64
Hippoglossoides_platessoides 8.11
Hippoglossoides_platessoides 7.83
Hippoglossoides_platessoides 8.65
Hippoglossoides_platessoides 6.17
Hippoglossoides_platessoides 10.6
Hippoglossoides_platessoides 9.48
Hippoglossoides_platessoides 4.5
Hippoglossoides_platessoides 2.6
Hippoglossoides_platessoides 3
Hippoglossoides_platessoides 4.65
Hippoglossoides_platessoides 7.59
Hippoglossoides_platessoides 5.32
Hippoglossoides_platessoides 6.43
Hippoglossoides_platessoides 8
Hippoglossoides_platessoides 3.6
Hippoglossoides_platessoides 8
Hippoglossoides_platessoides 11
Hippoglossoides_platessoides 10.6
Hippoglossoides_platessoides 14
Hippoglossoides_platessoides 8.79
Hippoglossoides_platessoides 11.1
Hippoglossus_hippoglossus 4.5
Hippoglossus_hippoglossus 7.3
Hippoglossus_stenolepis 13
Hoplosternum_littorale 1
Hoplosternum_littorale 2
Hoplosternum_littorale 1
Hoplosternum_littorale 1
Hoplostethus_atlanticus 34
Hoplostethus_atlanticus 33
Hoplostethus_atlanticus 32
Hoplostethus_atlanticus 27.5
Hucho_hucho 5
Hybognathus_hankinsoni 2
Hybognathus_hankinsoni 1
Hybognathus_regius 2
Hyperoplus_lanceolatus 2
Hyperprosopon_argenteum 1
Hyperprosopon_ellipticum 3
Hypomesus_japonicus 1
Hypomesus_japonicus 2
Hypomesus_nipponensis 1
Hypomesus_nipponensis 2
