#downloaded from http://genomics.senescence.info/species/dataset.zip # I have deleted single quotes by hand
HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
00631	Animalia	Chordata	Actinopterygii	Perciformes	Trichiuridae	Trichiurus	lepturus	Atlantic cutlassfish										2750		15	454	wild	medium	acceptable						454
00632	Animalia	Chordata	Actinopterygii	Perciformes	Tripterygiidae	Bellapiscis	lesleyae	Mottled twister												3	454	wild	medium	acceptable						454
00633	Animalia	Chordata	Actinopterygii	Perciformes	Tripterygiidae	Forsterygion	lapillum	Common triplefin												3	454	wild	medium	acceptable						454
00634	Animalia	Chordata	Actinopterygii	Perciformes	Tripterygiidae	Forsterygion	varium	Striped triplefin												4	454	wild	medium	acceptable						454
00635	Animalia	Chordata	Actinopterygii	Perciformes	Uranoscopidae	Kathetostoma	giganteum	Flathead												20	454	wild	medium	acceptable						454
00636	Animalia	Chordata	Actinopterygii	Perciformes	Zoarcidae	Lycodes	pacificus	Blackbelly eelpout												5	454	wild	medium	acceptable						454
00637	Animalia	Chordata	Actinopterygii	Perciformes	Zoarcidae	Zoarces	americanus	Ocean pout										2989.8		18	454	wild	medium	acceptable						454,584
00638	Animalia	Chordata	Actinopterygii	Perciformes	Zoarcidae	Zoarces	viviparus	Viviporous blenny										280.5		10	454	wild	medium	acceptable						454
00639	Animalia	Chordata	Actinopterygii	Percopsiformes	Amblyopsidae	Forbesichthys	agassizii	Spring cavefish												3	454	wild	medium	acceptable						454
00640	Animalia	Chordata	Actinopterygii	Percopsiformes	Amblyopsidae	Typhlichthys	subterraneus	Southern cavefish												4	454	wild	medium	acceptable						454
00641	Animalia	Chordata	Actinopterygii	Percopsiformes	Aphredoderidae	Aphredoderus	sayanus	Pirate perch												4	454	wild	medium	acceptable						183,454
00642	Animalia	Chordata	Actinopterygii	Percopsiformes	Percopsidae	Percopsis	omiscomaycus	Trout-perch												4	454	wild	medium	acceptable						454
00643	Animalia	Chordata	Actinopterygii	Percopsiformes	Percopsidae	Percopsis	transmontana	Sand roller												6	454	wild	medium	acceptable						454
00644	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Achiridae	Trinectes	maculatus	Hogchoker												6	454	wild	medium	acceptable						454
00645	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Bothidae	Arnoglossus	imperialis	Scaldfish												8	454	wild	medium	acceptable						454
00646	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Bothidae	Arnoglossus	thori	Grohmanns scaldfish												10	454	wild	medium	acceptable						454
00647	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Etropus	crossotus	Fringed flounder												2	454	wild	medium	acceptable						454
00648	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Paralichthys	californicus	California halibut										18150		30	1	wild	medium	acceptable						1,454
00649	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Paralichthys	lethostigma	Southern flounder										5131.5		8	454	wild	medium	acceptable						454
00650	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Pseudorhombus	pentophthalmus	Fivespot flounder												3	454	wild	medium	acceptable						454
00651	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Eopsetta	jordani	Petrale sole	2920	2555								1980		25	454	wild	medium	acceptable						454
00652	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Glyptocephalus	cynoglossus	Witch flounder										1375		25	454	wild	medium	acceptable						454
00653	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Glyptocephalus	zachirus	Rex sole										825		24	454	wild	medium	acceptable						454
00654	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossoides	platessoides	American plaice	3216	1460								3520		30	454	wild	medium	acceptable						454
00655	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossus	hippoglossus	Atlantic halibut	3613	3102								176000		90	1	wild	medium	acceptable						1,454,524,795
00656	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossus	stenolepis	Pacific halibut	4927	4562								199650		42	454	wild	medium	acceptable						454,585
00657	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Isopsetta	isolepis	Butter sole												11	454	wild	medium	acceptable						454
00658	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Lepidopsetta	bilineata	Rock sole	3285											22	454	wild	medium	acceptable						454
00659	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Limanda	aspera	Yellowfin sole	3102	1642								233.75		26	454	wild	medium	acceptable						454
00660	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Limanda	ferruginea	Yellowtail flounder	1718	1334								825		12	454	wild	medium	acceptable						454
00661	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Microstomus	kitt	Lemon dab	1460	1460								1600		23	454	wild	medium	acceptable						454
00662	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Microstomus	pacificus	Dover sole	2738	2738										45	1	wild	medium	acceptable						1,585
00663	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Platichthys	bicoloratus	Stone flounder												12	454	wild	medium	acceptable						454
00664	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Platichthys	flesus	European flounder	1505	1049								7700		15	454	wild	medium	acceptable						454
00665	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Platichthys	stellatus	Starry flounder										5005		24	1	wild	medium	acceptable						1,454
00666	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes	platessa	European plaice	1038	1095								3850		50		unknown	medium	acceptable						2,14,454,523,585
00667	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pseudopleuronectes	americanus	Winter flounder	1022	1034								1980		14	454	wild	medium	acceptable						454
00668	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Reinhardtius	hippoglossoides	Greenland halibut	3826	3102								3850		30	454	wild	medium	acceptable						454
00669	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Reinhardtius	stomias	Arrowtooth flounder										1100		15	454	wild	medium	acceptable						454
00670	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Rhombosoleidae	Rhombosolea	plebeia	Dab												12	454	wild	medium	acceptable						454
00671	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Scophthalmidae	Psetta	maxima	Turbot	1460	1460								13750		26	454	wild	medium	acceptable						454
00672	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Scophthalmidae	Scophthalmus	rhombus	Brill										4400		6	454	wild	medium	acceptable						454
00673	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Buglossidium	luteum	Solenette	1095											13	454	wild	medium	acceptable						454
00674	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Microchirus	variegatus	Thickback sole												14	454	wild	medium	acceptable						454
00675	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Pegusa	impar	Adriatic sole												12	454	wild	medium	acceptable						454
00676	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Pegusa	lascaris	Atlantic sole												15	454	wild	medium	acceptable						454
00677	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Solea	solea	Common sole	1460	1460								1650		27	454	wild	medium	acceptable						454,585
00678	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Solea	vulgaris	Common European sole												8	584	unknown	medium	acceptable						584
00679	Animalia	Chordata	Actinopterygii	Polypteriformes	Polypteridae	Polypterus	senegalus	Gray bichir												34	1	captivity	medium	acceptable						1
00680	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	albula	Vendace	730	730								550		10	454	wild	medium	acceptable						454
00681	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	artedi	Cisco										1842		11	454	wild	medium	acceptable						454
00682	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	clupeaformis	Lake whitefish										10450		50		unknown	medium	acceptable						454,524
00683	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	hoyi	Bloater												10	454	wild	medium	acceptable						454
00684	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	kiyi	Kiyi												10	454	wild	medium	acceptable						454
00685	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	muksun	Muksun										7590		23	454	wild	medium	acceptable						454
00686	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	nasus	Broad whitefish										8800		15	454	wild	medium	acceptable						454
00687	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	nigripinnis	Blackfin cisco												14	454	wild	medium	acceptable						454
00688	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	pidschian	Humpback whitefish	4015	5110										14	454	wild	medium	acceptable						454
00689	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	pollan	Irish pollan	1277	1277								247.5		10	454	wild	medium	acceptable						454
00690	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	reighardi	Shortnose cisco										296.45		8	454	wild	medium	acceptable						454
00691	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	sardinella	Least cisco	1825	1916								305.25		26	454	wild	medium	acceptable						454
00692	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	zenithicus	Longjaw cisco												11	454	wild	medium	acceptable						454
00693	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Hucho	hucho	Danube salmon	1825	1825								28600		15	454	wild	medium	acceptable						454
00694	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Hucho	taimen	Taimen										38500		16	454	wild	medium	acceptable						454
00695	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	clarkii	Cutthroat trout	1095	1095								10230		10	1	wild	medium	acceptable						1,454
00696	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	gorbuscha	Pink salmon	730	730								3740		3	1	wild	medium	acceptable						1,2,14,454
00697	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	keta	Chum salmon	1186	1186								8745		7	1	wild	medium	acceptable						1,2,14,454
00698	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	kisutch	Coho salmon	1095	1095								8360		5	1	wild	medium	acceptable						1,2,14,265,266,267,454
00699	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	mykiss	Steelhead		912	18		3500					12235		11	454	wild	medium	acceptable						2,14,17,23,297,298,299,300,301,392,442,454,484
00700	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	nerka	Sockeye salmon	730	730								4240.5		8	454	wild	medium	acceptable						2,14,126,127,128,129,132,454,520,780,1143
00701	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	tshawytscha	Chinook salmon	1460	1460								33770		9	1	wild	medium	acceptable						1,2,14,131,454,459,484,819
00702	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Prosopium	coulterii	Pygmy whitefish												9	454	wild	medium	acceptable						454
00703	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Prosopium	cylindraceum	Round whitefish	1095	1095	140							1498		16	454	wild	medium	acceptable						440,454
00704	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Prosopium	gemmifer	Bonneville cisco												6	454	wild	medium	acceptable						454
00705	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Prosopium	spilonotus	Bonneville whitefish												8	454	wild	medium	acceptable						454
00706	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Prosopium	williamsoni	Mountain whitefish										1606		17	1	wild	medium	acceptable						1,454
00707	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	salar	Atlantic salmon		1825								25740		13	1	wild	medium	acceptable						1,126,413,414,454,524
00708	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	trutta	Brown trout					8000							38		unknown	medium	acceptable						177,442,454,523
00709	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salvelinus	alpinus	Arctic char	3285	3285										40		unknown	medium	acceptable						2,454,524,585
00710	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salvelinus	fontinalis	Bunnylake brook trout	730	730								4397.25		24	1	wild	medium	acceptable						1,442,454,523
00711	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salvelinus	namaycush	Lake trout	4927	4745								17985		50	454	wild	medium	acceptable						2,454
00712	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Stenodus	leucichthys	Inconnu	4015	3650								22000		22	454	wild	medium	acceptable						454
00713	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Thymallus	arcticus	Arctic grayling										2103.25		18	454	wild	medium	acceptable						454
00714	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Agonidae	Agonus	cataphractus	Armed bullhead	912	912										3	454	wild	medium	acceptable						454
00715	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Anoplopomatidae	Anoplopoma	fimbria	Sablefish	2190									31350		114	22	wild	medium	acceptable						22,454
00716	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	aleuticus	Coastrange sculpin												8	454	wild	medium	acceptable						454
00717	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	asper	Prickly sculpin												7	454	wild	medium	acceptable						454
00718	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	bairdii	Mottled sculpin	730	730			60							6	442	unknown	medium	acceptable						442
00719	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	carolinae	Banded sculpin	730	730			475							4	442	unknown	medium	acceptable						442
00720	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	cognatus	Slimy sculpin												7	454	wild	medium	acceptable						454
00721	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	confusus	Shorthead sculpin												6	454	wild	medium	acceptable						454
00722	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	gobio	Bullhead												5	454	wild	medium	acceptable						454
00723	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	paulus	Pygmy sculpin												2	454	wild	medium	acceptable						454
00724	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Cottus	poecilopus	Alpine bullhead												8	454	wild	medium	acceptable						454
00725	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Leptocottus	armatus	Pacific staghorn sculpin												10	1	wild	medium	acceptable						1
00726	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Myoxocephalus	octodecemspinosus	Longhorn sculpin												11	520	wild	medium	acceptable						520
00727	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Myoxocephalus	quadricornis	Fourhorn sculpin										143		14	454	wild	medium	acceptable						454
00728	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Hexagrammidae	Hexagrammos	decagrammus	Kelp greenling	1460	1460								1155		12	454	wild	medium	acceptable						454
00729	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Hexagrammidae	Ophiodon	elongatus	Lingcod										32505		20	1	wild	medium	acceptable						1,454
00730	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Platycephalidae	Neoplatycephalus	richardsoni	Tiger flathead										1650		12	454	wild	medium	acceptable						454
00731	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Platycephalidae	Platycephalus	conatus	Deepwater flathead	2007	1642										20	454	wild	medium	acceptable						454
00732	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Gymnapistes	marmoratus	Devilfish	730	730										14	454	wild	medium	acceptable						454,585
00733	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Helicolenus	percoides	Sea perch										770		42	454	wild	medium	acceptable						454
00734	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Pterois	volitans	Scorpionfish												10	1	wild	medium	acceptable						1
00736	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	aleutianus	Rougheye rockfish										495		205	22	wild	medium	acceptable	0.05	999				2,22,454,472
00737	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	alutus	Pacific ocean perch	3169	3833								770		100	22	wild	medium	acceptable						2,22,454,472,585
00738	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	atrovirens	Kelp rockfish												20	22	wild	medium	acceptable						22,454
00739	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	auriculatus	Brown rockfish												20	22	wild	medium	acceptable						22,454
00740	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	babcocki	Redbanded rockfish										2442		106	22	wild	medium	acceptable						22,454
00741	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	borealis	Shortraker rockfish										8910		157	22	wild	medium	acceptable						22,454
00742	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	brevispinis	Silvergray rockfish										2590.5		82	22	wild	medium	acceptable						22,454
00743	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	carnatus	Gopher rockfish												30	22	wild	medium	acceptable						22,454
00744	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	caurinus	Copper rockfish										1507		55	22	wild	medium	acceptable						22,454
00745	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	chlorostictus	Greenspotted rockfish										555.5		33	22	wild	medium	acceptable						22,454
00746	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	chrysomelas	Black-and-yellow rockfish												22	22	wild	medium	acceptable						22,454
00747	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	ciliatus	Dusky rockfish										995.5		67	22	wild	medium	acceptable						22,454
00748	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	constellatus	Starry rockfish										572		32	22	wild	medium	acceptable						22,454
00749	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	crameri	Darkblotched rockfish	3066	1861										66	22	wild	medium	acceptable						22,454
00750	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	dallii	Calico rockfish												12	22	wild	medium	acceptable						22,454
00751	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	diploproa	Splitnose rockfish	1825	1825								445.5		84	22	wild	medium	acceptable						22,454
00752	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	elongatus	Greenstriped rockfish										346.5		42	22	wild	medium	acceptable						22,454
00753	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	entomelas	Widow rockfish												60	22	wild	medium	acceptable						22,454
00754	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	flavidus	Yellowtail rockfish	2555	2190								1380.5		64	22	wild	medium	acceptable						22,454
00755	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	goodei	Chilipepper										847		27	22	wild	medium	acceptable						22,454
00756	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	helvomaculatus	Rosethorn rockfish												87	22	wild	medium	acceptable						22,454
00757	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	hopkinsi	Squarespot rockfish												19	22	wild	medium	acceptable						22,454
00758	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	jordani	Shortbelly rockfish												31	22	wild	medium	acceptable						22,454
00759	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	levis	Cowcod	4015	4380								7150		55	22	wild	medium	acceptable						22,454
00760	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	maliger	Quillback rockfish										1804		90	22	wild	medium	acceptable						22,454
00761	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	melanops	Black rockfish										2640		50	22	wild	medium	acceptable						22,454
00762	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	mentella	Deepwater redfish	4745	3650										75	1	wild	medium	acceptable						1,454,585
00763	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	miniatus	Vermilion rockfish										3700		43	22	wild	medium	acceptable						22,454
00764	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	mystinus	Blue rockfish	1642	1277								2084.5		44	22	wild	medium	acceptable						22,454
00765	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	nebulosus	China rockfish										918.5		79	22	wild	medium	acceptable						22,454
00766	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	nigrocinctus	Tiger rockfish										1221		116	22	wild	medium	acceptable						22,454
00767	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	ovalis	Speckled rockfish										522.5		37	22	wild	medium	acceptable						22,454
00768	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	paucispinis	Bocaccio	1460	1460								5296.5		50	22	wild	medium	acceptable						22,454
00769	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	pinniger	Canary rockfish	2007	2007								2491.5		84	22	wild	medium	acceptable						22,454
00770	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	polyspinis	Northern rockfish												57	22	wild	medium	acceptable						22,454
00771	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	proriger	Redstripe rockfish												55	22	wild	medium	acceptable						22,454
00772	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	rastrelliger	Grass rockfish												23	22	wild	medium	acceptable						22,454
00773	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	reedi	Yellowmouth rockfish												99	22	wild	medium	acceptable						22,454
00774	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	rosaceus	Rosy rockfish												14	22	wild	medium	acceptable						22,454
00775	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	rosenblatti	Greenblotched rockfish												50	22	wild	medium	acceptable						22,454
00776	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	ruberrimus	Rasphead rockfish	4927	4927								9790		118	22	wild	medium	acceptable						22,454
00777	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	rubrivinctus	Flag rockfish										797.5		18	22	wild	medium	acceptable						22,454
00778	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	rufus	Bank rockfish										1089		53	22	wild	medium	acceptable						22,454
00779	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	saxicola	Stripetail rockfish												38	22	wild	medium	acceptable						22,454
00780	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	serranoides	Olive rockfish										900		25	22	wild	medium	acceptable						22,454
00781	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	variegatus	Harlequin rockfish												47	22	wild	medium	acceptable						22,454
00782	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	viviparus	Norway haddock										550		40	454	wild	medium	acceptable						454
00783	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	wilsoni	Pygmy rockfish												24	22	wild	medium	acceptable						22,454
00784	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastes	zacentrus	Sharpchin rockfish												58	22	wild	medium	acceptable						22,454
00785	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastolobus	alascanus	Shortspine thornyhead										1270.5		115	22	wild	medium	acceptable						22,454
00786	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Sebastolobus	altivelis	Longspine thornyhead												45	22	wild	medium	acceptable						22,454
00787	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Chelidonichthys	capensis	Cape gurnard	1095											16	454	wild	medium	acceptable						454
00788	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Chelidonichthys	cuculus	East Atlantic red gurnard	730	730										21	454	wild	medium	acceptable						454
00789	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Chelidonichthys	kumu	Bluefin searobin	912	912								825		15	454	wild	medium	acceptable						454
00790	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Chelidonichthys	lucernus	Tub gurnard										3300		15	454	wild	medium	acceptable						454
00791	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Chelidonichthys	queketti	Lesser gurnard	620											7	454	wild	medium	acceptable						454
00792	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Trigla	lyra	Lyre gurnard												7	454	wild	medium	acceptable						454
00793	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Trigloporus	lastoviza	Streaked gurnard												18	454	wild	medium	acceptable						454
00794	Animalia	Chordata	Actinopterygii	Semionotiformes	Lepisosteidae	Lepisosteus	oculatus	Spotted gar										2442		18	454	wild	medium	acceptable						454
00795	Animalia	Chordata	Actinopterygii	Semionotiformes	Lepisosteidae	Lepisosteus	osseus	Longnose gar	2190	1277								12540		36	454	wild	medium	acceptable						454
00796	Animalia	Chordata	Actinopterygii	Semionotiformes	Lepisosteidae	Lepisosteus	platostomus	Shortnose gar										1430		20	454	wild	medium	acceptable						454,520
00797	Animalia	Chordata	Actinopterygii	Siluriformes	Ariidae	Genidens	barbus	White sea catfish												36	454	wild	medium	acceptable						454
00798	Animalia	Chordata	Actinopterygii	Siluriformes	Bagridae	Bagrus	bajad	African catfish	1642	1642								6875		17	583	captivity	small	acceptable						454,583
00799	Animalia	Chordata	Actinopterygii	Siluriformes	Callichthyidae	Corydoras	punctatus	South American catfish												8.8	583	captivity	small	acceptable						583
00800	Animalia	Chordata	Actinopterygii	Siluriformes	Heteropneustidae	Heteropneustes	fossilis	Stinging catfish	365	365										17.5	454	wild	medium	acceptable						454,520
00801	Animalia	Chordata	Actinopterygii	Siluriformes	Ictaluridae	Ameiurus	catus	White catfish										5362.5		14	1	wild	medium	acceptable						1,454
00802	Animalia	Chordata	Actinopterygii	Siluriformes	Ictaluridae	Ameiurus	melas	Black bullhead	730	730	7		3150					1995.5		10	1	wild	medium	acceptable						1,442,454
