Taxon	Tendency	BM	Tb min	TMRmin	TMRrel	TBDmax	TBDmean	IBE	LAT	References
Hipposideros terasensis	HIB	0.057	13.8	0.046	7	456	185	1.8	17.13	Liu & Karasov (2011, 2012)
Lasiurus borealis	HIB	0.011	3	0.035	2	260	190	2.83	36.39	Dunbar & Tomasi (2006)
Lasiurus cinereus	HIB	0.033	2	—	—	135	105	—	12.6	Cryan & Wolf (2003) and Willis, Brigham & Geiser (2006)
Macroglossus minimus	DT	0.016	21.6	0.52	40	9.5	6.7	—	?1.28	Bartels, Law & Geiser (1998)
Megaloglossus woermanni	DT	0.012	26.2	0.8	50	—	—	—	?1.12	Kulzer & Storf (1980)
Miniopterus schreibersii	HIB	0.015	5	—	—	288	—	—	5.87	Hall (1982) and Brown & Bernard (1994)
Mops condylurus	HIB	0.029	13	—	—	—	—	—	?5.77	Vivier & van der Merwe (2011)
Myotis adversus	HIB	0.0078	9	—	—	192	—	—	4.84	Kulzer et al. (1970)
Myotis lucifugus	HIB	0.0052	1.3	0.022	1	1152	314	2.4	43	Hock (1951) and Jonasson & Willis (2012)
Myotis myotis	HIB	0.025	2	0.04	3	2352	989	—	47.44	Pohl (1961), Harmata (1987) and Koteja, Jurczyszyn & Woloszyn (2001)
Myotis nattereri	HIB	0.009	7	—	—	490	160	—	46.05	Hope & Jones (2012)
Myotis velifer	HIB	0.012	0.6	0.04	3	—	—	—	27.11	Tinkle & Patterson (1965) and Riedesel & Williams (1976)
Nyctalus noctula	HIB	0.029	3	0.036	2	—	192	—	39.16	Ransome (1990) and Arlettaz et al. (2000)
Nycteris thebaica	DT	0.011	27	—	—	—	—	—	1.28	Cory Toussaint & McKechnie (2012)
Nyctimene albiventer	DT	0.028	25.5	0.67	47	—	—	—	?4.02	Bartholomew, Dawson & Lasiewski (1970)
Nyctophilus bifax	HIB	0.01	7.3	0.046	3	129	27	3	?16.48	Stawski, Turbill & Geiser (2009) and Stawski & Geiser (2010, 2011)
Nyctophilus geoffroyi	HIB	0.007	1.4	0.037	3	362	106	3	?27.37	Geiser & Brigham (2000) and Turbill & Geiser (2008)
Nyctophilus gouldi	HIB	0.01	2.3	0.052	4	259	106	3	?33.54	Geiser & Brigham (2000) and Turbill & Geiser (2008)
Pipistrellus pipistrellus	HIB	0.0074	3	0.024	1	—	—	—	43.44	Kayser (1964) and Kulzer (1965)
Pipistrellus subflavus	HIB	0.005	—	—	—	1800	607	1.5	31.01	Brack & Twente (1985) and French (1985)
Plecotus auritus	HIB	0.01	?2	—	—	—	—	—	44.65	Eisentraut (1956)
Rhinolophus ferrumequinum	HIB	0.023	9	—	—	432	104	4.3	38.48	Kulzer (1965) and Park, Jones & Ransome (2000)
Rhinolophus hipposideros	HIB	0.006	—	—	—	2064	427	—	31.68	Harmata (1987)
Rhinopoma microphyllum	HIB	0.01	23	—	—	—	—	—	18.84	Kulzer (1965) and Levin et al. (2010)
Scotophilus dinganii	DT	0.029	18.5	—	—	19	15	—	?8.02	Jacobs et al. (2007)
Scotophilus mhlanganii	DT	0.028	17.2	—	—	18.5	17.2	—	?6	Jacobs et al. (2007)
Sturnira lilium	DT	0.016	22	0.5	25	—	—	—	?2.47	Audet & Thomas (1997)
Syconycteris australis	DT	0.018	17.2	0.47	36	8.2	7.3	—	?16.55	Coburn & Geiser (1998)
Tadarida aegyptiaca	HIB	0.017	6	—	—	228	—	—	1.12	Cory Toussaint, McKechnie & van der Merwe (2010)
Tadarida brasiliensis	HIB	0.01	9	0.06	3	—	—	—	1.23	Herreid (1963) and Herreid & Schmidt?Nielsen (1966)
Tadarida teniotis	HIB	0.035	6.7	0.04	4	192	528	4.5	35.4	Arlettaz et al. (2000) and Marom et al. (2006)
Vespadelus vulturnus	HIB	0.004	5	0.014	1.3	—	—	—	?34.21	Willis, Turbill & Geiser (2005b)
Atelerix algirus	HIB	0.63	9.7	—	—	168	84	16	33.74	Mouhoub?Sayah et al. (2008)
Atelerix frontalis	HIB	0.4	1	—	—	116	22	12	?23.03	Hallam & Mzilikazi (2011)
Crocidura flavescens	DT	0.032	19	—	—	—	—	—	?30.94	Baxter (1996)
Crocidura leucodon	DT	0.012	18.6	—	—	—	—	—	42.54	Nagel (1985)
Crocidura russula	DT	0.01	17.9	0.9	38	3	—	—	40.48	Nagel (1977, 1985)
Crocidura suaveolens	DT	0.008	21.6	—	—	—	—	—	45	Nagel (1985)
Erinaceus europaeus	HIB	0.7	5.4	0.01	2.5	288	213	22.1	53.78	Kristoffersson & Soivio (1964) and Thati (1978)
Notiosorex crawfordi	DT	0.004	27.4	1.42	43	—	—	—	31	Lindstedt (1980)
Sorex sinuosus	DT	0.0078	—	1.3	28	1	—	—	31.46	Newman & Rudd (1978)
Suncus etruscus	DT	0.002	12	0.6	10	7.6	2	—	28.2	Vogel (1974) and Frey (1979, 1980)
Zaedyus pichiy	HIB	1.1	12.5	—	—	112	75	—	?40.89	Superina & Boily (2007)
Amblysomus hottentotus	HIB	0.075	8.6	—	—	96	78	—	?29.74	Scantlebury et al. (2008)
Echinops telfairi	HIB	0.085	11	0.026	2	264	162	—	?22.58	Dryden, Gebczynski & Douglas (1974) and Scholl (1974)
Geogale aurita	DT	0.006	16	0.15	13	—	—	—	?22.55	Stephenson & Racey (1993a)
Microgale dobsoni	DT	0.045	20	0.22	24	—	—	—	?18.56	Stephenson & Racey (1993b)
Setifer setosus	HIB	0.32	13	0.014	4	3600	—	—	?18.96	Kayser (1964), Hildwein (1970) and Lovegrove et al. (2013)
Tenrec ecaudatus	HIB	0.65	15	0.027	9	6480	—	—	?18.96	F. Lachiver cited in Kayser (1961), Kayser (1964), Hildwein (1970) and Lobban & Lovegrove (2012)
Elephantulus edwardii	HIB	0.045	9.3	—	—	44	17.3	—	?31.59	Geiser & Mzilikazi (2011)
Elephantulus myurus	HIB	0.057	5.5	0.078	7	39	8.8	—	?23.07	Lovegrove et al. (2001), Mzilikazi & Lovegrove (2004) and McKechnie & Mzilikazi (2011)
Elephantulus rozeti	DT	0.045	5.1	0.023	2	20.1	13.6	—	32.6	Lovegrove et al. (2001)
Elephantulus rupestris	DT	0.06	12	—	—	12	5	—	?25.59	Oelkrug et al. (2012)
Macroscelides proboscideus	DT	0.046	9.4	—	—	18	10.7	—	?26.24	Lovegrove, Lawes & Roxburgh (1999)
Acrobates pygmaeus	HIB	0.011	1.6	0.056	5	192	85	—	?24.91	Fleming (1985) and Geiser & Ferguson (2001)
Burramys parvus	HIB	0.063	1.8	0.025	2	480	342	—	?36.29	Geiser & Broome (1991)
Cercartetus concinnus	HIB	0.018	4.7	0.046	4	264	102	—	?33.82	Geiser (1987)
Cercartetus lepidus	HIB	0.012	5.9	0.052	3	144	—	—	?38.97	Geiser (1987)
Cercartetus nanus	HIB	0.02	1.3	0.018	2.7	840	101	—	?35.06	Geiser (1993), Song et al. (1997) and Turner et al. (2012)
Petaurus breviceps	DT	0.13	10.4	0.07	9.5	23	13	—	?20.7	Fleming (1980) and Kortner & Geiser (2000b)
Tarsipes rostratus	DT	0.01	5.4	0.15	5	14.4	10.5	—	?31.3	Collins, Wooller & Richardson (1987) and Withers, Richardson & Wooller (1990)
Dromiciops gliroides	HIB	0.0402	7.1	0.03	3.8	144	120	—	?39.86	Grant & Temple?Smith (1987); Bozinovic, Ruiz & Rosenmann (2004) and Franco et al. (2012)
Antechinomys laniger	DT	0.027	11	0.14	13	16	11.5	—	?27.09	Geiser (1986)
Antechinus flavipes	DT	0.026	24.5	0.48	46	5.5	2	—	?26.92	Geiser (1988)
Antechinus stuartii	DT	0.026	19.9	0.66	62	9	4	—	?26.74	Geiser (1988)
Dasycercus cristicauda/blythi	DT	0.1	10.8	0.12	23	20.8	5.8	—	?25.02	MacMillen & Nelson (1969), Geiser & Masters (1994) and Kortner, Pavey & Geiser (2008)
Dasykaluta rosamondae	DT	0.027	21	—	—	16.4	12.3	—	?22.58	Kortner, Rojas & Geiser (2010)
Dasyuroides byrnei	DT	0.12	20.4	0.4	54	7.5	2.7	—	?26.08	Geiser & Baudinette (1987)
Dasyurus geoffroii	DT	1	23.1	—	—	—	—	—	?33.17	Arnold (1976)
Dasyurus hallucatus	DT	0.516	28.4	—	—	—	—	—	?18	Cooper & Withers (2010)
