FirstName	SecondName	Temp	MR
Peromyscus	truei	36.4	62.604
Peromyscus	truei	36.7	50.796
Phenacomys	intermedius	37.9	67.295
Phodopus	sungorus	36.1	40.863
Phyllotis	darwini	36.2	71.39
Phyllotis	darwini	37.1	45.36
Phyllotis	xanthopygus	37.3	56.65
Pseudomys	gracilicaudatus	36.8	83.79
Pseudomys	hermannsburgensis	37.75	23.3022
Rattus	fuscipes	37.45	84.36
Rattus	lutreolis	36.7	63.2202
Rattus	villosissimus	35.9	145.8492
Reithrodontomys	megalotis	36.8	22.5
Rhabdomys	pumilio	37	32.076
Saccostomus	campestris	35.25	51.492
Scotinomys	teguina	37.6	31.2
Scotinomys	xerampelinus	36.2	31.92
Sekeetamys	calurus	37.5	44.382
Sigmodon	hispidus	38.1	230.4024
Steatomys	pratensis	34.1	18.7698
Tachyoryctes	splendens	35.9	150.89
Tatera	afra	34	182.115
Tatera	leucogaster	35.08	132.5584
Thallomys	paedulcus	36.715	87.26808
Myoxus	glis	37.7	158
Muscardenis	avellanarius	35.8	62.98
Aconaemys	fuscus	37.3	120.96
Octodon	degus	37.6	170.244
Octodontomys	gliroides	37.2	130.7
Octomys	mimax	36.7	115.042
Spalacopus	cyanus	36.45	106.8
Tympanoctomys	barrerae	35.7	77.112
Pedetes	capensis	35.9	793.5
Ammospermophilus	leucurus	37.5	93.882
Cynomys	ludovicanus	36.7	422.6742
Funisciurus	congicus	39.275	95.454
Glaucomys	volans	39	67.4625
Marmota	flaviventris	36.5	1546.2
Marmota	monax	37	662.502
Paraxerus	cepapi	39.07	145.34
Paraxerus	palliatus	39.3	260.286
Paraxerus	palliatus	38.805	175.1
Sciurus	aberti	40.7	430.56
Sciurus	carolinensis	38.7	369.6
Spermophilus	armatus	35.73333333	147.2
Spermophilus	beecheyi	37.6	317.7882
Spermophilus	beldingi	35.5	127.26
Spermophilus	citellus	37.5	228
Spermophilus	lateralis	36.3	143.4
Spermophilus	mohavensis	37	112.8
Spermophilus	parryi	37	520
Spermophilus	richardsoni	35.45	131.52
Spermophilus	spilosoma	36.13333333	92.22
Spermophilus	tereticaudus	36.3	93.52
Spermophilus	townsendii	35.575	105.34
Spermophilus	tridecemlineatus	35.7	140.4414
Spermophilus	undulatus	38	667.08
Tamias	amoenus	37	96.2706
Tamias	merriami	37	78.75
Tamias	minimus	37	72.7302
Tamias	striatus	38.15	90.022
Tamiasciurus	hudsonicus	38.65	254.5545
Xerus	inauris	36.8	326.284
Xerus	princeps	37.6	340.13
Pltilocerus	lowii	36.5	43.5
Tupaia	glis	37	93.48
Orycteropus	afer	34.5	6144
Bradypus	variegatus	33	685.992
Cabassous	centralis	33.6	916.8
Chaetophractus	nationi	35.5	559
Chaetophractus	vellerosus	34.4	306.36
Chaetophractus	villosus	35.1	808.12
Dasypus	novemcinctus	34.5	865.215
Euphractus	sexcinctus	34.2	1236.69
Priodontes	maximus	33.6	3027.73
Tolypeutes	matacus	33	209.96
Zaedyus	pichi	35.2	393.24
Choloepus	hoffmanni	34.4	603.2
Cyclopes	didactylus	33	114.48
Myrmecophaga	tridactyla	32.52	2607.12
Tamandua	mexicana	31.95	991.5156
Tamandua	tetradactyla	33.5	898.8
Antechinomys	laniger	35.75	25.284
Antechinus	flavipes	35	45.105
Antechinus	stuartii	35.06666667	33.78589
Antechinus	swainsoni	36.025	63
Dasycercus	cristicaudata	36.85	51.005
Dasyuroides	byrnei	35.18333333	71.70747
Dasyurus	geoffroyi	36.2	568.68
Dasyurus	hallucatus	35.9	243.009
Dasyurus	maculatus	36.9	588.06
Dasyurus	viverrinus	35.9	396.237
Ningaui	yvonnae	34.4	15.66
Phascogale	tapoatafa	37.4	127.17
Planigale	gilesi	35.1	6.981333
Planigale	maculata	34.5	12
Planigale	tenuirostris	34.5	11.289
Pseudantechinus	macdonnellensis	34.2	27.153
Sarcophilus	harrisii	35.75	1325.363
Sminthopsis	crassicaudata	35.16	25.09556
Sminthopsis	macroura	33.3	22.54275
Sminthopsis	murina	35	21.47
Myrmecobius	fasciatus	32.5	142.4
Caluromys	derbianus	35	225.0225
Chironectes	minimus	34.95	456.5033
Didelphis	marsupialis	35	570.605
Didelphis	virginiana	34.96666667	831.9328
Lutreolina	crassicaudata	35.8	406
Philander	opossum	35.8	337.95
Gracilinanus	microtarsus	35	18.72
Marmosa	robinsoni	34	97.6
Metachirus	nudicaudatus	35	204.96
Monodelphis	brevicaudata	33.65	56.51175
Monodelphis	domestica	32.6	60.008
Acrobates	pygmaeus	34.7	15.12
Burramys	parvus	36.1	36.769
Cercartetus	conncinnus	34.4	22.32
Cercartetus	lepidus	33.7	18.774
Cercartetus	nanus	35.6	60.2
Petaurus	breviceps	35.86666667	89.93978
Spilocuscus	maculatus	34.7	1143.25
Trichosurus	vulpecula	36	731.6425
Phascolarctos	cinereus	35.8	1034.005
Bettongia	gaimardi	35.6	641.255
Bettongia	penicillata	37.2	561.427
Potorous	tridactylus	35.85	416.4267
Aepyprimnus	rufescens	36.5	1071.6
Petauroides	volans	35.4	573.923
Pseudocheirus	occidentalis	36.5	408.975
Pseudocheirus	peregrinus	37.4	430.5198
Tarsipes	rostratus	36.6	29
Lasiorhinus	latifrons	35.3	2991.7
Notoryctes	caurinus	30.8	21.42
Echymipera	kalabu	35	340.55
Echymipera	rufescens	34.6	301.84
Echymipera	rufescens	35.2	541.024
Isoodon	auratus	33.8	149.8
Isoodon	macrourus	35.9	573.87
Isoodon	obesulus	33.9	222.27
Macrotis	lagotis	35	449.665
Perameles	gunni	35.2	420.174
Perameles	nasuta	36.1	316.05
Ornithorhynchus	anatinus	34	194.04
Zaglossus	bruijni	30.8	1215.4
Tachyglossus	aculeatus	30.7	430.55
Tachyglossus	setosus	30	547.74
