"","species_name","Beak_length_Culmen","Beak_length_Nares","Beak_width","Beak_depth","Tarsus_length","Wing_length","Kipps_distance","Hand_wing_index","Tail_length","Mass","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange"
"253","Erythrocercus_mccallii",10.7,5.8,3.1,2.8,14.7,47.3,4.1,8.7,47,7.2,"3,08","24,87251783","13,51419465","1820,839943","286,1863378"
"254","Eudocimus_ruber",144.9,118.8,11.9,16.6,82.2,260.4,94.3,37.1,87,660.1,"2,11","25,7011","12,26595305","1836,40853","269,525223"
"255","Eudromia_elegans",29.1,13.8,7.4,7.4,44,215.3,74,34.3,85.8,702.9,"-37,96","13,65264246","27,55754564","420,7790564","48,93757673"
"256","Eudyptes_chrysocome",49.9,26.8,13.4,21.3,25.7,97.9,6.3,6.5,87.4,2327.8,"-50,81","6,087477564","14,21182359","1131,243654","44,00492282"
"257","Eudyptes_chrysolophus",60.8,34.1,16.2,23.9,35.1,116.5,6.7,5.8,103.2,4485.1,"-54,56","5,4199734","12,6964188","1608,4631","70,838502"
"258","Eudyptula_minor",47.5,23.6,6.9,13.7,22.1,67.2,3.8,5.6,27,1107.8,"-37,88","13,74550007","19,30330915","1096,948239","76,25528204"
"259","Eulacestoma_nigropectus",15.2,7.3,3.9,8.4,19,69.4,9.2,13.2,51.8,20,"-7,02","21,891152","11,62988","3055,4076","187,258532"
"260","Euphagus_cyanocephalus",22.6,14.4,5.8,7.5,31,126.4,39.1,31.2,100.6,62.5,"45,9","5,57913162","40,12661111","567,8899782","65,3533707"
"261","Eurystomus_gularis",25.3,15.2,11.3,12.3,17.8,148.6,61.8,42.4,90.6,96.3,"1,56","24,77252348","12,89007776","1797,225562","245,4776515"
"262","Eurystomus_orientalis",32,20.1,11.8,13.4,16.8,186.2,68.4,36.9,98,143,"12,37","19,66524719","23,23178474","1649,09638","233,9842685"
"263","Falco_amurensis",17.2,12.2,9,10.2,28.5,234.2,124,52.9,121.5,141.9,"47,21","0,928554908","51,98125934","567,7305907","139,6348855"
"264","Falco_cherrug",32.8,21.8,14.8,17.9,52.6,378.5,190.5,49.9,204.5,961.2,"44,3","4,591773435","43,23229923","343,2694086","53,40802079"
"265","Falco_columbarius",16.6,11.8,8,10.5,34.3,199.6,98.8,48.9,116.6,188.5,"58","-2,748943659","45,41933454","571,6919311","60,83195135"
"266","Falco_naumanni",19.8,13,9.5,11,29.9,229.3,123.4,53.9,132.4,152.1,"42,6","7,76609707","41,00848036","347,4837652","51,4151197"
"267","Falco_peregrinus",33,19.3,13.7,15.6,45.3,326.1,167.4,51.1,152.1,760,"25,84","10,93264578","32,28547027","741,7688717","112,4582044"
"268","Falco_rusticolus",36,22,16.3,19.2,56.7,368,174.2,47.5,201.8,1431.7,"67,63","-9,788742022","42,87674898","415,58275","41,1708119"
"269","Falco_sparverius",17.1,11,8.4,10.1,33.7,182.4,77.9,43.7,126.5,114.6,"18,19","13,10622572","30,15016283","903,7619317","109,3440216"
"270","Falco_subbuteo",17.9,12.4,10.4,11.8,31.7,260.7,150.2,57.8,129.2,208.2,"47,32","3,80805912","41,70004364","518,0291681","72,8519013"
"271","Falco_tinnunculus",20.8,14.1,10.6,11.5,39.1,241,123.2,51,154.5,183.2,"31,89","11,28066126","34,57112549","611,3881637","106,3037005"
"272","Falcunculus_frontatus",19.7,10.2,5.4,10.5,20.9,89.8,19.5,21.1,78.1,27.9,"-30,08","18,11260548","24,84919955","741,9031448","91,29160652"
"273","Ficedula_albicollis",12.4,6.1,3.8,3.2,16.3,80.6,25.6,31.9,51.6,12.7,"48,42","8,019933208","33,09998997","646,5695865","52,21535973"
"274","Ficedula_zanthopygia",13.1,7.3,3.8,3.6,14.8,67.9,18,26.3,49.8,12.1,"39,49","7,296514459","42,23089751","743,3089789","155,5058093"
"275","Florisuga_fusca",25.2,19.1,2.2,2.7,4.2,75.9,48.7,64.8,42,8,"-24,54","20,06922117","18,75188905","1380,671526","131,9751895"
"276","Florisuga_mellivora",23.6,16.7,2.6,2.7,5,67.8,43.8,66.1,36.8,7.4,"-1,2","25,28445653","13,26918514","2214,913005","268,7942891"
"277","Formicarius_rufipectus",26.8,13.5,5.7,6.6,36.5,92,11.8,12.7,55.4,74.4,"-1,79","19,56708125","13,5358935","2088,333588","208,5352353"
"278","Forpus_passerinus",15.9,12.6,8.3,12.8,9.8,79.5,31.9,40.1,37.7,23,"5,45","26,25104894","11,47360872","1878,589952","260,3849629"
"279","Francolinus_pintadeanus",26.9,14.7,8.8,10.2,37.9,149.4,37.4,25,72.4,310,"19,73","22,57100272","20,75561861","1734,978293","317,1351632"
"280","Fregata_magnificens",121.9,95.9,25.8,22.5,28.9,642,413,64,439.8,1490.5,"9,43","24,79978911","12,63808396","1362,302634","183,2706636"
"281","Fringilla_coelebs",14.7,9.8,5.5,6.7,17.8,85.9,23.7,27.6,65.9,23.8,"49,78","7,565385127","33,13223894","610,4271459","56,76688471"
"282","Fringilla_montifringilla",14.4,9.5,5.9,7.4,19,89.3,29,32.5,61.7,23.2,"59,95","-4,331950026","48,78166739","485,6950308","57,76905591"
"283","Furnarius_figulus",18.6,13.9,3.7,4.4,25.6,83.2,14.1,17.4,58,28,"-10,17","24,60847735","15,21809537","1298,957146","220,4350812"
"284","Gallicrex_cinerea",42.8,17.9,5.8,9.5,64.4,185.9,58.1,31.6,73.2,390.4,"22,84","20,46262249","24,93741225","1491,045431","287,2879322"
"285","Gallinago_stenura",65.7,54.2,5.2,6.9,30.5,126.8,59.3,46.5,44,113,"61,05","-8,44362401","55,79496089","390,9476524","59,39302869"
"286","Gallinula_chloropus",32.9,14.6,4.9,9.1,48.1,169.9,54.9,32.3,71.1,339.6,"19,51","16,9733801","27,00763639","995,4704093","148,2308196"
"287","Gallirallus_striatus",37.4,22.4,4.2,7.2,32.9,114.8,28.2,24.2,40.6,116,"15,82","23,64197036","19,22582316","1891,538635","307,6815697"
"288","Gallus_gallus",30.9,15.4,8.9,8.9,68.1,218.2,48.9,22.5,194,751.7,"13,7","23,50574193","18,53666241","1861,5042","324,0116573"
"289","Gallus_sonneratii",36.4,14.9,9.2,9.1,67.5,218,45.2,21.2,219,840.8,"17,9","26,29746691","23,641845","1138,749875","337,9360949"
"290","Gallus_varius",29.2,13.7,8.9,9.4,65.5,202.2,40.6,20.6,186.6,839.3,"-7,68","25,3801","12,091655","2035,093519","296,8943407"
"291","Garrulax_albogularis",24.9,15.3,5.9,7.4,41,126,9,7.3,134.3,97.5,"29,35","10,29705143","28,66546342","1010,105477","202,8787392"
"292","Garrulax_canorus",23.9,13.6,5.2,7,36.4,92.4,6.4,7,104.1,62.8,"26,72","16,80679237","26,68161086","1339,966063","229,7820058"
"293","Garrulax_formosus",24.1,12.2,5.1,6.4,38.9,101.2,3.8,3.8,115.2,94.5,"27,52","12,41753636","26,7409567","1061,165175","200,2821395"
"294","Garrulax_perspicillatus",28.6,18.1,6.3,8.2,41.9,123.6,10.8,8.8,147.1,117.8,"27,47","17,17525708","27,7742013","1328,419558","218,4672726"
"295","Garrulax_poecilorhynchus",25.9,16,6.3,8,40.5,107.6,4,3.8,120.8,72,"27,23","15,18052901","26,40922613","1374,287775","221,0245732"
"296","Garrulax_sannio",23.4,15,5.2,6.6,34.5,96.3,7.8,8.1,118.4,67.8,"26,87","16,34206585","26,77478251","1328,976493","233,1091401"
"297","Garrulus_glandarius",33.7,19.9,10.4,12.2,40.6,181.4,35.1,19.2,147.1,159.5,"45,59","7,157589406","36,20010365","769,6275518","108,3961195"
"298","Gavia_pacifica",71.9,41.1,8.3,12.9,72.8,291.2,139,47.9,48.4,2251.1,"65,24","-9,196383837","46,33844871","309,9226589","42,13893848"
"299","Gavia_stellata",63.1,37.4,7.5,12.2,66.1,275.4,130.7,47.6,45.6,1486,"62,45","-5,955776913","44,99255164","476,8376102","51,6845802"
"300","Geococcyx_californianus",57.8,35.4,10.1,12.5,59.5,181,12,6.5,287.4,376,"30,73","17,27194968","32,50903406","553,4703971","79,81834438"
