"","species_name","GhAhSkew_seq_begining","GhAhSkew_start_codon"
"91","Ensifera ensifera","-0.204819277108434","0.425"
"92","Eriocnemis glaucopoides","-0.195121951219512","0.513513513513513"
"93","Eugenes fulgens","0.227526395173454","0.0964668886422494"
"94","Eulampis holosericeus","0.253731343283582","0.272727272727273"
"95","Eulampis jugularis","-0.194805194805195","-0.173333333333333"
"96","Eulidia yarrellii","0.264285714285714","0.257818459191457"
"97","Eupetomena macroura","0.513513513513513","-0.191011235955056"
"98","Eupherusa eximia","0.264705882352941","-0.166666666666667"
"99","Eupherusa nigriventris","-0.220779220779221","0.148148148148148"
"100","Eutoxeres aquila","0.320754716981132","0.507246376811594"
"101","Florisuga fusca","0.280354858610406","0.0208035075161059"
"102","Florisuga mellivora","-0.1396283886689","0.0338937318389373"
"103","Glaucis aeneus","0.407407407407407","0.423076923076923"
