"","Species","Orders"
"3445","Gallinago stenura","Charadriiformes"
"3457","Gallinula chloropus","Gruiformes"
"3469","Gallirallus striatus","Gruiformes"
"3481","Gallus gallus","Galliformes"
"3493","Gallus sonneratii","Galliformes"
"3505","Gallus varius","Galliformes"
"3517","Garrulax albogularis","Passeriformes"
"3529","Garrulax canorus","Passeriformes"
"3541","Garrulax formosus","Passeriformes"
"3553","Garrulax perspicillatus","Passeriformes"
"3565","Garrulax poecilorhynchus","Passeriformes"
"3577","Garrulax sannio","Passeriformes"
"3589","Garrulus glandarius","Passeriformes"
"3601","Gavia pacifica","Gaviiformes"
"3613","Gavia stellata","Gaviiformes"
"3625","Geococcyx californianus","Cuculiformes"
"3637","Geopelia cuneata","Columbiformes"
"3649","Geospiza magnirostris","Passeriformes"
"3661","Geotrygon violacea","Columbiformes"
"3673","Gerygone igata","Passeriformes"
"3685","Glaucidium cuculoides","Strigiformes"
"3697","Glaucis hirsutus","Apodiformes"
"3709","Gnorimopsar chopi","Passeriformes"
"3721","Goura cristata","Columbiformes"
"3733","Goura scheepmakeri","Columbiformes"
"3745","Goura victoria","Columbiformes"
"3757","Gracula religiosa","Passeriformes"
"3769","Grallaria varia","Passeriformes"
"3781","Grantiella picta","Passeriformes"
"3793","Grus americana","Gruiformes"
"3805","Grus carunculatus","Gruiformes"
"3817","Grus grus","Gruiformes"
"3829","Grus japonensis","Gruiformes"
"3841","Grus leucogeranus","Gruiformes"
"3853","Grus monacha","Gruiformes"
"3865","Grus nigricollis","Gruiformes"
"3877","Grus paradisea","Gruiformes"
"3889","Grus virgo","Gruiformes"
"3901","Guaruba guarouba","Psittaciformes"
"3913","Gymnomystax mexicanus","Passeriformes"
"3925","Gymnorhina tibicen","Passeriformes"
"3937","Haematopus ater","Charadriiformes"
"3949","Haematopus ostralegus","Charadriiformes"
"3961","Haematortyx sanguiniceps","Galliformes"
"3973","Halcyon coromanda","Coraciiformes"
"3985","Halcyon senegalensis","Coraciiformes"
"3997","Halcyon smyrnensis","Coraciiformes"
"4009","Haliaeetus albicilla","Accipitriformes"
"4021","Heliodoxa aurescens","Apodiformes"
"4033","Heliornis fulica","Gruiformes"
"4045","Hemignathus flavus","Passeriformes"
"4057","Hemiphaga novaeseelandiae","Columbiformes"
"4069","Henicorhina leucosticta","Passeriformes"
"4081","Herpetotheres cachinnans","Falconiformes"
"4093","Himantopus himantopus","Charadriiformes"
