Species;Bad1Good2;Wild-1_Aviary-2_Domestic-3;Day-Night;n;Mass;Trait;TraitValue;Method;Mountains;Summer-Winter;Breeding-NonBreeding;Climate;World;Passerine;Order;Elevation;ElevationLatCor;MeanSurfaceTemperature;AbsoluteMinSurfaceTemperature;AbsoluteMaxSurfaceTemperature;AbsoluteSurfaceTemperatureRange;AverageDailyMinimumSurfaceTemperature;AverageDailyMaximumSurfaceTemperature;AverageDailySurfaceTemperatureDifference;SD_DailyMeanSurfaceTemperature;SE_DailyMeanSurfaceTemperature;MeanGaussianTemperature;AbsoluteMinGaussianTemperature;AbsoluteMaxGaussianTemperature;AbsoluteGaussianTemperatureRange;AverageDailyMinimumGaussianTemperature;AverageDailyMaximumGaussianTemperature;AverageDailyGaussianTemperatureDifference;SD_DailyMeanGaussianTemperature;SE_DailyMeanGaussianTemperature
Emberiza schoeniclus;2;NA;N;NA;17,6;BMR;53,78;NA;;;;Temperate;Old;P;Passeriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza schoeniclus;2;2;N;1;18,2;BMR;55,98;flow;N;Autumn;N;Temperate;Old;P;Passeriformes;NA;NA;22;20;24;NA;NA;NA;NA;NA;NA;22;20;24;NA;NA;NA;NA;NA;NA
Emberiza schoeniclus;NA;NA;N;3;17,6;BMR;54;close;;Autumn;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Empidonax occidentalis;2;1;D;5;11,72;RMR;49,66;flow;NA;Summer;Y;Sub;New;P;Passeriformes;1696;57,24262295;22,85962082;5,91;35,07;29,16;18,51954582;26,93417299;8,414627164;5,337615944;0,652093574;22,41234743;1,548223342;39,02711136;37,47888801;12,62182469;30,35274606;17,73092137;5,191807178;0,634280198
Empidonax virescens;2;1;N;7;12,3;BMR;31,7;flow;N;Summer;NA;Sub;New;P;Passeriformes;13;35,5659458;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Enicurus leschenaulti;2;1;D;1;35,69;RMR;109,18;flow;NA;Summer;Y;Tropical;Old;P;Passeriformes;0;6;25,44850565;22,454;28,314;5,86;24,78418569;26,09653098;1,312345293;0,84036284;0,040620471;25,50412209;22,45462117;28,50238006;6,047758889;24,96483889;26,41947403;1,454635139;0,810785869;0,039190814
Entomodestes leucotis;2;1;N;1;60,7;BMR;46,57;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Eopsaltria australis;2;1;N;7;19,2;BMR;63;flow;N;NA;NA;Sub;Old;P;Passeriformes;183;-28,69;20,02134173;1,16325567;41,29384767;40,130592;15,5680908;25,48640237;9,918311567;7,554803262;0,409716733;19,61899372;-3,811825799;46,10407571;49,91590151;13,6256509;27,34295786;13,71730697;8,13874518;0,441385429
Epimachus meyeri;2;2;N;4;202,7;BMR;330,4;flow;Y;;;Tropical;Old;P;Passeriformes;71;-5,729727459;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Epinecrophylla leucophthalma;2;1;N;8;9,4;BMR;34,03;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Eremalauda dunni;2;2;N;22;20,9;BMR;51,25332005;flow;;Summer;N;Tropical;Old;P;Passeriformes;1486;40,74063836;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Poodytes carteri;1;1;N;28;11,6;RMR;33,64;flow;NA;Winter;NA;Tropical;Old;;Passeriformes;45;-20,17650274;26,07340817;20,67634666;32,25096001;11,57461335;23,60522356;29,02367025;5,418446689;1,049304691;0,174884115;26,44234488;22,78380008;30,86669384;8,082893759;24,57893156;29,1696106;4,590679031;0,716418134;0,119403022
Eremophila alpestris;2;2;N;57;26;RMR;59;flow;Y;;;Sub;New;P;Passeriformes;1167;49,75618506;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eremopterix nigriceps;2;2;N;6;15,2;BMR;34,23804781;flow;;Summer;N;Tropical;Old;P;Passeriformes;1486;40,74063836;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Larvivora cyane;2;1;D;3;13,4;BMR;47,31;close;;Winter;NA;Tropical;Old;P;Passeriformes;41;3,654371588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Larvivora cyane;2;1;N;3;13,4;BMR;31,5;close;;Winter;NA;Tropical;Old;P;Passeriformes;41;3,654371588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erithacus rubecula;2;NA;N;NA;17,6;BMR;50,3;NA;;;;Temperate;Old;P;Passeriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erithacus rubecula;2;2;N;3;16,2;BMR;47,14;flow;N;Autumn;N;Temperate;Old;P;Passeriformes;NA;NA;22;20;24;NA;NA;NA;NA;NA;NA;22;20;24;NA;NA;NA;NA;NA;NA
Erithacus rubecula;2;1;N;1;15,5;BMR;50,4;flow;N;NA;NA;Temperate;Old;;;9;53,29529536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erithacus rubecula;NA;NA;N;18;17,6;BMR;54;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erithacus rubecula;NA;NA;D;18;17,6;BMR;60,5;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erithacus rubecula;NA;NA;N;18;17,6;BMR;50,5;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erithacus rubecula;NA;NA;D;18;17,6;BMR;55;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erithacus rubecula;NA;;;;17,6;SMR;52,1;;;Summer;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erithacus rubecula;NA;;;;17,6;SMR;50,4;;;Winter;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pomatorhinus hypoleucos;2;1;N;2;83,8;BMR;148,7;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;25,78389775;19,80855551;32,5228889;12,71433339;22,25128109;30,14728813;7,896007042;0,921795364;0,246360174;26,64383178;19,76550462;35,08941551;15,32391089;21,98943641;32,7705079;10,78107148;0,89033413;0,237951805
Cercotrichas coryphoeus;2;1;D;6;21;RMR;72,07;flow;NA;Summer;Y;Sub;Old;P;Passeriformes;0;-34;15,3202358;10,6179788;26,414;15,7960212;13,49586422;17,51238137;4,016517148;2,161531679;0,274514798;15,47127954;10,76776343;25,26923768;14,50147425;13,01354508;18,78847032;5,774925236;1,686587463;0,214196822
Erythrura trichroa;2;1;N;2;15,1;BMR;55;flow;Y;;;Tropical;Old;P;Passeriformes;2094;21,50073008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Estrilda melpoda;2;3;N;NA;7,5;BMR;23,34;flow;N;;;Tropical;Old;P;Passeriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Estrilda troglodytes;2;2;D;38;6,4;BMR;22,2;open;NA;NA;NA;NA;New;P;Passeriformes;122;44,64694444;20;25;22,5;NA;NA;NA;NA;NA;NA;20;25;22,5;NA;NA;NA;NA;NA;NA
Estrilda troglodytes;NA;NA;N;NA;7,5;BMR;26,89;NA;;;;Temperate;Old;P;Passeriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Estrilda troglodytes;2;2;N;9;6,5;BMR;24,1;flow;;Spring;;Temperate;New;P;Passeriformes;263;45,73163433;24;21;27;NA;NA;NA;NA;NA;NA;24;21;27;NA;NA;NA;NA;NA;NA
Estrilda troglodytes;NA;NA;N;6;7,5;BMR;27;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Estrilda troglodytes;NA;NA;D;6;7,5;BMR;29;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Estrilda troglodytes;NA;NA;N;6;7,7;BMR;28;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Estrilda troglodytes;NA;NA;D;6;7,7;BMR;30,5;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eucometis penicillata;2;1;N;4;30,7;BMR;70,64;flow;;Summer;;Tropical;New;P;Passeriformes;37;9,601912572;25,86921464;23,67713138;28,59682462;4,919693235;25,38733006;26,43547584;1,048145781;0,531055638;0,045705992;25,67656049;23,78640422;28,38896015;4,602555933;24,98260248;26,56470202;1,582099542;0,423261754;0,036428572
Eudynamys scolopaceus;2;NA;N;;188;BMR;294,82;flow;;;;;Old;N;Cuculiformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eudyptula minor;1;NA;D;3;1150;RMR;1184,5;flow;;NA;;;;N;Sphenisciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eudyptes chrysocome;2;1;N;4;2506;BMR;1789,98;flow;N;NA;Y;Polar;Old;N;Sphenisciformes;54;-46,15846995;7,323436667;3,477306663;11,50024;8,022933334;6,349149585;8,323119637;1,973970051;1,302755995;0,103971247;7,053987243;3,923449885;10,23927846;6,315828573;6,450693212;7,595245498;1,144552286;0,957634321;0,076427539
Eudyptes chrysocome;2;2;N;2;2330;BMR;1045,61;NA;N;Winter;NA;Temperate;Old;N;Sphenisciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eudyptes chrysolophus;2;1;N;5;3779;BMR;2408,01;flow;N;NA;Y;Polar;Old;N;Sphenisciformes;54;-46,15846995;7,323436667;3,477306663;11,50024;8,022933334;6,349149585;8,323119637;1,973970051;1,302755995;0,103971247;7,053987243;3,923449885;10,23927846;6,315828573;6,450693212;7,595245498;1,144552286;0,957634321;0,076427539
Eudyptes chrysolophus;2;2;N;4;3870;BMR;1549,74;NA;N;Winter;NA;Temperate;Old;N;Sphenisciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eudyptes chrysolophus;NA;NA;D;NA;4200;RMR;4079,5;NA;NA;NA;NA;Polar;NA;N;Sphenisciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eudyptes pachyrhynchus;NA;1;N;4;2600;BMR;1241,5;NA;;;;;;N;Sphenisciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eudyptula minor;2;2;D;6;900;BMR;795,78;flow;;;N;Temperate;Old;;;27;-42,54854864;12,59744342;7,528428482;18,74266025;11,21423177;11,70746158;13,46960214;1,762140557;2,066386855;0,207679693;12,99889184;8,240820883;17,70033148;9,459510593;12,37527834;13,65013939;1,274861047;1,700373691;0,170893986
Eudyptula minor;NA;2;;5;960;BMR;627,4900398;flow;;;;Temperate;Old;;;27;-42,54854864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eudyptula minor;2;2;D;8;1120;RMR;672;flow;N;NA;N;Sub;Old;N;Sphenisciformes;39;-35,49541659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eudyptula minor;2;2;N;8;1120;RMR;582,4;flow;N;NA;N;Sub;Old;N;Sphenisciformes;39;-35,49541659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eugenes fulgens;NA;2;NA;;6,6;BMR;17,8;flow;;;;Sub;New;N;Apodiformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eugenes fulgens;1;2;N;1;7,9;RMR;48,39143426;flow;;;;;New;N;;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA
