"","species_name","Mutation_AG_midori","Mutation_CT_midori"
"189","Criniger calurus","0.289333","0.3546035"
"190","Cyanerpes cyaneus","0.192815","0.427805"
"191","Cyanocitta stelleri","0.156278","0.379001"
"192","Cyanoliseus patagonus","0.152789","0.568597"
"193","Cyanopica cyanus","0.2037095","0.2893515"
"194","Cyclarhis gujanensis","0.20041","0.361143"
"195","Cymbilaimus lineatus","0.15557865","0.454561"
"196","Cynanthus latirostris","0.261486","0.355852"
"197","Cyornis hainanus","0.1533771","0.346719"
"198","Cyornis rufigastra","0.104888","0.328585"
"199","Dacelo leachii","0.18968","0.622544"
"200","Daphoenositta chrysoptera","0.214878","0.219348"
"201","Dendrexetastes rufigula","0.207423","0.1533463"
"202","Dendrocincla fuliginosa","0.205745","0.3867645"
"203","Dendrocolaptes certhia","0.18094","0.3742185"
"204","Dendrocolaptes hoffmannsi","1","0"
"205","Dendrocolaptes picumnus","0.161083","0.627062"
"206","Dendrocolaptes platyrostris","0.285183","0.2210465"
"207","Dendrocolaptes sanctithomae","0.146299","0.465782"
"208","Dendrocopos major","0.200286","0.162243"
"209","Dendropicos fuscescens","0.194451","0.303648"
"210","Dicaeum hypoleucum","0.221538","0.333983"
"211","Dicaeum trigonostigma","0.2705555","0.3934035"
"212","Dicrurus adsimilis","0.221793","0.42862"
"213","Dicrurus forficatus","0.2567915","0.382007"
"214","Dicrurus hottentottus","0.191813","0.267342"
"215","Dicrurus leucophaeus","0.0546686","0.31362"
"216","Dicrurus ludwigii","0.243923","0.336883"
"217","Dicrurus modestus","0.179691","0.170738"
"218","Diglossa caerulescens","0.180593","0.212519"
"219","Diglossa cyanea","0.267506","0.22711"
"220","Drymodes brunneopygia","0.226","0.141391"
"221","Dryolimnas cuvieri","0","0.832383"
"222","Elaenia chiriquensis","0.0968474","0.35701"
"223","Elaenia flavogaster","0.166927","0.384148"
"224","Elaenia parvirostris","0.300005","0.418193"
"225","Elaenia ruficeps","0.144924","0.436032"
"226","Eleothreptus candicans","0","0"
"227","Emberiza citrinella","0.172912","0.391509"
"228","Emberiza godlewskii","0.37168","0.3342"
"229","Emberiza leucocephalos","0.226064","0.51587"
"230","Emberiza schoeniclus","0.237998","0.291172"
"231","Emberiza striolata","0.231945","0.334933"
"232","Emberizoides herbicola","0.193404","0.245586"
"233","Empidonax alnorum","0.15959617","0.2436581"
"234","Empidonax difficilis","0.200462","0.264114"
"235","Empidonax flaviventris","0.256828090909091","0.305535"
"236","Empidonax minimus","0.202002536363636","0.305928"
"237","Empidonax traillii","0.218241","0.274939"
"238","Empidonax wrightii","0.443144","0.0960565"
"239","Entomyzon cyanotis","0.216529","0.265933"
"240","Eopsaltria australis","0.241692454545455","0.2784815"
"241","Eopsaltria griseogularis","0.371533","0.252009"
"242","Epinecrophylla haematonota","0.246122","0.338001"
"243","Eremophila alpestris","0.215437","0.35842"
"244","Erithacus rubecula","0.273283","0.424124"
"245","Estrilda astrild","0.2877","0.342464"
"246","Eucometis penicillata","0.203075","0.251201"
"247","Eumyias albicaudatus","0.271129","0.32745"
"248","Eumyias panayensis","0.144053","0.315795"
"249","Euphonia affinis","0.043422","0.410022"
"250","Euphonia gouldi","0.257728","0.329449"
"251","Falco cherrug","0","0.777304"
"252","Falco hypoleucos","0.785938","0"
"253","Falco peregrinus","0.1420305","0.26681"
"254","Falco tinnunculus","0.789474","0"
"255","Ficedula basilanica","0.222901","0.398633"
"256","Ficedula hyperythra","0.217127333333333","0.317423666666667"
"257","Ficedula nigrorufa","0.24567","0"
"258","Formicarius analis","0.250803","0.256693"
"259","Formicarius colma","0.0976465","0.581639"
"260","Formicivora grisea","0.261373","0.380747"
"261","Formicivora serrana","0.319908","0"
"262","Forpus modestus","0.213446","0.164495"
"263","Forpus passerinus","0.211568","0.13890195"
"264","Foudia madagascariensis","0.186827","0.395892"
"265","Foulehaio carunculatus","0.256313","0.200441"
"266","Fringilla coelebs","0.158156","0.280295"
"267","Galbula albirostris","0.20027","0.36428"
"268","Galbula cyanicollis","0.2598715","0.176367"
"269","Galbula dea","0.226452","0.236357"
"270","Galbula leucogastra","0.177702","0.320905"
"271","Galerida cristata","0.0835644","0.257229"
"272","Gallus gallus","0.209253516666667","0.305069"
"273","Garrulax canorus","0.2703972","0.2816502"
"274","Garrulax chinensis","0.1965005","0.3376055"
"275","Garrulax pectoralis","0.249537","0.220195"
"276","Garrulax taewanus","0.197129","0.286693"
"277","Garrulus glandarius","0.2538365","0.2325465"
"278","Geothlypis aequinoctialis","0.177561","0.337191"
"279","Geothlypis trichas","0.149545","0.340405"
"280","Gerygone levigaster","0.232134","0.348296"
"281","Gerygone magnirostris","0.176427","0.32364"
"282","Gerygone olivacea","0.19596","0"
"283","Gerygone palpebrosa","0.150305","0.186424"
"284","Glyphorynchus spirurus","0.258244","0.358366333333333"
"285","Grallaria hypoleuca","0.340141","0"
"286","Grallaria rufula","0.256571","0.32652"
"287","Grallaria squamigera","0.136281","0.460615"
"288","Granatellus pelzelni","0.161248","0.436982"
"289","Gymnorhina tibicen","0.188652","0.396652"
"290","Gyps africanus","0.452078","0.313175"
"291","Gyps bengalensis","0.113","0.578258"
"292","Habia fuscicauda","0.239865","0.4285565"
"293","Halcyon senegalensis","0.0528101","0.716898"
"294","Harpactes ardens","0.231364","0.152077"
"295","Hemispingus frontalis","0.136294","0.299718"
"296","Hemispingus verticalis","0.343354","0"
"297","Hemispingus xanthophthalmus","0.277991","0"
"298","Hemithraupis flavicollis","0.200463","0.282634"
"299","Hemitriccus diops","0.106284","0.2527"
"300","Hemixos flavala","0.201315","0.364981"
"301","Henicorhina leucophrys","0.2315045","0.382915"
"302","Henicorhina leucosticta","0.279945333333333","0.297400333333333"
"303","Herpsilochmus rufimarginatus","0.317321","0.0258539"
"304","Hirundo rustica","0.225767076923077","0.329921461538462"
"305","Hylexetastes perrotii","0.209589","0.11164085"
"306","Hylexetastes stresemanni","0.402787","0"
"307","Hylia prasina","0.198472","0.408734"
"308","Hylopezus macularius","0.312789","0.128882"
"309","Hylophilus decurtatus","0.157014","0.32883"
"310","Hylophilus muscicapinus","0.168469","0.313552"
"311","Hylophilus ochraceiceps","0.23898","0.277516"
"312","Hylophylax naevius","0.193567","0.3597075"
"313","Hypocnemis cantator","0.230822333333333","0.357560333333333"
"314","Hypocnemis flavescens","0.184548","0.562332"
"315","Hypothymis azurea","0.213683","0.393467"
"316","Hypsipetes leucocephalus","0.284574","0.249448"
"317","Hypsipetes madagascariensis","0.23408","0.387609"
"318","Icterus cayanensis","0.236813","0.3976195"
"319","Icterus galbula","0.363764","0.209232"
"320","Icterus gularis","0.250091","0.251253"
"321","Illadopsis fulvescens","0.280461","0.327978"
"322","Iole propinqua","0.2230775","0.3272925"
"323","Irena cyanogastra","0.180762","0.323641"
"324","Irena puella","0.2514175","0.141972"
"325","Iridosornis analis","0.0812252","0.190564"
"326","Iridosornis reinhardti","0.114899","0.0604915"
"327","Iridosornis rufivertex","0.532998","0"
"328","Junco hyemalis","0.181442916666667","0.24538"
"329","Junco phaeonotus","0.25131","0.250053"
