"","species_name","GhAhSkew_seq_begining","GhAhSkew_start_codon"
"140","Topaza pella","-0.274074074074074","0.607476635514019"
"141","Aegotheles albertisi","0.0756011707008385","-0.0299848720901352"
"142","Aegotheles archboldi","-0.0207641196013289","-0.147381756756757"
"143","Aegotheles bennettii","0.109038911011872","0.0414598836167464"
"144","Aegotheles crinifrons","-0.283870967741935","-0.315789473684211"
"145","Aegotheles cristatus","0.0487056879544462","0.0638449824429271"
"146","Aegotheles insignis","0.205043876128012","0.16924548819581"
"147","Aegotheles novaezealandiae","0.833333333333333","-0.263157894736842"
"148","Aegotheles savesi","-0.733333333333333","-0.6"
"149","Aegotheles tatei","0.148601398601399","0.20456333595594"
"150","Aegotheles wallacii","0.0316028716451119","0.0748133001422475"
"151","Batrachostomus auritus","0.333333333333333","0.333333333333333"
"152","Batrachostomus cornutus","0.210285882699676","0.210285882699676"
"153","Batrachostomus moniliger","0.008","0.008"
"154","Batrachostomus septimus","0.209302325581395","0.209302325581395"
"155","Antrostomus arizonae","0.207207207207207","0.207207207207207"
"156","Antrostomus carolinensis","0.109090909090909","0.109090909090909"
"157","Antrostomus ridgwayi","0.160714285714286","0.160714285714286"
"158","Antrostomus rufus","0.155172413793103","0.155172413793103"
"159","Antrostomus salvini","0.213675213675214","0.213675213675214"
"160","Antrostomus saturatus","0.189655172413793","0.189655172413793"
"161","Antrostomus vociferus","0.305832935180761","0.311530940878767"
"162","Gactornis enarratus","0.145454545454545","0.145454545454545"
"163","Lyncornis macrotis","0.215979515730253","0.165136002027308"
"164","Lyncornis temminckii","0.0995061506545148","0.113367095470711"
"165","Nyctipolus nigrescens","-0.22962962962963","0.509433962264151"
"166","Setopagis parvulus","-0.299655927431967","0.579439252336449"
"167","Setopagis whitelyi","-0.225352112676056","0.605769230769231"
"168","Siphonorhis brewsteri","-0.279411764705882","0.611111111111111"
"169","Caprimulgus aegyptius","-0.24812030075188","0.700934579439252"
"170","Caprimulgus affinis","-0.343511450381679","0.559633027522936"
"171","Caprimulgus batesi","-0.231884057971014","0.63963963963964"
"172","Caprimulgus climacurus","0.0985246311577894","0.415765765765766"
"173","Caprimulgus europaeus","0.0402619293592037","0.201440430185839"
"174","Caprimulgus eximius","-0.316239316239316","0.552941176470588"
"175","Caprimulgus fossii","0.543859649122807","0.140495867768595"
"176","Caprimulgus indicus","0.62","0.168141592920354"
"177","Caprimulgus longirostris","0.196332786589863","0.12976260731463"
"178","Caprimulgus macrurus","-0.278393957463725","0.249238628548973"
"179","Caprimulgus madagascariensis","-0.26984126984127","0.210084033613445"
"180","Caprimulgus manillensis","-0.252737226277372","0.182608695652174"
"181","Caprimulgus nigriscapularis","-0.28125","0.234782608695652"
"182","Caprimulgus pectoralis","-0.306451612903226","0.206611570247934"
"183","Caprimulgus poliocephalus","-0.306451612903226","0.206611570247934"
"184","Caprimulgus rufigena","-0.255813953488372","0.128205128205128"
"185","Eleothreptus anomalus","-0.278195488721804","0.157894736842105"
"186","Eleothreptus candicans","0.188687409355455","0.777777777777778"
"187","Hydropsalis brasiliana","0.448275862068966","-0.403508771929825"
"188","Hydropsalis cayennensis","-0.257575757575758","0.189655172413793"
"189","Hydropsalis climacocerca","-0.274074074074074","0.172413793103448"
"190","Hydropsalis maculicaudus","-0.291338582677165","0.218181818181818"
"191","Hydropsalis torquata","-0.298507462686567","0.128205128205128"
"192","Macrodipteryx longipennis","-0.233082706766917","0.2"
"193","Macrodipteryx vexillarius","-0.272727272727273","0.2"
"194","Nyctidromus albicollis","-0.25","0.0517241379310345"
"195","Nyctidromus anthonyi","-0.246153846153846","0.180327868852459"
"196","Nyctiphrynus mcleodii","-0.291338582677165","0.175"
"197","Nyctiphrynus ocellatus","-0.208955223880597","0.241935483870968"
"198","Nyctiphrynus rosenbergi","-0.178294573643411","0.102362204724409"
"199","Nyctiphrynus yucatanicus","-0.276923076923077","0.168"
"200","Phalaenoptilus nuttallii","-0.314157196969697","0.318965517241379"
"201","Uropsalis lyra","0.224137931034483","-0.307692307692308"
"202","Uropsalis segmentata","-0.125506072874494","0.144965277777778"
"203","Chordeiles acutipennis","0.190833452024878","-0.228982716589816"
"204","Chordeiles minor","0.0666797032737499","-0.0251353547520727"
"205","Chordeiles pusillus","0.193548387096774","0.193548387096774"
"206","Chordeiles rupestris","-0.188571428571429","-0.197802197802198"
"207","Lurocalis nattereri","0.0578512396694215","0.0578512396694215"
"208","Lurocalis rufiventris","0.109243697478992","0.109243697478992"
"209","Lurocalis semitorquatus","0.0731707317073171","0.0731707317073171"
"210","Nyctiprogne leucopyga","0.14058064516129","0.14058064516129"
"211","Podager nacunda","0.116666666666667","0.116666666666667"
"212","Eurostopodus argus","0.147826086956522","0.147826086956522"
"213","Eurostopodus mystacalis","0.159663865546218","0.159663865546218"
"214","Eurostopodus papuensis","0.15","0.15"
"215","Nyctibius bracteatus","0.25","0.25"
"216","Nyctibius grandis","0.134992247361845","0.134992247361845"
"217","Nyctibius griseus","0.0941924066924067","0.0941924066924067"
"218","Nyctibius jamaicensis","0.0825688073394495","0.0825688073394495"
"219","Nyctibius maculosus","0.16610224157394","0.319832944832945"
"220","Podargus ocellatus","0.166286631143882","0.153435576523001"
"221","Podargus papuensis","0.322914428929467","-0.263185324160934"
"222","Podargus strigoides","-0.158641517564936","-0.222459163440657"
"223","Rigidipenna inexpectata","0.563106796116505","-0.358974358974359"
"224","Steatornis caripensis","0.256040347173352","-0.0883163698049194"
"225","Eurypyga helias","-0.014797323888233","-0.0321395775941231"
"226","Rhynochetos jubatus","0.286885245901639","-0.354838709677419"
"227","Phaethon lepturus","0.23895967046652","-0.310377006345651"
"228","Phaethon rubricauda","0.244755244755245","-0.297872340425532"
"229","Clanga clanga","0.158852489698615","0.205902986661805"
"230","Clanga hastata","0.596153846153846","-0.303571428571429"
"231","Clanga pomarina","0.252040235978577","0.0437435233687372"
"232","Kaupifalco monogrammicus","0.153153153153153","-0.350877192982456"
"233","Lophotriorchis kienerii","0.319508154943935","0.287624140565317"
"234","Accipiter badius","0.365811965811966","-0.367521367521368"
"235","Accipiter bicolor","0.160714285714286","0.505882352941176"
"236","Accipiter cirrocephalus","-0.401709401709402","-0.363636363636364"
"237","Accipiter cooperii","0.0284584980237154","0.404761904761905"
"238","Accipiter gentilis","0.135927529260487","0.125925848424762"
"239","Accipiter gularis","0.30413103522713","0.018849064848209"
"240","Accipiter henstii","0.332404181184669","0.114285714285714"
"241","Accipiter melanoleucus","0.151100375738057","0.188405797101449"
"242","Accipiter meyerianus","0.138012461683959","0.157902001380262"
"243","Accipiter nisus","0.314853762413083","0.0956421832823527"
"244","Accipiter rufiventris","-0.355932203389831","0.333333333333333"
"245","Accipiter soloensis","-0.294964028776978","0.299145299145299"
"246","Accipiter striatus","-0.294964028776978","0.192982456140351"
"247","Accipiter trivirgatus","-0.330612244897959","0.462121212121212"
"248","Accipiter virgatus","-0.333333333333333","0.705882352941177"
"249","Aegypius monachus","0.104008786217659","0.0277750254388386"
"250","Aquila adalberti","0.0537634408602151","0.0776908828977156"
"251","Aquila africana","-0.144585601935874","-0.214654282765738"
"252","Aquila audax","-0.0935259083124818","0.611753619697156"
"253","Aquila chrysaetos","0.155552044094547","0.193915647014241"
"254","Aquila fasciata","0.105989102482402","0.0678938072830902"
"255","Aquila gurneyi","0.195604395604396","-0.257946847316311"
"256","Aquila heliaca","0.114758439553714","0.329169765865835"
"257","Aquila nipalensis","0.260229007194253","0.176379336124402"
"258","Aquila rapax","0.359822462814175","0.0379372848946212"
"259","Aquila spilogaster","0.160963237539111","0.331074891088112"
"260","Aquila verreauxii","0.198827071812332","0.192487662892421"
"261","Aviceda cuculoides","-0.185185185185185","0.6"
"262","Busarellus nigricollis","-0.0978314614678251","-0.111787665886027"
"263","Butastur indicus","-0.126837692823608","0.315814393939394"
"264","Butastur liventer","0.452830188679245","0.452830188679245"
"265","Butastur rufipennis","0.234782608695652","-0.339130434782609"
"266","Butastur teesa","-0.35042735042735","0.226415094339623"
"267","Buteo albigula","0.118461538461538","0.554509803921569"
"268","Buteo albonotatus","0.559633027522936","-0.382113821138211"
"269","Buteo augur","0.551401869158878","0.189655172413793"
"270","Buteo brachyurus","0.532710280373832","0.0795956029848351"
"271","Buteo buteo","-0.124334645287097","0.110925894012605"
"272","Buteo galapagoensis","0.496358543417367","0.0957837837837838"
"273","Buteo hemilasius","0.136644788374794","0.233555708918028"
"274","Buteo jamaicensis","0.344996709244385","-0.198534453781513"
"275","Buteo japonicus","0.590344827586207","-0.0390693590869184"
"276","Buteo lagopus","0.483667708438351","0.163587051618548"
"277","Buteo lineatus","-0.114367816091954","0.167513106159895"
"278","Buteo nitidus","0.113333333333333","0.0956107213527613"
"279","Buteo oreophilus","0.207207207207207","0.211538461538462"
"280","Buteo platypterus","-0.044856260394393","-0.0100232190396125"
"281","Buteo polyosoma","0.0074298051397288","0.523140283140283"
"282","Buteo regalis","0.121659949246156","-0.0864885668894758"
"283","Buteo ridgwayi","0.634615384615385","0.62"
"284","Buteo rufinus","0.414405553820356","0.155821713022642"
"285","Buteo rufofuscus","-0.355371900826446","-0.35"
"286","Buteo solitarius","-0.292307692307692","0.175438596491228"
"287","Buteo swainsoni","0.0866627136272399","0.092721947838812"
"288","Buteogallus aequinoctialis","0.270873412851097","0.0169902912621359"
"289","Buteogallus anthracinus","0.252673984212581","0.13682745825603"
"290","Buteogallus meridionalis","0.380357142857143","0.123408769448373"
"291","Buteogallus schistaceus","0.223601629336065","0.180113241833075"
"292","Buteogallus subtilis","0.118115717821782","0.11306266548985"
"293","Buteogallus urubitinga","-0.11797604035309","0.138778781953033"
"294","Chelictinia riocourii","-0.377049180327869","0.14018691588785"
"295","Chondrohierax uncinatus","0.137530587361056","0.262253694194395"
"296","Circaetus cinerascens","0.472727272727273","-0.297297297297297"
"297","Circaetus cinereus","-0.368421052631579","0.259259259259259"
"298","Circaetus fasciolatus","0.125","0.425531914893617"
"299","Circaetus gallicus","-0.203883241605787","-0.317236694429677"
"300","Circaetus pectoralis","0.235069298122395","0.32818857331321"
"301","Circaetus spectabilis","0.644859813084112","0.218181818181818"
"302","Circus aeruginosus","0.037037037037037","0.0362394957983193"
"303","Circus cyaneus","0.0981962280281934","0.180252377128161"
"304","Circus hudsonius","-0.00516752433186898","0.0656483054468358"
"305","Circus melanoleucos","0.133858267716535","-0.290780141843972"
"306","Circus ranivorus","0.673913043478261","0.108910891089109"
"307","Circus spilonotus","0.611650485436893","0.12"
"308","Circus teauteensis","0.695238095238095","0.165354330708661"
"309","Cryptoleucopteryx plumbea","0.159748427672956","0.157602298691408"
"310","Elanoides forficatus","0.133842380393831","0.0707547424814977"
"311","Elanus axillaris","0.591836734693878","0.245614035087719"
"312","Elanus caeruleus","0.137319165519498","0.192045298894402"
"313","Elanus leucurus","0.19327731092437","-0.333333333333333"
"314","Eutriorchis astur","0.643564356435644","0.219047619047619"
"315","Geranoaetus albicaudatus","0.511280364664474","0.156045751633987"
"316","Geranoaetus melanoleucus","0.724556489262372","0.152401701421309"
"317","Geranoaetus poecilochrous","0.155963302752294","-0.365853658536585"
"318","Geranospiza caerulescens","0.132523405966498","0.195418844905439"
"319","Gypaetus barbatus","0.201265405862459","0.311283421791562"
"320","Gypohierax angolensis","0.663157894736842","0.248809733733028"
"321","Gyps africanus","-0.104559282182214","0.104709640859887"
"322","Gyps bengalensis","0.350535474887688","0.13272044227239"
"323","Gyps coprotheres","0.470271899680473","0.137259115166476"
"324","Gyps fulvus","-0.0225133308664234","0.132078293586176"
"325","Gyps himalayensis","0.214073893696978","0.140315951528766"
"326","Gyps indicus","0.400542347523202","0.144524712539883"
"327","Gyps rueppelli","-0.121729677729678","0.148819371526015"
"328","Gyps tenuirostris","0.307122774133083","0.344726333098426"
"329","Haliaeetus albicilla","0.0494953278079627","0.252848792694438"
"330","Haliaeetus humilis","0.630434782608696","0.0515463917525773"
"331","Haliaeetus ichthyaetus","-0.353383458646617","0.761904761904762"
"332","Haliaeetus leucocephalus","0.19187678559709","0.0611798273767768"
"333","Haliaeetus leucogaster","0.183434352243492","0.462493303332262"
"334","Haliaeetus leucoryphus","0.702127659574468","0.0816326530612245"
"335","Haliaeetus pelagicus","0.164285714285714","0.124031007751938"
"336","Haliaeetus sanfordi","0.833333333333333","0.489075630252101"
"337","Haliaeetus vocifer","0.375471698113208","-0.0881002824858757"
"338","Haliaeetus vociferoides","0.56989247311828","0.542168674698795"
"339","Haliastur indus","0.0478067660550459","0.0707054729515976"
"340","Haliastur sphenurus","0.282605018731174","0.44765514453204"
"341","Hamirostra melanosternon","0.650485436893204","-0.327272727272727"
"342","Harpagornis moorei","0.66921768707483","0.199680013473117"
"343","Harpia harpyja","0.0380984607310319","-0.130108736407949"
"344","Harpyhaliaetus coronatus","0.16451100521897","0.128605161361708"
"345","Harpyhaliaetus solitarius","0.62952380952381","-0.121739130434783"
"346","Harpyopsis novaeguineae","0.258173924840591","0.130729521216247"
"347","Henicopernis longicauda","0.548387096774194","-0.777777777777778"
"348","Hieraaetus ayresii","0.35344060104662","0.269399249061327"
"349","Hieraaetus morphnoides","0.381586256827456","0.0768398078180926"
"350","Hieraaetus pennatus","0.0771731138164512","0.385071891891227"
"351","Hieraaetus wahlbergi","0.0252298551478879","0.329140509958924"
"352","Hieraaetus weiskei","0.430952380952381","0.185714285714286"
"353","Ictinaetus malaiensis","0.450738916256158","-0.364102564102564"
"354","Ictinia mississippiensis","0.107324986841116","0.131948410432134"
"355","Ictinia plumbea","0.235261621846988","0.388118811881188"
"356","Leptodon cayanensis","-0.366666666666667","-0.339285714285714"
"357","Leucopternis kuhli","0.150168796135873","0.13743252560185"
"358","Leucopternis lacernulatus","-0.148701581314377","0.107359307359307"
"359","Leucopternis melanops","0.14975471717023","0.141341307496362"
"360","Leucopternis semiplumbeus","0.12612157313735","0.435659871465649"
"361","Lophaetus occipitalis","0.212293567033594","0.469887864769748"
"362","Lophoictinia isura","0.66","0.207207207207207"
"363","Melierax canorus","0.192660550458716","0.533333333333333"
"364","Melierax poliopterus","-0.401709401709402","-0.376146788990826"
"365","Micronisus gabar","0.218181818181818","0.22"
"366","Milvus fasciicauda","0.210302575643911","0.235842162952137"
"367","Milvus lineatus","0.282018084244211","0.281095922410819"
"368","Milvus migrans","0.491700366458068","0.231747827734218"
"369","Milvus milvus x Milvus migrans","0.807692307692308","-0.259259259259259"
"370","Milvus milvus","0.153850882957303","0.257274392157998"
"371","Morphnarchus princeps","0.133259291451382","0.130988200589971"
