"","species_name","order"
"85","Buteo_lineatus","Accipitriformes"
"86","Buthraupis_eximia","Passeriformes"
"87","Calamanthus_campestris","Passeriformes"
"88","Calamanthus_fuliginosus","Passeriformes"
"89","Calandrella_brachydactyla","Passeriformes"
"90","Calandrella_cinerea","Passeriformes"
"91","Calidris_ptilocnemis","Charadriiformes"
"92","Calocitta_formosa","Passeriformes"
"93","Calothorax_lucifer","Apodiformes"
"94","Calyptophilus_tertius","Passeriformes"
"95","Campethera_caroli","Piciformes"
"96","Campethera_nivosa","Piciformes"
"97","Campylopterus_curvipennis","Apodiformes"
"98","Campylopterus_largipennis","Apodiformes"
"99","Campylorhamphus_procurvoides","Passeriformes"
"100","Campylorhynchus_brunneicapillus","Passeriformes"
"101","Campylorhynchus_rufinucha","Passeriformes"
"102","Capito_auratus","Piciformes"
"103","Cardinalis_cardinalis","Passeriformes"
"104","Carpodacus_erythrinus","Passeriformes"
"105","Carpodacus_pulcherrimus","Passeriformes"
"106","Carpodacus_vinaceus","Passeriformes"
"107","Caryothraustes_canadensis","Passeriformes"
"108","Catharus_bicknelli","Passeriformes"
"109","Catharus_frantzii","Passeriformes"
"110","Catharus_fuscater","Passeriformes"
"111","Catharus_fuscescens","Passeriformes"
"112","Catharus_guttatus","Passeriformes"
"113","Catharus_minimus","Passeriformes"
"114","Catharus_ustulatus","Passeriformes"
"115","Celeus_elegans","Piciformes"
"116","Celeus_grammicus","Piciformes"
"117","Celeus_torquatus","Piciformes"
"118","Celeus_undatus","Piciformes"
"119","Cercomacra_cinerascens","Passeriformes"
"120","Certhia_americana","Passeriformes"
"121","Certhia_familiaris","Passeriformes"
"122","Ceyx_lepidus","Coraciiformes"
"123","Ceyx_melanurus","Coraciiformes"
"124","Chalcophaps_indica","Columbiformes"
"125","Chamaea_fasciata","Passeriformes"
"126","Chiroxiphia_caudata","Passeriformes"
"127","Chiroxiphia_pareola","Passeriformes"
"128","Chlorocharis_emiliae","Passeriformes"
"129","Chlorophanes_spiza","Passeriformes"
"130","Chloropsis_cochinchinensis","Passeriformes"
"131","Chloropsis_hardwickii","Passeriformes"
"132","Chlorornis_riefferii","Passeriformes"
"133","Chlorospingus_ophthalmicus","Passeriformes"
"134","Chlorospingus_semifuscus","Passeriformes"
"135","Chondrohierax_uncinatus","Accipitriformes"
