"","Species3","GhAhSkew","ThChSkew","ability_to_fly","ability_to_dive","Mutation_AG_midori","Mutation_CT_midori","GhAhSkew_seq_beg","GhAhSkew_start_codon","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"6986","Anas puna",NA,NA,NA,NA,NA,NA,-0.223021582733813,0.25196016105107,"Anatidae","Anseriformes",4,2,2,0,4,48.3,37.8,15.8,16,29.3,214,94.4,119.6,44.1,74.8,595.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Herbivore","Herbivore aquatic","Aquatic",-26.55,-6.38,-17.48,-69.83,690886.44,"Extant"
"6987","Anas rubripes",NA,NA,NA,NA,NA,NA,-0.287878787878788,-0.262295081967213,"Anatidae","Anseriformes",5,2,3,0,3,59.4,42,20.4,17,41.9,267.2,136.5,129.2,51.4,73.5,1241,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Omnivore","Herbivore aquatic","Aquatic",34.59,59.56,49.93,-79.67,4118764.61,"Extant"
"6988","Anas smithii",NA,NA,NA,NA,NA,NA,-0.242424242424242,0.76,"Anatidae","Anseriformes",4,0,0,4,4,63.6,43.3,18.9,16.5,34.6,229.2,115.8,113.5,50.5,72.5,591.5,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",-34.84,-13.74,-24.84,22.46,2430691.95,"Extant"
"6989","Anas sparsa",NA,NA,NA,NA,NA,NA,0.184571175950486,0.616279069767442,"Anatidae","Anseriformes",5,1,2,2,4,48.4,33.1,20.1,13.8,38.3,247.4,107.5,136.8,44,112.4,981.5,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Omnivore","Omnivore","Aquatic",-34.84,16.17,-9.75,28.63,9213622.59,"Extant"
"6990","Anas superciliosa",NA,NA,NA,NA,NA,NA,0.613156040206224,0.606976744186047,"Anatidae","Anseriformes",5,2,2,1,4,57.5,40.4,20,15.8,39.2,251.2,118.8,132.8,47.1,78,882.8,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",-54.78,8.99,-22.89,135.83,8845309.64,"Extant"
"6991","Anas undulata",NA,NA,NA,NA,NA,NA,0.150857511973497,-0.250110741971207,"Anatidae","Anseriformes",7,4,3,0,4,53.3,36.6,18.7,13.9,37.1,240.6,103.2,128.8,44.5,96,1008,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",-34.84,16.5,-10.74,28.64,8476793.26,"Extant"
"6992","Anas versicolor",NA,NA,NA,NA,NA,NA,-0.223021582733813,-0.239669421487603,"Anatidae","Anseriformes",5,2,3,0,4,41.2,31.4,15.4,14.3,28.3,185,91.8,92.2,49.9,68.6,595.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",-55.98,-20.73,-36.9,-64.26,3071768.07,"Extant"
"6993","Anas zonorhyncha",NA,NA,NA,NA,NA,NA,-0.252332485156913,-0.244444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6994","Asarcornis scutulata",NA,NA,NA,NA,NA,NA,-0.181998356455745,0.332931968693558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6995","Biziura lobata",NA,NA,NA,NA,NA,NA,-0.0368421052631579,-0.184615384615385,"Anatidae","Anseriformes",6,3,3,0,4,41.6,23.4,28.2,18.1,46.6,211.5,85.9,129.3,40,105.2,1928.5,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",-43.64,-22,-34.06,141.96,1207634.45,"Extant"
"6996","Bucephala albeola",NA,NA,NA,NA,NA,NA,0.209591145396612,0.232491295252278,"Anatidae","Anseriformes",8,4,4,0,4,28.8,18.9,12.9,9.9,30.1,160.8,75,83.5,47.4,65.4,397.5,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",39.82,68.1,56.77,-112.31,4859143.91,"Extant"
"6997","Bucephala clangula",NA,NA,NA,NA,NA,NA,-0.0597210113339146,0.179179179179179,"Anatidae","Anseriformes",10,5,5,0,4,38.1,17.7,16.1,11.9,34.1,208.7,105.4,99.4,51.4,82,918.6,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",41.89,70.72,58.51,35.56,22082935.41,"Extant"
"6998","Bucephala islandica",NA,NA,NA,NA,NA,NA,0.590625,0.17739184562714,"Anatidae","Anseriformes",6,3,3,0,4,34.9,18.2,16.6,12.7,38.2,221.7,103,115,47.2,86,921.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",42.13,68.47,56.43,-124.05,2257979.96,"Extant"
"6999","Callonetta leucophrys",NA,NA,NA,NA,NA,NA,0.112683982683983,0.361656461082002,"Anatidae","Anseriformes",4,2,2,0,4,38.8,29,13.1,11.6,27.8,169,72.2,96.8,42.8,58,362.8,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",-34.98,-13.88,-25.25,-60.4,1310348,"Extant"
"7000","Chenonetta jubata",NA,NA,NA,NA,NA,NA,0.543530543530544,0.082044107965767,"Anatidae","Anseriformes",6,3,3,0,4,36.5,15.3,13.6,9.7,47.8,258.8,121.2,136.5,47,93.7,807.5,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Herbivore","Herbivore terrestrial","Terrestrial",-43.64,-12.84,-26.72,135.7,5996685.1,"Extant"
"7001","Histrionicus histrionicus",NA,NA,NA,NA,NA,NA,-0.326709324681567,0.17736026133882,"Anatidae","Anseriformes",6,3,3,0,4,27.3,16.9,12.7,10.5,33,194,95,95,50,87.5,561.6,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aquatic",42.67,73.72,59.49,20.66,7912681.94,"Extant"
"7002","Lophodytes cucullatus",NA,NA,NA,NA,NA,NA,-0.00935937681664922,0.673200442967885,"Anatidae","Anseriformes",5,2,3,0,4,39.6,27.6,8.3,9.3,29.2,186.6,95,91.5,50.9,85.6,613.8,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",29.76,56.35,44.5,-91.96,5510396.5,"Extant"
"7003","Lophonetta specularioides",NA,NA,NA,NA,NA,NA,0.14957264957265,0.770243902439024,"Anatidae","Anseriformes",5,2,3,0,4,49.3,33.2,18.4,15.3,46.2,269.2,117.5,153.5,43.5,124.6,1019.9,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Carnivore","Aquatic predator","Generalist",-55.98,-7.64,-33.94,-69.4,1859148.87,"Extant"
"7004","Mareca americana",NA,NA,NA,NA,NA,NA,0.155172413793103,0.827160493827161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
