"","Species3","GhAhSkew","ThChSkew","ability_to_fly","ability_to_dive","Mutation_AG_midori","Mutation_CT_midori","GhAhSkew_seq_beg","GhAhSkew_start_codon","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"814","Artamus cyanopterus",NA,NA,NA,NA,"0.174569","0.618006",0.177695320552463,-0.30546218487395,"Artamidae","Passeriformes",12,3,8,1,4,19.1,10.7,5.9,6.9,19.3,123.2,55.3,67.4,45,69.2,34.6,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Aerial",-43.64,-16.74,-29.53,139.51,3897118.38,"Extant"
"815","Artamus personatus",NA,NA,NA,NA,"0.266164333333333","0.335018666666667",NA,NA,"Artamidae","Passeriformes",9,4,5,0,4,22.6,13.8,5.6,6.4,19.7,120.9,52.6,68.5,43.4,71.6,34.6,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Aerial",-40.16,-11.12,-25.72,134.27,7500863.72,"Extant"
"816","Artamus superciliosus",NA,NA,NA,NA,"0.363307333333333","0.154593",NA,NA,"Artamidae","Passeriformes",12,4,6,2,4,22.9,12.8,5.8,6.3,20.5,119.5,52.4,67.2,43.8,74.1,35.5,"Dunning",NA,"NO",NA,NA,"Woodland",2,3,"Carnivore","Invertivore","Aerial",-42.56,-11.63,-25.72,135.12,7162672.29,"Extant"
"817","Artisornis metopias",NA,NA,NA,NA,"0.188766","0.270055666666667",-0.266666666666667,-0.266666666666667,"Sylviidae","Passeriformes",25,4,4,17,19,14.5,7.4,2.7,2.3,21.8,46.7,4,41.9,8.8,39.9,8.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.33,-3.84,-8.22,36.13,68472.65,"Extant"
"818","Atlapetes albinucha",NA,NA,NA,NA,"0.453734","0.1199996",0.106160593542557,0.263629990364664,"Emberizidae","Passeriformes",14,2,5,7,4,17.2,10.6,6.6,8,27,73.3,7.2,69.2,9.5,83.7,33.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Generalist",0.35,21.54,11.21,-85.18,275050.2,"Extant"
"819","Atlapetes personatus",NA,NA,NA,NA,"0.2225035","0.3302765",NA,NA,"Emberizidae","Passeriformes",5,0,3,2,4,15.4,9.2,5.1,6.7,27.2,78.4,9.5,68.5,12.2,78.6,32.7,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Omnivore","Omnivore","Insessorial",0.68,6.41,5.09,-64.09,99664.88,"Extant"
"820","Attila spadiceus",NA,NA,NA,NA,"0.224492","0.295695",-0.00600593260820638,0.021146003056441,"Tyrannidae","Passeriformes",27,9,9,9,9,22.3,15.8,7.3,6.5,24.9,85.6,12.3,70.9,14.8,67.8,39.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-23.01,27.05,-1.44,-65.43,8099963.72,"Extant"
"821","Aulacorhynchus derbianus",NA,NA,NA,NA,"0.2356895","0.2689128",0.187020999899485,0.194653862466394,"Ramphastidae","Piciformes",14,4,8,2,6,77.9,64,18.7,24,35.6,131.6,17.2,114.4,13.1,128,209.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-17.3,7.19,-5.02,-69.99,469694.2,"Extant"
"822","Aulacorhynchus haematopygus",NA,NA,NA,NA,"0.2017875","0.4142905",-0.112394582277692,0.168230947322157,"Ramphastidae","Piciformes",13,4,5,4,5,94,88.3,22.8,28.2,35.7,134.5,20.7,117.7,15,155,194.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-4.54,10.82,3.35,-76,179236.71,"Extant"
"823","Aulacorhynchus prasinus",NA,NA,NA,NA,"0.287451","0.304835",0.258741738076804,0.072350742601038,"Ramphastidae","Piciformes",66,23,33,10,40,67.7,59.4,19.7,22.9,32.3,124.4,15.7,108.9,12.6,115,170.6,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-17.21,22.91,3.65,-80.62,1240284.53,"Extant"
"824","Aulacorhynchus sulcatus",NA,NA,NA,NA,"0.3872255","0",-0.162474460279497,0.110706240360408,"Ramphastidae","Piciformes",5,2,3,0,4,72.3,60.8,18.4,19.9,33.9,127,17.5,108.7,13.9,122.9,167,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",9.78,11.31,10.25,-66.53,30220.86,"Extant"
"825","Auriparus flaviceps",NA,NA,NA,NA,"0.212134","0.392401",0.443478260869565,0.203883495145631,"Remizidae","Passeriformes",8,2,6,0,7,9.8,7,3.2,3.9,15,52.1,7.6,45,14.4,48.9,6.8,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",19.05,37.57,28.91,-105.76,1879707.38,"Extant"
"826","Automolus infuscatus",NA,NA,NA,NA,"0.219002","0.222269",0.127659574468085,0.126436781609195,"Furnariidae","Passeriformes",35,8,18,9,8,23.4,14.4,4.7,6.5,22.5,90.6,17.8,73.3,19.5,73.8,32.9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-14.34,8.27,-3.27,-62.06,5987976.21,"Extant"
"827","Automolus ochrolaemus",NA,NA,NA,NA,"0.281845","0.100304",-0.00396827278635825,0.038615480839026,"Furnariidae","Passeriformes",47,8,17,22,15,22.7,15,4.8,6.4,23.5,87.1,15.1,72,17.4,74.8,40.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.68,18.88,-2.68,-65.48,6428902.26,"Extant"
"828","Automolus rubiginosus",NA,NA,NA,NA,"0.2687735","0.252261",0.189531653430075,0.107020738361927,"Furnariidae","Passeriformes",60,15,39,6,5,26.4,16.4,4.7,6.8,25.3,85.8,9.4,76.6,10.9,77.1,39.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-14.88,21.53,0.2,-68.68,2139338.65,"Extant"
"829","Baeolophus inornatus",NA,NA,NA,NA,"0.171658","0.336261",-0.315666487463226,0.19490058147243,"Paridae","Passeriformes",5,2,3,0,4,11.2,8.4,4.3,5,20.7,68,9.7,57.4,14.4,57.6,15.9,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Omnivore","Invertivore","Insessorial",22.99,42.88,36.05,-119.69,178257.64,"Extant"
"830","Barnardius zonarius",NA,NA,NA,NA,"0.377466","0.300453",0.260426837773748,0.143874643874644,"Psittacidae","Psittaciformes",5,2,3,0,4,22.8,18.7,14.3,26.3,21.7,169.2,69,98.2,41.2,204.4,133,"Updated_literature","Higgins (1999) ","NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-38.86,-15.93,-27.28,133.19,5305452.04,"Extant"
"831","Basileuterus belli",NA,NA,NA,NA,"0.217165","0.4198775",0.523809523809524,0.182608695652174,"Parulidae","Passeriformes",14,5,9,0,4,12.3,7.3,3.6,3.7,21.2,59.7,8.9,50.5,14.9,59.7,10.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",13.6,25.69,18.67,-98.27,334156.38,"Extant"
"832","Basileuterus tristriatus",NA,NA,NA,NA,"0.257334","0.34789",0.286415189779998,-0.00684583782623334,"Parulidae","Passeriformes",47,19,16,12,6,14.2,7.4,4.1,3.8,20.4,61,8.2,52.9,13.4,56.3,12,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-18.11,12.34,-2.6,-74.13,475236.65,"Extant"
"833","Batis mixta",NA,NA,NA,NA,"0.140093","0.2943205",-0.292929292929293,0.215189873417722,"Platysteiridae","Passeriformes",46,21,24,1,23,15.4,7.3,5.2,3.6,18.3,60.3,7.9,52.4,13.2,34,12.2,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-10.55,-2.72,-5.6,38.26,68604.8,"Extant"
"834","Bleda canicapillus",NA,NA,NA,NA,"0.222368","0.2180455",0.162265050150258,-0.0573633260773947,"Pycnonotidae","Passeriformes",19,2,2,15,16,20.1,13.3,5.3,6.4,25.5,98.4,13.4,85.3,13.5,91.3,41.3,"Updated_literature","BoW","NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Generalist",4.28,13.46,7.87,-4.78,1094053.69,"Extant"
"835","Bleda eximius",NA,NA,NA,NA,"0.27899","0.322817",0.0956176243686478,0.123910789385323,"Pycnonotidae","Passeriformes",4,2,2,0,4,24,16,4.1,6.8,25.4,103.2,15.5,87.8,15,97.5,35.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Generalist",4.49,8.61,6.51,-6.05,339296.54,"Extant"
"836","Bleda notatus",NA,NA,NA,NA,"0.1826455","0.269957",0.117426722688169,0.0512782451546526,"Pycnonotidae","Passeriformes",220,8,2,210,9,20.1,12.9,4.7,6.4,25,90.2,12.9,77.1,14.3,81.1,35.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Generalist",-4.92,6.37,0.61,20.15,2205108.25,"Extant"
"837","Bleda syndactylus",NA,NA,NA,NA,"0.230737","0.358404",0.187283748005005,0.256947461594869,"Pycnonotidae","Passeriformes",95,3,5,87,4,27.2,16.6,4.5,7.2,25.4,105.4,15.6,89.7,14.8,95,46.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-11.68,9.1,-0.32,17.06,3527560.89,"Extant"
"838","Brachypteryx montana",NA,NA,NA,NA,"0.219752","0.3200035",0.15556809227022,0.0326483638914006,"Turdidae","Passeriformes",5,2,3,0,4,15.5,9,3.3,3.9,31,64.3,6.4,58.5,9.9,55.2,17.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-8.96,34.17,22.26,106.02,3986756.67,"Extant"
"839","Brachyramphus marmoratus",NA,NA,NA,NA,"0.253289","0",0.344549816465983,-0.0228558263943048,"Alcidae","Charadriiformes",4,1,2,1,4,24.9,14.4,4.1,5.8,15.2,123.5,72.2,51.2,58.4,31,220,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",40.85,61.51,54.13,-124.73,1672345.18,"Extant"
"840","Bradypterus graueri",NA,NA,NA,NA,"0.249951","0.277717",-0.338983050847458,0.222222222222222,"Sylviidae","Passeriformes",3,0,1,2,3,12.4,7.7,3.3,3.8,24.2,57.5,6.6,50.9,11.5,70.7,17,"Dunning",NA,"NO",NA,NA,"Wetland",2,1,"Carnivore","Invertivore","Insessorial",-4.04,0,-1.61,29.18,15367.1,"Extant"
"841","Brotogeris chrysoptera",NA,NA,NA,NA,"0.2243275","0.4057775",0.270501428396165,0.627792422184945,"Psittacidae","Psittaciformes",5,0,2,3,4,23,17.7,9.6,14.3,11.3,106.6,40.7,64.5,38.6,57.4,54.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-10.68,10.77,-1.77,-56.37,3112139.06,"Extant"
"842","Bubo virginianus",NA,NA,NA,NA,"0.107177","0.129511",0.163373184889829,0.0308800951796491,"Strigidae","Strigiformes",5,2,2,1,4,44.5,24.7,16.6,25.4,72.1,371.2,112.7,258.5,30.4,197,1354.5,"Updated_literature","Earhart & Johnson (1970)","NO",NA,NA,"Forest",2,1,"Carnivore","Vertivore","Insessorial",-35.8,68.52,34.04,-94.19,24426738.59,"Extant"
"843","Buccanodon duchaillui",NA,NA,NA,NA,"0.328527","0.273133",0.587578057413936,0.133089943087586,"Ramphastidae","Piciformes",10,3,4,3,4,18.5,11.7,7.2,7.4,20.2,78.5,12.7,66.4,16.1,43.4,41.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-5.82,9.29,1.17,16.57,3427229.94,"Extant"
"844","Bulweria bulwerii",NA,NA,NA,NA,"0.280324","0.48276",0.412887020513994,0.0610605284907864,"Procellariidae","Procellariiformes",5,2,3,0,4,21.6,15.6,4.8,6.7,26.9,203.2,126,76.8,62.1,110.8,99,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aquatic",-37.3,47.24,7.36,-4.13,117388743.9,"Extant"
"845","Burhinus oedicnemus",NA,NA,NA,NA,"0.09373","0.3048445",0.121588654546671,0.62383949792038,"Burhinidae","Charadriiformes",9,5,4,0,8,42.3,20.7,8.1,9.2,74.2,220.4,103.4,115.6,47.2,108.4,459,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Invertivore","Terrestrial",5.92,55.69,35.52,54.3,13080577.64,"Extant"
"846","Buteo lineatus",NA,NA,NA,NA,"0.209224","0.28947",-0.114367816091954,0.167513106159895,"Accipitridae","Accipitriformes",5,2,2,1,4,33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,"Dunning",NA,"NO",NA,NA,"Woodland",1,3,"Carnivore","Vertivore","Aerial",24.95,47.85,37.72,-86.88,3542030.5,"Extant"
"847","Buthraupis eximia",NA,NA,NA,NA,"0.287763","0.269551",0.24444647882105,0.636216451833863,"Thraupidae","Passeriformes",12,0,2,10,4,20.2,10.4,7.1,9.6,30.3,116.7,21.5,95.3,18.3,91.6,62.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-5.38,7.59,0.56,-77.43,60098.85,"Extant"
"848","Cacatua haematuropygia",NA,NA,NA,NA,"0","0",-0.162196273097274,0.211130719521362,"Psittacidae","Psittaciformes",6,2,4,0,4,28.7,24.5,17,28,23,214.5,75.2,142.5,34.6,102.7,288,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Granivore","Insessorial",4.61,15.06,10.02,120.81,22755.84,"Extant"
"849","Cacicus melanicterus",NA,NA,NA,NA,"0.614871","0",-0.0761904761904762,0.13844696969697,"Icteridae","Passeriformes",5,2,3,0,4,40,27.9,7.3,10.2,31.3,145.8,35.4,108.7,24.6,131.8,81.3,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",13.52,28.03,20.34,-102.36,231633.39,"Extant"
"850","Calamanthus campestris",NA,NA,NA,NA,"0.131833","0.403169",NA,NA,"Acanthizidae","Passeriformes",18,4,9,5,8,15.3,7.9,2.9,3.5,22.5,55.2,4.8,49.5,8.8,46,13.9,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",-37.2,-20.6,-29.86,129.05,1873218.87,"Extant"
"851","Calamanthus fuliginosus",NA,NA,NA,NA,"0.0857631","0.341203",NA,NA,"Acanthizidae","Passeriformes",13,4,8,1,4,15.2,7.8,2.7,3.5,21.8,56.1,5.8,48,10.7,51,20.8,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",-43.64,-33.79,-38.96,145.9,197682.93,"Extant"
"852","Calandrella brachydactyla",NA,NA,NA,NA,"0.279191","0.358152",0.105521558662147,0.339512835070872,"Alaudidae","Passeriformes",13,6,7,0,4,12.6,8.6,4.3,5.1,19.8,93.5,32.3,61.2,34.5,59.8,21.1,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Omnivore","Omnivore","Terrestrial",23.29,54.42,42.09,66.25,13543066.59,"Extant"
"853","Calandrella rufescens",NA,NA,NA,NA,"0","0",0.165783919261413,0.219487579838351,"Alaudidae","Passeriformes",10,4,6,0,4,10.5,7.6,4.2,4.8,18.2,86.1,25.9,60.2,30.1,54,24.1,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Omnivore","Omnivore","Terrestrial",24.98,51.47,39.04,48.78,6736019.2,"Extant"
"854","Calcarius lapponicus",NA,NA,NA,NA,"0.218765","0",0.275582063779563,0.183718532255984,"Emberizidae","Passeriformes",7,1,6,0,4,12.3,8.9,5.8,6.8,21.1,94.9,29,65.7,30.7,67.8,27.8,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Herbivore","Granivore","Terrestrial",50.82,83.11,68.82,-6.27,8536158.76,"Extant"
"855","Calidris ptilocnemis",NA,NA,NA,NA,"0.1691155","0.384618",0.193787259264778,0.0550121638595568,"Scolopacidae","Charadriiformes",4,2,2,0,4,34.3,26.1,4,5.2,23.7,130.5,65,65.5,49.8,58.8,81.3,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Aquatic predator","Terrestrial",48.72,67.09,61.58,-53.33,320856.4,"Extant"
"856","Calocitta formosa",NA,NA,NA,NA,"0.2037425","0.433488",-0.0170401054415364,0.578136200716846,"Corvidae","Passeriformes",10,2,8,0,4,40.7,26.2,12.8,14.4,46.9,194.6,35.1,159.2,18.1,309.1,210,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Omnivore","Omnivore","Insessorial",9.06,20.19,15.63,-93.67,293348.65,"Extant"
"857","Calothorax lucifer",NA,NA,NA,NA,"0.0703685","0.0734545",NA,NA,"Trochilidae","Apodiformes",5,1,3,1,4,23.5,17.8,1.6,1.6,4.1,39.3,24.8,14.6,63,27.2,3.3,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Nectarivore","Aerial",19.12,32.47,25.07,-104.23,338277.72,"Extant"
"858","Calyptophilus tertius",NA,NA,NA,NA,"0.336969","0.421688",-0.372262773722628,0.649122807017544,"Thraupidae","Passeriformes",4,2,2,0,4,24.8,15.7,4.6,7,31.3,88.4,7,81.4,7.9,92.5,49.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",17.9,18.53,18.28,-72.23,6314.23,"Extant"
"859","Calyptorhynchus banksii",NA,NA,NA,NA,"0.488927","0",0.375960543178917,0.383557176746031,"Psittacidae","Psittaciformes",5,2,2,1,4,51.7,39,29.7,62.1,29.2,420.2,185.5,228.2,44.9,291,721.9,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Granivore","Insessorial",-38.43,-10.69,-22.18,136.11,2798975.2,"Extant"
"860","Campethera caroli",NA,NA,NA,NA,"0.391112","0.274666",0.310378117457764,-0.439230769230769,"Picidae","Piciformes",10,5,5,0,4,23.8,18.1,7,6.7,19,101.4,17.8,84,17.5,58.6,44.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-11.55,9.22,-0.61,17.57,3849726.47,"Extant"
"861","Campethera nivosa",NA,NA,NA,NA,"0.259827","0.303142",0.350967263339292,-0.127877225844917,"Picidae","Piciformes",50,22,26,2,5,17.5,13.4,6.2,5.9,16.9,82.9,9.8,76.4,11.3,44,37.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-11.53,16.09,0.45,15.06,3825842.41,"Extant"
"862","Campylopterus curvipennis",NA,NA,NA,NA,"0.200716","0.474125",NA,NA,"Trochilidae","Apodiformes",5,2,3,0,4,29.1,21.9,2.7,2.5,6.2,62,40.1,22.1,64.6,48.4,6,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Nectarivore","Aerial",15.89,23.49,18.74,-90.44,215633.62,"Extant"
"863","Campylopterus largipennis",NA,NA,NA,NA,"0.198678","0.314622",NA,NA,"Trochilidae","Apodiformes",10,3,5,2,8,30.2,24,2.7,2.9,5.6,72.3,44,28.1,61.1,47,8.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Nectarivore","Aerial",-20.22,8.92,-5.18,-60.52,7144478.94,"Extant"
"864","Campylorhynchus rufinucha",NA,NA,NA,NA,"0.1644535","0.321924",0.216661891885811,0.230289130438571,"Troglodytidae","Passeriformes",4,2,2,0,4,23.9,14.3,4,5.1,22.6,70.8,7.4,63.3,10.6,72.2,31,"Dunning",NA,"NO",NA,NA,"Shrubland",3,1,"Carnivore","Invertivore","Insessorial",9.52,19.77,14.93,-91.43,308887.1,"Extant"
"865","Capito auratus",NA,NA,NA,NA,"0.205321","0.402105",0.0181423167524901,0.051177496857749,"Ramphastidae","Piciformes",10,5,5,0,4,26.2,16,7,10.4,22.6,84.3,15.5,68.9,18.4,54,57.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-16.71,7.91,-3.43,-68.98,3118574.61,"Extant"
"866","Carpodacus vinaceus",NA,NA,NA,NA,"0.2120855","0.590288",0.0924006856546928,0.133084410220812,"Fringillidae","Passeriformes",5,2,3,0,4,11.6,8.7,6.9,8.3,19.2,69,14.5,54,21.2,58.2,22.1,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Granivore","Insessorial",21.54,38.02,29.47,104.56,1219847.45,"Extant"
"867","Caryothraustes canadensis",NA,NA,NA,NA,"0.272874","0.316018",0.317073170731707,-0.259259259259259,"Cardinalidae","Passeriformes",15,5,5,5,4,17.4,11.8,8.5,11.2,20.5,90.8,15.8,72.5,17.8,71.2,34.5,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Omnivore","Omnivore","Insessorial",-23.05,8.63,-0.74,-55.83,2650244.99,"Extant"
"868","Catharus bicknelli",NA,NA,NA,NA,"0.532723","0.274147",0.336622351474865,0.166666666666667,"Turdidae","Passeriformes",4,2,2,0,4,14.9,9.3,4,3.8,27.7,91.2,26.1,65.2,28.6,72.8,27.8,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Invertivore","Generalist",41.98,51.01,47.45,-67.48,38746.86,"Extant"
"869","Catharus frantzii",NA,NA,NA,NA,"0.185206","0.2410065",0.0498157730484994,0.0393466957335845,"Turdidae","Passeriformes",23,6,17,0,4,17.1,9.7,4.2,4.4,33.1,86.3,15.8,73,17.8,75.9,28.9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Invertivore","Generalist",8.75,21.68,16.64,-94.35,282213.59,"Extant"
"870","Catharus fuscater",NA,NA,NA,NA,"0.198075","0.377411",0.31394148020654,0.510667670682731,"Turdidae","Passeriformes",11,2,7,2,4,17.7,9.7,3.6,4.5,33.3,88.4,14.4,71.2,16.9,78.9,33.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Invertivore","Generalist",-18.07,11.1,-4.03,-74.19,313318.36,"Extant"
"871","Catharus guttatus",NA,NA,NA,NA,"0.215015871428571","0.321018285714286",0.293482242756446,0.0979835607527558,"Turdidae","Passeriformes",9,4,5,0,4,18.8,9.2,3.4,3.7,28.9,89,24,65.3,26.9,67.7,30.1,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Omnivore","Invertivore","Generalist",30.97,65.83,51.07,-107.41,8383811.92,"Extant"
"872","Catharus minimus",NA,NA,NA,NA,"0.13792575","0.543744",0.197241070399956,-0.211175847217948,"Turdidae","Passeriformes",24,4,4,16,4,16.4,9.2,4.5,4,30,100.8,30.7,68.9,30.8,69.2,31.6,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Terrestrial",46.61,71.39,62.09,-78.35,5090368.26,"Extant"
"873","Catharus ustulatus",NA,NA,NA,NA,"0.214320583333333","0.278312641666667",0.164885574050769,0.09718718392274,"Turdidae","Passeriformes",123,11,20,92,12,14.3,9.3,4.6,4.2,29.6,96.6,31.1,66.6,31.8,68.3,30.3,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Omnivore","Invertivore","Insessorial",32.94,68.52,54.69,-109.14,7563735.28,"Extant"
"874","Celeus elegans",NA,NA,NA,NA,"0.114723","0.323688",0.217391304347826,-0.0604823747680891,"Picidae","Piciformes",9,3,6,0,5,33,23.5,8.9,8.4,23.7,161.3,28.8,132.5,17.8,99.9,135,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.23,10.84,-3.65,-62.58,6510380.16,"Extant"
"875","Celeus grammicus",NA,NA,NA,NA,"0.250072","0.307244333333333",0.164043106304853,0.149580378991024,"Picidae","Piciformes",9,4,5,0,5,25.6,17.4,7.1,6.4,21.2,128.1,27.1,100.9,21.1,74.5,73.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-14.23,7.79,-4.72,-65.88,3990173.23,"Extant"
"876","Celeus torquatus",NA,NA,NA,NA,"0.110071","0.406513",NA,NA,"Picidae","Piciformes",14,6,7,1,9,36.2,26,7.9,7.9,23.5,152.4,33.2,118.9,21.8,94.3,134,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Invertivore","Insessorial",-19.78,10.76,-4.9,-61.81,6919331.13,"Extant"
"877","Celeus undatus",NA,NA,NA,NA,"0.1898815","0.437501",0.0920111599948425,0.343855562492725,"Picidae","Piciformes",8,3,4,1,7,24,17.1,6.7,6.4,20,116.9,28.5,89.2,24.2,67.1,64.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.88,10.76,1.19,-55.1,1588740.67,"Extant"
"878","Cercococcyx montanus",NA,NA,NA,NA,"0.0469053","0.408372",-0.0299145299145299,0.215555555555556,"Cuculidae","Cuculiformes",5,1,4,0,4,22.2,14.4,6.3,6.5,19.7,146.4,45.5,101,31,193.2,58.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-24.55,1.52,-9.74,35.08,733955.71,"Extant"
"879","Cercomacra cinerascens",NA,NA,NA,NA,"0.276028","0.349205",0.0748972750296878,0.183313732508394,"Thamnophilidae","Passeriformes",13,6,7,0,8,19.4,11.3,5,4.6,20,62.8,5.4,58.2,8.6,66.1,14.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-16.97,8.36,-4.06,-62.41,6701397,"Extant"
"880","Certhia americana",NA,NA,NA,NA,"0.1901928","0.29049392",-0.248891304577975,0.351718117424539,"Certhiidae","Passeriformes",6,3,3,0,4,16.2,9.6,2,2.8,14.2,63.6,15.3,48.2,24.1,63.3,8.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",12.86,63.31,45.97,-101.91,6543644.5,"Extant"
"881","Certhia familiaris",NA,NA,NA,NA,"0.1447925","0.32075",0.0118416184505798,0.013824132528396,"Certhiidae","Passeriformes",35,13,22,0,12,18.1,12.2,2,2.6,14.6,64.5,12.4,52.2,19.2,60.3,9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Invertivore","Insessorial",31.81,70.4,51.19,74.31,15914424.48,"Extant"
"882","Ceyx lepidus",NA,NA,NA,NA,"0.297084","0.316187",NA,NA,"Alcedinidae","Coraciiformes",107,46,52,9,45,38.9,31.5,7.1,7.8,10.3,60,12.9,48.3,21,25.1,21.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.83,12.97,-3.92,139.58,942492.24,"Extant"
"883","Ceyx melanurus",NA,NA,NA,NA,"0.195803","0.34393",NA,NA,"Alcedinidae","Coraciiformes",7,3,4,0,6,35.7,29.2,7.7,8,9.9,57.3,11.5,45.8,20.1,19.9,22.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Omnivore","Insessorial",5.56,18.65,12.03,123.18,222845.22,"Extant"
