"Original_Name","IOС-10.1","BirdTree","NameComments","Original-1_Cited-2","Reference","Bad1Good2","Wild-1_Aviary-2_Domestic-3","Day-Night","n","Sex","Mass","Trait","CommentTrait","TraitValue","Method","Place","Latitude","Longitude","StartDate","EndDate","Mountains","Summer-Winter","Breeding-NonBreeding","Climate","World","Comments","CapturePlace","CaptureLatitude","CaptureLongitude","Passerine","Order","Elevation","ElevationLatCor","MeanSurfaceTemperature","AbsoluteMinSurfaceTemperature","AbsoluteMaxSurfaceTemperature","AbsoluteSurfaceTemperatureRange","AverageDailyMinimumSurfaceTemperature","AverageDailyMaximumSurfaceTemperature","AverageDailySurfaceTemperatureDifference","SD_DailyMeanSurfaceTemperature","SE_DailyMeanSurfaceTemperature","MeanGaussianTemperature","AbsoluteMinGaussianTemperature","AbsoluteMaxGaussianTemperature","AbsoluteGaussianTemperatureRange","AverageDailyMinimumGaussianTemperature","AverageDailyMaximumGaussianTemperature","AverageDailyGaussianTemperatureDifference","SD_DailyMeanGaussianTemperature","SE_DailyMeanGaussianTemperature","","","","","","","","","","","","","","","","","","","",""
"Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","","1","{Weathers, 1996 #3773}","2","1","N","","","9.70","BMR","","44.40","flow","Cromer Conservation Park","-34.774845","138.981967","2/1/1987","2/28/1987","","Summer","NA","Sub","Old","","","","","","","456","-28.794517131148","21.92722899","10.10463242","36.91653692","26.8119045","17.41135438","27.40893384","9.997579458","4.564186108","0.78275146","22.25335411","7.003345176","41.56637113","34.56302596","16.26421171","29.0197334","12.75552169","4.361035107","0.747911351","","","","","","","","","","","","","","","","","","","",""
"Accipiter badius","Accipiter badius","Accipiter badius","","1","Bushuev et al. (unpublished)","2","1","N","1","","274.8","BMR","","198.80","flow","Cat Tien National Park, Vietnam","11.41666667","107.41666667","6/26/2020","6/26/2020","N","Summer","NA","Tropical","Old","","Cat Tien National Park, Vietnam","11.41666668","107.41666668","N","Accipitriformes","140","13.252732243771","25.6287619","23.69511109","28.41777777","4.722666684","24.22304113","27.36826187","3.145220746","0.370949146","0.140205599","25.49028739","23.66583684","28.24941017","4.583573329","24.24145396","27.39454175","3.153087784","0.33146759","0.125282973","","","","","","","","","","","","","","","","","","","",""
"Accipiter cooperi","Accipiter cooperii","Accipiter cooperii","","1","{Wasser, 1986 #3735}","2","2","N","1","f","452.00","BMR","","381.52","flow","","","","","","N","NA","N","NA","New","","NA","NA","NA","N","Accipitriformes","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Accipiter nisus","Accipiter nisus","Accipiter nisus","","2","{Kendeigh, 1977 #523}","2","NA","N","NA","NA","135.00","BMR","","170.32","NA","","","","","","","","","Temperate","Old","","","","","N","Accipitriformes","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Accipiter nisus","Accipiter nisus","Accipiter nisus","","1","{Gavrilov, 2017 #3482}","NA","NA","N","6","","135","BMR","","171","close","","","","","","","Summer","","NA","Old","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Accipiter striatus","Accipiter striatus","Accipiter striatus","","1","{Londoño, 2015 #1696}","2","1","N","1","NA","173.40","BMR","","93.13","flow","Peru, Pantiacolla","-12.65","-71.21666667","15.07.2011, 15.07.2012, 15.07.2013","15.12.2011, 15.12.2012, 15.12.2013","N","NA","N","Tropical","New","Птицы были пойманы в нескольких местах, но не указано, где какой вид. Поэтому координаты данны для низинного леса - ведь отличий по BMR обнаружено не было","Peru, Pantiacolla","-12.65","-71.21666667","N","Accipitriformes","427","-7.05","16.36000568","8.88461333","22.83929391","13.95468058","14.71226554","18.55727791","3.845012366","1.015403607","0.046346622","15.55087837","6.007049766","22.64380206","16.6367523","13.27533128","18.68043551","5.405104225","1.301585237","0.059408966","","","","","","","","","","","","","","","","","","","",""
"Accipiter striatus","Accipiter striatus","Accipiter striatus","","1","{Wasser, 1986 #3735}","2","2","N","1","m","83.00","BMR","","125.41","flow","","","","","","N","NA","N","NA","New","","NA","NA","NA","N","Accipitriformes","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acestrura mulsant","Chaetocercus mulsant","Chaetocercus mulsant","","1","{Krüger, 1982 #2720}","1","2","N","1","f","3.3","RMR","В качестве значения RMR брали среднее за ночь (видимо). Измерения проходили при 25С, что может быть ниже TNZ","41.25","flow","","","","","","","","","","New","","","","","N","","NA","NA","20","NA","NA","NA","NA","NA","NA","NA","NA","20","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acrcocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","","1","{Lindström, 1995 #3655}","2","2","N","1","","10.70","BMR","Пиц после поимки предерживали в клетках несколько дней, но сколько максимум не ясно. Птиц ловили во время осенней миграции. ","45.03","flow","Stensoffa ecological station in 1993, and in Lund in 1994","NA","NA","1993, 1994","1993, 1994","N","Autumn","N","Temperate","Old","","Falsterbo Bird Observatory, Ottenby Ornithological Research Centre, Stensoffa ecological station","55.2","12.38333333","P","Passeriformes","NA","NA","22","20","24","NA","NA","NA","NA","NA","NA","22","20","24","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acrcocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","","1","{Gavrilov, 2017 #3482}","NA","NA","N","4","","10.8","BMR","","36.5","close","","","","","","","Summer","","NA","Old","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
