,x,Flightless,Diving
655,Sasia ochracea,0,0
656,Sclerurus mexicanus,0,0
657,Scolopax rusticola,0,waterbird
658,Scytalopus superciliaris,0,0
659,Serilophus lunatus,0,0
660,Serinus albogularis,0,0
661,Serinus canaria,0,0
662,Sicalis olivascens,0,0
663,Sitta carolinensis,0,0
664,Sitta europaea,0,0
665,Sitta himalayensis,0,0
666,Sitta nagaensis,0,0
667,Sitta villosa,0,0
668,Smithornis sharpei,0,0
669,Spheniscus demersus,Sphenisciformes,Sphenisciformes
670,Spheniscus humboldti,Sphenisciformes,Sphenisciformes
671,Spheniscus magellanicus,Sphenisciformes,Sphenisciformes
672,Spheniscus mendiculus,Sphenisciformes,Sphenisciformes
673,Spilornis cheela,0,0
674,Spizaetus tyrannus,0,0
675,Spizella passerina,0,0
676,Sporophila hypoxantha,0,0
677,Steatornis caripensis,0,0
678,Stercorarius parasiticus,0,waterbird
679,Sterna hirundo,0,waterbird
680,Sterna paradisaea,0,waterbird
681,Streptopelia decaocto,0,0
682,Streptopelia orientalis,0,0
683,Strigops habroptila,Psittaciformes,0
684,Strix uralensis,0,0
685,Struthidea cinerea,0,0
686,Struthio camelus,Struthioniformes,0
687,Sturnus cineraceus,0,0
688,Sturnus sericeus,0,0
689,Sturnus vulgaris,0,0
690,Sylvia atricapilla,0,0
691,Sylvia borin,0,0
692,Sylviparus modestus,0,0
693,Synthliboramphus antiquus,0,Charadriiformes
694,Synthliboramphus wumizusume,0,Charadriiformes
695,Syrmaticus ellioti,NA,0
696,Syrmaticus humiae,NA,0
697,Syrmaticus reevesii,NA,0
698,Tachuris rubrigastra,0,0
699,Tachybaptus novaehollandiae,0,Podicipediformes
700,Tachybaptus ruficollis,0,Podicipediformes
701,Tachycineta albilinea,0,0
702,Tachycineta albiventer,0,0
703,Tachycineta bicolor,0,0
704,Tachycineta cyaneoviridis,0,0
705,Tachycineta euchrysea,0,0
706,Tachycineta leucorrhoa,0,0
707,Tachycineta meyeni,0,0
708,Tachycineta stolzmanni,0,0
709,Tachycineta thalassina,0,0
710,Tadorna ferruginea,0,waterbird
711,Tadorna tadorna,0,Anseriformes
712,Taeniopygia guttata,0,0
713,Tarsiger cyanurus,0,0
714,Terpsiphone atrocaudata,0,0
715,Tetraogallus himalayensis,NA,0
716,Tetraogallus tibetanus,NA,0
717,Tetraophasis obscurus,NA,0
718,Tetraophasis szechenyii,NA,0
719,Thraupis episcopus,0,0
720,Threskiornis aethiopicus,0,0
721,Thryothorus ludovicianus,0,0
722,Tichodroma muraria,0,0
723,Tinamus major,Tinamiformes,0
724,Todus mexicanus,0,0
725,Toxostoma redivivum,0,0
726,Tragopan caboti,NA,0
727,Tragopan temminckii,NA,0
728,Tregellasia capito,0,0
729,Tregellasia leucops,0,0
730,Tringa erythropus,0,waterbird
731,Tringa glareola,0,waterbird
732,Tringa nebularia,0,waterbird
733,Tringa ochropus,0,waterbird
734,Tringa stagnatilis,0,waterbird
735,Tringa totanus,0,waterbird
736,Trogon melanurus,0,0
737,Trogon viridis,0,0
738,Trugon terrestris,0,0
739,Turdus cardis,0,0
740,Turdus hortulorum,0,0
741,Turdus kessleri,0,0
742,Turdus merula,0,0
743,Turdus migratorius,0,0
744,Turdus philomelos,0,0
