species_name,higher_altitude,far_migration,wintering,diving,flying
Ectopistes_migratorius,2000,Y,M,N,Y
Egretta_eulophotes,1000,Y,N,M,Y
Egretta_garzetta,2000,M,N,M,Y
Egretta_sacra,400,N,N,M,Y
Emberiza_aureola,1000,Y,N,N,Y
Emberiza_chrysophrys,1000,Y,N,N,Y
Emberiza_cioides,1000,M,M,N,Y
Emberiza_elegans,1000,M,M,N,Y
Emberiza_fucata,1000,M,M,N,Y
Emberiza_jankowskii,1000,M,M,N,Y
Emberiza_leucocephalos,1000,Y,N,N,Y
Emberiza_pusilla,1000,Y,N,N,Y
Emberiza_rustica,1000,Y,N,N,Y
Emberiza_rutila,1000,Y,N,N,Y
Emberiza_spodocephala,1000,Y,N,N,Y
Emberiza_sulphurata,1500,M,M,N,Y
Emberiza_tristrami,1000,Y,N,N,Y
Emeus_crassus,1000,N,N,N,N
Eolophus_roseicapillus,1000,M,N,N,Y
Eophona_migratoria,1000,Y,N,N,Y
Eophona_personata,1000,Y,N,N,Y
Eopsaltria_australis,1000,N,N,N,Y
Eopsaltria_georgiana,1000,N,N,N,Y
Eopsaltria_griseogularis,1000,N,N,N,Y
Epthianura_albifrons,1000,N,N,N,Y
Eremopsaltria_mongolica,4500,N,N,N,Y
Eudocimus_ruber,1000,N,N,M,Y
Eudromia_elegans,2500,M,N,N,N
Eudynamys_taitensis,1500,Y,N,,
Eudyptes_chrysocome,500,N,M,Y,N
Eudyptula_minor,500,N,N,Y,N
Eulabeornis_castaneoventris,1000,N,N,N,Y
Euphagus_cyanocephalus,3000,Y,N,N,Y
Eupsittula_pertinax,1200,N,N,N,Y
Eurynorhynchus_pygmeus,1000,Y,N,M,Y
Eurystomus_orientalis,1000,M,N,N,Y
Falco_amurensis,,,,,
Falco_cherrug,,,,,
Falco_columbarius,,,,,
Falco_naumanni,,,,,
Falco_peregrinus,,,,,
Falco_rusticolus,,,,,
Falco_sparverius,,,,,
Falco_tinnunculus,,,,,
Ficedula_albicollis,1600,Y,N,N,Y
Ficedula_zanthopygia,1000,Y,N,N,Y
Florisuga_fusca,1400,M,N,N,Y
Florisuga_mellivora,1000,M,N,N,Y
Forpus_modestus,1000,M,N,N,Y
Forpus_passerinus,1800,N,N,N,Y
Francolinus_pintadeanus,1500,N,N,N,Y
Fratercula_arctica,1000,Y,N,Y,Y
Fregata_sp.,,,,,
Fringilla_coelebs,2500,M,M,N,Y
Fringilla_montifringilla,3050,Y,N,N,Y
Fringilla_polatzeki,1200,N,N,N,Y
Fringilla_teydea,2300,N,N,N,Y
Fulica_atra,1000,M,N,M,Y
Galbula_albirostris,1300,N,N,N,Y
Gallicolumba_luzonica,1400,N,N,N,Y
Gallicrex_cinerea,1000,M,N,M,Y
Gallinago_stenura,2500,Y,N,M,Y
Gallinula_chloropus,3000,M,N,M,Y
Gallirallus_australis,1500,N,N,N,N
Gallirallus_okinawae,500,N,N,N,N
Gallirallus_philippensis,3600,N,N,N,Y
Gallus_gallus,,,,,
Gallus_lafayetii,2300,N,N,N,Y
Gallus_sonneratii,2400,N,N,N,Y
Gallus_varius,3000,N,N,N,Y
Garrulax_affinis,4600,N,N,N,Y
Garrulax_albogularis,3800,N,N,N,Y
Garrulax_canorus,800,N,N,N,Y
Garrulax_cineraceus,1700,N,N,N,Y
Garrulax_elliotii,4200,N,N,N,Y
Garrulax_formosus,3100,N,N,N,Y
Garrulax_ocellatus,3660,N,N,N,Y
Garrulax_perspicillatus,1000,N,N,N,Y
Garrulax_poecilorhynchus,2100,N,N,N,Y
Garrulax_sannio,1800,N,N,N,Y
Garrulus_glandarius,4000,N,Y,N,Y
Gavia_arctica,2000,Y,N,Y,Y
Gavia_immer,2000,Y,N,Y,Y
Gavia_pacifica,2000,Y,N,Y,Y
Gavia_stellata,2000,Y,N,Y,Y
Gelochelidon_nilotica,,,,,
Geobiastes_squamiger,600,N,N,N,Y
Geococcyx_californianus,2500,N,N,N,Y
Geopelia_striata,2000,N,N,N,Y
Geospiza_fortis,1700,N,N,N,Y
Geospiza_magnirostris,1000,N,N,N,Y
Geotrygon_violacea,1600,M,N,N,Y
Gerygone_igata,1600,N,N,N,Y
Glaucidium_brodiei,2700,N,N,N,Y
Glaucidium_cuculoides,2700,N,N,N,Y
Glaucis_hirsutus,3500,N,N,N,Y
Gnorimopsar_chopi,3400,N,N,N,Y
Gorsachius_goisagi,2400,Y,N,M,Y
Gorsachius_magnificus,2000,M,N,M,Y
Gorsachius_melanolophus,2100,M,N,M,Y
Goura_cristata,5000,N,N,N,Y
Goura_scheepmakeri,800,N,N,N,Y
Goura_sclaterii,500,N,N,N,Y
Goura_victoria,600,N,N,N,Y
Gracula_religiosa,2000,N,N,N,Y
Grus_americana,1000,Y,N,M,Y
Grus_antigone,1000,M,N,M,Y
Grus_canadensis,1000,Y,N,M,Y
Grus_carunculatus,2000,M,N,M,Y
Grus_grus,1000,Y,N,M,Y
Grus_japonensis,1000,Y,N,M,Y
Grus_leucogeranus,1000,Y,N,M,Y
Grus_monacha,1000,Y,N,M,Y
Grus_nigricollis,4900,M,N,M,Y
Grus_paradisea,,,,,
Grus_rubicunda,1000,N,N,M,Y
Grus_vipio,1000,Y,N,M,Y
Grus_virgo,,,,,
Gymnomystax_mexicanus,950,N,N,M,Y
Gyps_fulvus,,,,,
Gyps_himalayensis,6000,N,N,N,Y
Haematopus_ater,1000,M,N,M,Y
Haematopus_ostralegus,1000,Y,N,M,Y
Haematortyx_sanguiniceps,1700,N,N,N,Y
Haemorhous_cassinii,3000,M,M,N,Y
Haemorhous_mexicanus,2000,M,M,N,Y
Halcyon_coromanda,1800,M,N,Y,Y
Halcyon_pileata,2000,Y,N,Y,Y
Halcyon_smyrnensis,3000,M,N,Y,Y
Heliodoxa_aurescens,1400,N,N,N,Y
Heliornis_fulica,1000,N,N,M,Y
Hemignathus_flavus,2000,N,N,N,Y
Hemignathus_parvus,2500,N,N,N,Y
Hemignathus_stejnegeri,2500,N,N,N,Y
Hemignathus_virens,2500,N,N,N,Y
Hemiphaga_novaeseelandiae,1000,N,N,N,Y
Henicorhina_leucosticta,1800,N,N,N,Y
Hesperiphona_vespertina,3000,N,N,N,Y
Heteralocha_acutirostris,2500,N,N,N,Y
Hieraaetus_fasciatus,,,,,
Himantopus_himantopus,4200,M,N,M,Y
Himantopus_mexicanus,,,,,
Himatione_sanguinea,2500,N,N,N,Y
Hirundo_rustica,3000,Y,N,N,Y
Hyliota_flavigaster,1000,N,N,N,Y
Hylocharis_cyanus,1200,M,N,N,Y
Ichthyaetus_relictus,,,,,
Icterus_bullockii,3000,Y,N,N,Y
Icterus_mesomelas,1700,N,N,N,Y
Indicator_maculatus,2100,N,N,N,Y
Ithaginis_cruentus,4400,N,N,N,Y
Ixobrychus_cinnamomeus,1800,M,N,M,Y
Ixobrychus_eurhythmus,1000,Y,N,M,Y
Ixobrychus_sinensis,1500,M,N,M,Y
Ixos_mcclellandii,2700,N,N,N,Y
Jacana_jacana,1000,N,N,N,Y
Jacana_spinosa,1800,N,N,N,Y
Junco_hyemalis,2050,M,N,N,Y
Jynx_ruficollis,2500,N,N,N,Y
Lagopus_lagopus,1100,M,Y,N,Y
Lagopus_muta,5000,N,Y,N,Y
Lampropsar_tanagrinus,500,N,N,N,Y
Lanius_cristatus,1400,Y,N,N,Y
Lanius_isabellinus,2400,Y,N,N,Y
Lanius_schach,3000,N,N,N,Y
Lanius_sphenocercus,1800,M,N,N,Y
Lanius_tephronotus,4500,M,N,N,Y
Lanius_tigrinus,1000,Y,N,N,Y
Larus_brunnicephalus,,,,,
Larus_crassirostris,,,,,
Larus_dominicanus,,,,,
Larus_vegae,,,,,
Leiothrix_argentauris,1800,N,N,N,Y
Leiothrix_lutea,3400,N,N,N,Y
Lepidocolaptes_angustirostris,3000,N,N,N,Y
Lepidothrix_coronata,1400,N,N,N,Y
Leptotila_verreauxi,3200,N,N,N,Y
Lerwa_lerwa,5500,N,M,N,Y
Leucosticte_arctoa,5500,M,M,N,Y
Leucosticte_brandti,5500,M,M,N,Y
Lewinia_muelleri,500,N,N,N,N
Limosa_lapponica,1000,Y,N,M,Y
Lonchura_caniceps,2200,N,N,N,Y
Lonchura_castaneothorax,1800,N,N,N,Y
Lonchura_flaviprymna,500,M,N,N,Y
Lonchura_forbesi,1000,N,N,N,Y
Lonchura_grandis,1300,N,N,N,Y
Lonchura_hunsteini,1000,N,N,N,Y
Lonchura_leucosticta,1000,N,N,N,Y
Lonchura_melaena,1200,N,N,N,Y
Lonchura_nevermanni,1000,N,N,N,Y
Lonchura_nigerrima,,,,,
Lonchura_punctulata,3000,N,N,N,Y
Lonchura_spectabilis,2500,N,N,N,Y
Lonchura_striata,2500,N,N,N,Y
Lonchura_stygia,1000,N,N,N,Y
Lophophanes_dichrous,4500,N,M,N,Y
Lophophorus_lhuysii,4900,N,M,N,Y
Lophophorus_sclateri,4200,N,M,N,Y
Lophornis_magnificus,1000,N,N,N,Y
Lophura_edwardsi,600,N,N,N,Y
Lophura_ignita,1300,N,N,N,Y
Lophura_nycthemera,2000,M,M,N,Y
Lophura_swinhoii,2000,M,M,N,Y
Loxia_curvirostra,4500,M,Y,N,Y
Loxops_caeruleirostris,1200,N,N,N,Y
Loxops_coccineus,2000,N,N,N,Y
Loxops_mana,1900,N,N,N,Y
Luscinia_calliope,1500,Y,N,N,Y
Luscinia_cyanura,3000,Y,N,N,Y
Lyrurus_tetrix,3000,N,Y,N,Y
Machlolophus_spilonotus,2700,N,N,N,Y
Macroagelaius_imthurni,2000,N,N,N,Y
Malacoptila_fusca,1200,N,N,N,Y
Malurus_melanocephalus,1000,N,N,N,Y
Megaceryle_lugubris,2800,N,N,Y,Y
Megalaima_virens,300,N,N,N,Y
Megalurus_pryeri,1000,M,N,N,Y
