species_name,higher_altitude,far_migration,wintering,diving,flying,lower_altitude,only_forest,can_not_fly,divers,high_alt,far_migrtion,wintering_num,high_alt2,reference2
Carpodacus_erythrinus,4500,Y,N,N,Y,0,Y,0,0,Carpodacus_erythrinus,Carpodacus_erythrinus,0,0,0
Carpodacus_mexicanus,2000,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Carpodacus_roseus,2500,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Casuarius_bennetti,3300,N,N,N,N,0,N,Casuarius_bennetti,0,0,0,0,0,0
Casuarius_casuarius,1100,N,N,N,N,0,N,Casuarius_casuarius,0,0,0,0,0,0
Catharacta_skua,,,,,,,,0,0,0,0,0,0,0
Cathartes_aura,,,,,,,,0,0,0,0,0,0,0
Cecropis_daurica,3900,M,M,N,Y,0,N,0,0,0,0,0,0,0
Ceryle_rudis,2500,N,N,Y,Y,0,Y,0,Ceryle_rudis,0,0,0,0,0
Chaetura_pelagica,3200,Y,N,N,Y,0,M,0,0,0,Chaetura_pelagica,0,0,0
Chalcophaps_indica,2200,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Charadrius_placidus,2700,Y,N,M,Y,0,M,0,0,0,Charadrius_placidus,0,0,0
Charadrius_vociferus,2400,M,N,M,Y,0,Y,0,0,0,0,0,0,0
Chionis_minor,,,,,,,,0,0,0,0,0,0,0
Chloroceryle_aenea,2600,N,N,Y,Y,0,Y,0,Chloroceryle_aenea,0,0,0,0,0
Chlorophanes_spiza,2300,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Chroicocephalus_ridibundus,,,,,,,,0,0,0,0,0,0,0
Chrysolampis_mosquitus,1700,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Chrysolophus_amherstiae,4600,N,M,N,Y,1800,Y,0,0,Chrysolophus_amherstiae,0,0,0,0
Chrysolophus_pictus,2600,N,N,N,Y,800,Y,0,0,0,0,0,0,0
Chrysomus_cyanopus,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Chrysomus_cyanopus
Chrysomus_icterocephalus,2600,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Chrysomus_ruficapillus,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Chrysomus_ruficapillus
Chrysomus_thilius,4000,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Chrysomus_xanthophthalmus,650,N,N,N,Y,0,Y,0,0,0,0,0,0,Chrysomus_xanthophthalmus
Ciconia_boyciana,,,,,,,,0,0,0,0,0,0,0
Ciconia_ciconia,3300,Y,N,M,Y,0,N,0,0,0,Ciconia_ciconia,0,0,0
Ciconia_nigra,2000,Y,N,M,Y,0,N,0,0,0,Ciconia_nigra,0,0,0
Circus_cyaneus,2500,Y,N,N,Y,0,Y,0,0,0,Circus_cyaneus,0,0,0
Circus_melanoleucos,2000,Y,N,N,Y,0,Y,0,0,0,Circus_melanoleucos,0,0,0
Cnemotriccus_fuscatus,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Coccothraustes_coccothraustes,2200,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Colinus_virginianus,2000,N,M,N,Y,0,Y,0,0,0,0,0,0,0
Columba_jouyi,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Columba_livia,3000,M,M,N,Y,0,N,0,0,0,0,0,0,0
Columba_rupestris,6000,M,M,N,Y,2000,M,0,0,Columba_rupestris,0,0,Columba_rupestris,0
Copsychus_saularis,1500,N,N,N,Y,0,Y,0,0,0,0,0,0,Copsychus_saularis
Coracopsis_vasa,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Coracopsis_vasa
Corvus_brachyrhynchos,2000,M,M,N,Y,0,M,0,0,0,0,0,0,0
