"","X.insessorial1.","X.med_c.","X.0.235714975198238.","X.0.00184470358502261.","X..0.454588226886974."
"197","aerial1","palearctic1","0.232627707450298","0.0018691921570718","0.0191204046761016"
"198","aerial1","indo_malay1","0.0970379249380851","0.00360944212001907","-0.0355399923241968"
"199","aerial1","madagascar1","0.342343136066575","0.00118332663091816","-0.0969950665244474"
"200","aerial1","neotropic1","0.859889216550762","4.09152566230427e-05","-0.00391055908677611"
"201","aerial1","nearctic1","0.557434869524582","0.000451854541883078","0.0135116611256825"
"202","aerial1","afrotropic1","0.467075206917394","0.000694291716065843","-0.0182579070984771"
"203","aerial1","oceania1","0.77108081664289","0.000111167210127648","-0.0179263590775271"
"204","aerial1","antarctic1","0.0319713190925608","0.00602254203853109","0.144952149380556"
"205","aerial1","invertivore1","0.695077322787653","0.000201744177437523","-0.00837805286289926"
"206","aerial1","vertivore1","0.386098089694399","0.000985981084918868","0.050269493685581"
"207","aerial1","aquatic_predator1","3.57498452687732e-05","0.0221857023413748","0.132745711731089"
"208","aerial1","omnivoretn1","0.141872284191634","0.00282925661429694","-0.0243368905090657"
"209","aerial1","granivore1","0.751327863071075","0.000131860757283124","-0.0092813605876399"
"210","aerial1","frugivore1","0.401324011965333","0.00092453020725775","-0.0232853365158023"
"211","aerial1","nectarivore1","0.391711894501528","0.000962925596883901","0.0604861473645721"
"212","aerial1","herbivore_aquatic1","0.92829205367199","1.06354027090576e-05","-0.00643959518953416"
"213","aerial1","herbivore_terrestrial1","0.990184640636344","1.98739479777123e-07","-0.000664582325856427"
"214","aerial1","scavengertn1","0.40697873699185","0.000902559122917715","-0.147812255984452"
"215","aerial1","insessorial1","9.33770347710805e-08","0.0367427662097449","-0.103482367475747"
"216","aerial1","terrestrial1","0.00874945468457233","0.00898534025633789","-0.0533739086840609"
"217","aerial1","generalist1","1.9479973190073e-12","0.0629792450179361","-0.153896264412435"
"218","aerial1","aquatic1","5.20268516757127e-05","0.0212711838920408","-0.195087404161612"
"219","aerial1","fTn","0.2364793674871","0.00183870014312132","-0.1802259566261"
"220","aerial1","fCn","0.23719998382257","0.00183306197036885","-0.456447870028013"
"221","aerial1","fAn","0.496136247856514","0.000608076704670189","-0.127737871512507"
"222","aerial1","fGn","0.0456654218076329","0.0052310393231677","0.275850386814047"
"223","aerial1","ghahSkew","0.105613660660986","0.00343290947492638","0.0799901507090341"
"224","aerial1","Stg_Sac","0.19640595134446","0.00218919485146738","0.124660589015306"
"225","aquatic1","med_c","0.473427152415004","0.000674710662662436","0.109601689065868"
"226","aquatic1","med_a","0.348197687516726","0.00115496525097996","-0.218608194934475"
"227","aquatic1","Beak_length_Culmen","0.868592526083549","3.59449233427379e-05","4.09718012459524e-05"
"228","aquatic1","Beak_length_Nares","0.910355431889277","1.66466860396202e-05","-3.75696519703942e-05"
"229","aquatic1","Beak_width","0.637744996251773","0.00029109805858999","0.000616625294409346"
"230","aquatic1","Beak_depth","0.547386913481482","0.00047528975912743","0.000524097487157069"
"231","aquatic1","Tarsus_length","0.0194690556018631","0.00714295872555184","-0.00043777423776554"
"232","aquatic1","Wing_length","0.00790609163361955","0.00922132881171555","-0.000191405790437546"
"233","aquatic1","Kipps_distance","0.0138586184126082","0.00792126458026094","-0.000369015781099375"
"234","aquatic1","Hand_wing_index","0.300480823382701","0.00140683444615063","-0.000671958941618957"
"235","aquatic1","Tail_length","0.00703019306645114","0.00949531909132454","-0.000223108610564214"
"236","aquatic1","Mass","0.382101429538487","0.00100268777598692","1.21482572369048e-06"
"237","aquatic1","forest1","0.249798877040353","0.0017377238027364","-0.012830427430062"
"238","aquatic1","grassland1","0.179655371789319","0.00236158259697176","-0.0187354524205735"
"239","aquatic1","human1","0.778619472319606","0.000103773502560455","-0.00615991175498504"
"240","aquatic1","wetland1","3.53389463030318e-05","0.0222138936637425","0.0614410397550403"
"241","aquatic1","shrubland1","0.897091365754313","2.19668433049038e-05","-0.00202808045118889"
"242","aquatic1","woodland1","0.826356886364696","6.31969198390949e-05","-0.00334023299948074"
"243","aquatic1","marine1","8.51179729366436e-07","0.0313285189944134","0.189824872703133"
"244","aquatic1","riverline1","0.0847020808062229","0.00389558978414929","0.0915095675091456"
"245","aquatic1","coastal1",NA,NA,NA
"246","aquatic1","rock1","0.958842372073127","3.49731911004024e-06","-0.00182423667031339"
"247","aquatic1","desert1","0.999797376354408","8.46897911597397e-11","-1.76251130194978e-05"
"248","aquatic1","carnivore1","0.572057022679747","0.000419154071148045","-0.00755930753766847"
"249","aquatic1","herbivore1","0.0576771620989263","0.00472020689886712","0.0288193687946489"
"250","aquatic1","omnivore1","0.348547244535886","0.00115329231966","-0.0118780459230523"
"251","aquatic1","scavenger1","0.478687719786606","0.000658812916584025","-0.100188993738624"
"252","aquatic1","australian1","0.880922329206935","2.94678068695536e-05","0.00296563461769118"
"253","aquatic1","palearctic1","0.954240722940205","4.32398134108238e-06","-0.000644821151334654"
"254","aquatic1","indo_malay1","0.224611279668612","0.00193465062883904","0.0184798073519343"
"255","aquatic1","madagascar1","0.894449264076228","2.31160007211063e-05","-0.01045018781833"
"256","aquatic1","neotropic1","0.214102368471732","0.00202482486509533","-0.0195903228289669"
"257","aquatic1","nearctic1","0.687386191867753","0.00021262286516838","0.00642517500023476"
"258","aquatic1","afrotropic1","0.68047188587929","0.000222687065024252","-0.00735300061129891"
"259","aquatic1","oceania1","0.545464486041409","0.000479865481238811","0.0256037300405826"
"260","aquatic1","antarctic1","0.389375590275356","0.000972462974182477","-0.0416616254613618"
"261","aquatic1","invertivore1","0.532766806939813","0.000510849644871369","-0.00958090076795211"
"262","aquatic1","vertivore1","0.656057582809147","0.000260436189699134","-0.0192457275313299"
"263","aquatic1","aquatic_predator1","0.378781228157992","0.0010167559015211","0.0202676442681369"
"264","aquatic1","omnivoretn1","0.0901690504569519","0.00376355208865864","-0.0193497406184067"
"265","aquatic1","granivore1","0.760651913968143","0.000121852405476023","-0.00644284064218373"
"266","aquatic1","frugivore1","0.618403624218715","0.000325774365770312","-0.00967124013304139"
"267","aquatic1","nectarivore1","0.877916624013771","3.09860879020038e-05","-0.00808365726747491"
"268","aquatic1","herbivore_aquatic1","0","0.978991389024628","0.994116166237915"
"269","aquatic1","herbivore_terrestrial1","0.001596732835623","0.0129988225279326","-0.114451627936808"
"270","aquatic1","scavengertn1","0.478687719786606","0.000658812916584025","-0.100188993738624"
"271","aquatic1","insessorial1","0.455478225729894","0.000731161702864666","-0.0106389156617068"
"272","aquatic1","terrestrial1","4.84938450728833e-07","0.0327069655974427","-0.0748636153690908"
"273","aquatic1","generalist1","0.000111936659466849","0.0194071956438257","-0.0584847666342646"
"274","aquatic1","aerial1","0.000571404016289412","0.0154627747122883","-0.0882597200840016"
"275","aquatic1","fTn","0.941969655602776","6.95865818041717e-06","0.00753100230281079"
"276","aquatic1","fCn","0.692120072625587","0.000205887946537696","-0.104287446405087"
"277","aquatic1","fAn","0.0454318333918307","0.0052423301223311","0.253529079074085"
"278","aquatic1","fGn","0.159611651087721","0.00259400442315116","-0.131792203742574"
"279","aquatic1","ghahSkew","0.0451973080302246","0.0052537277668299","-0.0670871238766374"
"280","aquatic1","Stg_Sac","0.0608692649877709","0.0046033422588766","-0.122745379377998"
"281","fTn","med_c","0.61657725230938","0.000329174402868523","0.0138708174369278"
"282","fTn","med_a","0.407391309618175","0.000900973537524724","0.0455744737834891"
"283","fTn","Beak_length_Culmen","0.0326774204979472","0.00597367910659585","8.0338040571306e-05"
"284","fTn","Beak_length_Nares","0.0176675938472628","0.00736448727506846","0.000118099581284859"
"285","fTn","Beak_width","0.293750595365919","0.0014465578719366","0.000247074899250112"
"286","fTn","Beak_depth","0.518289077103247","0.000547842660917445","9.99950940780217e-05"
"287","fTn","Tarsus_length","0.644048211673127","0.000280310821906869","-1.38894585054224e-05"
"288","fTn","Wing_length","0.682313095206547","0.000219980547259249","4.94172203499826e-06"
"289","fTn","Kipps_distance","0.528566421635635","0.00052139623196774","1.53422187324881e-05"
"290","fTn","Hand_wing_index","0.730573710972909","0.000155714050929708","-3.70580639630913e-05"
"291","fTn","Tail_length","0.703354943108341","0.000190402405684436","6.65551221645756e-06"
"292","fTn","Mass","0.318374031453872","0.00130658375116155","-3.00589137708505e-07"
"293","fTn","forest1","0.297938036827399","0.00142170725478847","0.00311975798632963"
"294","fTn","grassland1","0.251134978455083","0.00172795829612794","-0.00507406728770918"
"295","fTn","human1","0.242247316434575","0.00179414436183248","-0.00855929781246753"
"296","fTn","wetland1","0.300845828096383","0.00140471280585362","0.00425701283752888"
"297","fTn","shrubland1","0.237765889113704","0.00182864878686028","-0.00611123236614139"
"298","fTn","woodland1","0.536550562051193","0.000501476800667825","0.0031416715048843"
"299","fTn","marine1","0.990764526809659","1.75949298228852e-07","-7.4640694837369e-05"
"300","fTn","riverline1","0.0614496699434057","0.00458279356002209","-0.0293011675798975"
"301","fTn","coastal1","0.0477056716745416","0.00513492922350612","0.01924743748158"
"302","fTn","rock1","0.784293760347917","9.83890252727282e-05","-0.00305700738224572"
"303","fTn","desert1","0.0523392341381503","0.00493184336307564","-0.044583134209825"
"304","fTn","carnivore1","0.970999404005287","1.73562005966576e-06","0.000111485753677421"
"305","fTn","herbivore1","0.0284509748709629","0.00628421300081819","-0.00718593493229408"
"306","fTn","omnivore1","0.0227174228611773","0.00679229831787172","0.00882768143403617"
"307","fTn","scavenger1","0.646725669386443","0.000275803328742845","0.0132648336194467"
"308","fTn","australian1","0.10221633216175","0.00350090517414404","-0.00679902229098425"
"309","fTn","palearctic1","0.540368653081462","0.000492139979259636","0.00187257723223364"
"310","fTn","indo_malay1","0.72774533257766","0.000159136246002488","0.00149773790601196"
"311","fTn","madagascar1","0.589062613499795","0.000383131426786581","0.0102381326621771"
"312","fTn","neotropic1","0.638411173132822","0.000289946234246339","0.00173155823579046"
"313","fTn","nearctic1","0.0996153612805211","0.00355465165418867","-0.00872941981450605"
"314","fTn","afrotropic1","0.640972899342237","0.000285542902693634","-0.00236557729676376"
"315","fTn","oceania1","0.0969606866457593","0.00361110839414824","0.0182898444251369"
"316","fTn","antarctic1","0.023124773873362","0.00675202611921572","0.025942194409059"
"317","fTn","invertivore1","0.29695221265739","0.00142751725777021","-0.00362445861075944"
"318","fTn","vertivore1","0.158568602168991","0.00260700048823902","0.0109656398405746"
"319","fTn","aquatic_predator1","0.000120435022810561","0.0192294442696359","0.0140292556568765"
"320","fTn","omnivoretn1","0.164199151960434","0.0025379707247431","-0.0046122821554922"
"321","fTn","granivore1","0.0678358986049439","0.00436944479858749","-0.0094155140531056"
"322","fTn","frugivore1","0.241988030388518","0.00179611952278176","0.0064274400507891"
"323","fTn","nectarivore1","0.195146986061141","0.00220154652472494","-0.0135172914711103"
"324","fTn","herbivore_aquatic1","0.51175063731391","0.000565153123540713","0.00820191031474256"
"325","fTn","herbivore_terrestrial1","0.493150597535867","0.000616546216032716","-0.00800059258960188"
"326","fTn","scavengertn1","0.646725669386443","0.000275803328742845","0.0132648336194467"
"327","fTn","insessorial1","0.10871116142739","0.00337296851140842","-0.00508287543568398"
"328","fTn","terrestrial1","0.418603664029992","0.000858766799209889","0.0025647935504397"
"329","fTn","generalist1","0.139930330928545","0.00285700659627901","0.00760297730882417"
"330","fTn","aerial1","0.369117570687338","0.00105870747980918","-0.00499113958816644"
"331","fTn","aquatic1","0.381562954805167","0.00100495761273976","0.00532121684889322"
"332","fTn","fCn","1.17623907551767e-05","0.0249000113262276","-0.399404984063409"
"333","fTn","fAn","6.1304688347974e-07","0.0321325972933835","-0.219828498823016"
"334","fTn","fGn","0","0.510727954522658","-0.644866429865303"
"335","fTn","ghahSkew","6.5450019601343e-05","0.02071226020702","-0.0462163078100311"
"336","fTn","Stg_Sac","2.77999845366139e-13","0.067669590557425","0.16207459199078"
"337","fCn","med_c","0.491571104985399","0.000621061676591862","0.0068344628398318"
"338","fCn","med_a",NA,NA,NA
"339","fCn","Beak_length_Culmen","0.0602745754954108","0.00462461367741628","-2.78434080933738e-05"
"340","fCn","Beak_length_Nares","0.0362548906155138","0.00574191926674864","-4.10761767038466e-05"
"341","fCn","Beak_width","0.199766999477794","0.00215666839544133","-0.000105670839710553"
"342","fCn","Beak_depth","0.0687902483456679","0.0043394108625696","-9.63473981899993e-05"
"343","fCn","Tarsus_length","0.288769030159794","0.00147671718425456","-1.10991791282399e-05"
"344","fCn","Wing_length","0.204403881892149","0.00211283387039449","-5.06914131454623e-06"
"345","fCn","Kipps_distance","0.0890400753370395","0.00379009664165962","-1.41682897956899e-05"
"346","fCn","Hand_wing_index","0.0137012133520118","0.0079475479378006","-9.08795428617454e-05"
"347","fCn","Tail_length","0.844165260255501","5.07395505767009e-05","1.23328844473696e-06"
"348","fCn","Mass","0.583275347560261","0.00039515408298751","6.3288955822787e-08"
"349","fCn","forest1","0.150348328526153","0.00271294161609297","0.00160783127166311"
"350","fCn","grassland1","0.0690794893586477","0.0043303960526698","-0.00313434390758995"
"351","fCn","human1","0.728724322526062","0.000157947003312463","0.00100001422863816"
"352","fCn","wetland1","0.345238802932017","0.00116921781662427","-0.00144417342956195"
"353","fCn","shrubland1","0.0198730541951835","0.00709618390116025","0.00468468523091661"
