"species_name","med_c","med_a","Beak_length_Culmen","Beak_length_Nares","Beak_width","Beak_depth","Tarsus_length","Wing_length","Kipps_distance","Hand_wing_index","Tail_length","Mass","forest1","grassland1","human1","wetland1","shrubland1","woodland1","marine1","riverline1","coastal1","rock1","desert1","carnivore1","herbivore1","omnivore1","scavenger1","australian1","palearctic1","indo_malay1","madagascar1","neotropic1","nearctic1","afrotropic1","oceania1","antarctic1","invertivore1","vertivore1","aquatic_predator1","omnivoretn1","granivore1","frugivore1","nectarivore1","herbivore_aquatic1","herbivore_terrestrial1","scavengertn1","insessorial1","terrestrial1","generalist1","aerial1","aquatic1","fTn","fCn","fAn","fGn","ghahSkew","Stg_Sac"
"Acryllium_vulturinum",0.771599090564608,0.911603985856638,39.7,27,15.4,16.1,94.2,300.1,59.6,19.9,273.4,1330,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.438040345821326,0.0682036503362152,0.110951008645533,0.382804995196926,0.550583657587549,0.641690682036503
"Aegithalos_fuliginosus",0.768770032051282,0.936046511627907,7.7,4.4,2.1,3,15.6,55.4,10.3,18.6,57,5.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.408960915157293,0.0510009532888465,0.0996186844613918,0.440419447092469,0.631067961165049,0.698760724499523
"Aegotheles_bennettii",0.693023255813954,0.947017543859649,16.5,5.9,4.8,4,19.8,127.5,39.6,31.1,114.9,60,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.394352482960078,0.0715676728334956,0.147517039922103,0.386562804284323,0.447584320875114,0.561830574488802
"Aegotheles_cristatus",0.718424008987322,0.903127221037669,14,5,4,3.7,23.7,135.8,47,34.6,121.2,42.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.39638783269962,0.0518060836501901,0.094106463878327,0.457699619771863,0.65891472868217,0.708174904942966
"Aethia_cristatella",0.759711431742508,0.913025210084034,21.1,7.1,6.1,10.9,27.4,139.4,61,44.1,38,259.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.486526946107784,0.0419161676646707,0.107285429141717,0.364271457085828,0.544973544973545,0.701596806387226
"Aethopyga_gouldiae",0.801114023591088,0.92313154624534,17.9,11.8,3.2,2.9,13.9,54.5,11.5,21.1,57.6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.491071428571429,0.0208333333333333,0.10515873015873,0.382936507936508,0.569105691056911,0.748015873015873
"Agapornis_lilianae",0.85896164021164,0.897283755274262,16,14.3,9.1,14.2,13.7,89.4,32.9,37,41.7,37.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.498052580331061,0.0399221032132425,0.114410905550146,0.34761441090555,0.504741833508957,0.691333982473223
"Agapornis_nigrigenis",0.857744107744108,0.886217948717949,16,13.9,9.7,14.7,13,92.8,39.4,42.5,39.8,40.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.462873674059788,0.032304725168756,0.106075216972035,0.398746383799421,0.579751671442216,0.723240115718419
"Agapornis_pullarius",0.85896164021164,0.897283755274262,16.7,14.1,9.1,12.9,11.7,90.4,35.6,39.4,41.1,39.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.513752455795678,0.068762278978389,0.110510805500982,0.306974459724951,0.470588235294118,0.641453831041257
"Agapornis_roseicollis",0.850074892342258,0.875841317602344,19.4,17.2,10.6,17.7,13.4,100.8,41.1,40.7,45.8,53.8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.429135802469136,0.0202469135802469,0.120493827160494,0.430123456790123,0.562331838565022,0.718518518518519
"Agelaioides_badius",0.790816326530612,0.9203013481364,18.3,11.6,5,8.8,25.7,91.6,15.8,17.2,74.1,45.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.478723404255319,0.0400202634245187,0.125633232016211,0.355623100303951,0.477894736842105,0.668693009118541
"Agelaius_phoeniceus",0.808263305322129,0.927473763118441,22.7,15.4,5.6,8.8,28,118,27.8,24,88.9,50.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.422907488986784,0.0474791972589329,0.137542829172785,0.392070484581498,0.480591497227357,0.629955947136564
"Agelasticus_cyanopus",0.782108945527236,0.943958333333333,24.2,16.5,5.1,7.8,24.9,87.8,13.4,15.3,80.8,37.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.44980694980695,0.0617760617760618,0.111969111969112,0.376447876447876,0.541501976284585,0.652509652509653
"Agelasticus_thilius",0.786921850079745,0.937225877192982,23,15.5,4.6,7.1,26.4,93.4,16.8,18.3,75.4,31.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.534146341463415,0.0302439024390244,0.0936585365853659,0.341951219512195,0.569988801791713,0.75219512195122
"Agelasticus_xanthophthalmus",0.780839231547017,0.954887854422344,23.4,16.8,5.7,7.7,28.8,91.2,14.8,16.1,80.8,45.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.472417251755266,0.0210631895687061,0.130892678034102,0.375626880641926,0.483168316831683,0.696088264794383
"Aix_galericulata",0.836604222420458,0.861372549019608,33,20.9,13.5,10.6,34.8,222.2,111.1,50.1,94.6,567,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.458149779735683,0.0440528634361234,0.158100832109643,0.339696524718551,0.364798426745329,0.595692608908468
"Alauda_arvensis",0.829351293867423,0.920212765957447,14.8,8.7,4.5,4.8,23.9,108,37.5,34.7,67.7,37.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.489135683244809,0.0391115403186866,0.0878802510864317,0.383872525350072,0.627430910951894,0.746016417189763
"Alcedo_atthis",0.738715472715024,0.916666666666667,42.2,32.5,5.7,7.4,9.9,73.3,19.3,26.9,32.3,31.1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.376629647513279,0.0593915982617093,0.121680347658136,0.442298406566876,0.568493150684932,0.637856108160309
"Aleadryas_rufinucha",0.74668498797664,0.860421315290674,20.3,11.2,4.9,7.3,30.2,84.8,12.2,14.7,70.2,40.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.476052249637155,0.0217706821480406,0.118529269472666,0.383647798742138,0.527938342967245,0.719400096758587
"Alectoris_chukar",0.73368850302552,0.922517626321974,21.8,14.1,8,8.6,39.8,153.8,44.9,29,81.7,502.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.45352798053528,0.0413625304136253,0.0992700729927007,0.405839416058394,0.606936416184971,0.718734793187348
"Alectura_lathami",0.75974025974026,0.842550707719247,37.8,20.9,12,17.4,80.6,289.8,61.7,21.4,218.5,2333.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4623237724842,0.044725328147788,0.129314535731648,0.363636363636364,0.47534516765286,0.651920272241128
"Amaurornis_akool",0.73005733005733,0.931536658855038,31.8,17,4,8,47.6,119.2,17.4,14.8,54,131.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.411471321695761,0.0418952618453865,0.180049875311721,0.366583541147132,0.341240875912409,0.556109725685785
"Amaurornis_phoenicurus",0.704950563988302,0.943137433009356,37.1,18.6,4.4,8.8,50.8,147,33.7,23.2,57.6,180,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.530532486565706,0.0366389838788471,0.0786516853932584,0.354176844162189,0.636568848758465,0.769418661455789
"Amazilia_brevirostris",0.783625730994152,0.889855072463768,19.6,15.2,2.1,1.8,5.1,48.8,30.3,62.2,28.5,4.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.437439846005775,0.0495668912415784,0.124639076034649,0.388354186717998,0.514071294559099,0.651588065447546
"Amazilia_versicolor",0.787044534412956,0.893923895253683,19.1,13.5,1.8,2,4.3,48.2,30.5,63.4,29,4.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.460403344810625,0.0368912936546975,0.137235612395475,0.365469749139203,0.454011741682975,0.651746187899656
"Amazona_aestiva",0.821434426229508,0.891223155929038,37.2,29,16.9,30,18.4,204.2,54,26.5,111.4,451,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.435570798628123,0.0338069573738364,0.121019108280255,0.409603135717785,0.543859649122807,0.690347868691818
"Amazona_guildingii",0.810665712240515,0.909601964331869,41.1,33.5,22.2,34.2,27.7,262.5,82.5,31.4,153.2,646,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.434719535783366,0.100580270793037,0.0938104448742747,0.370889748549323,0.596253902185224,0.611218568665377
"Amazona_ochrocephala",0.813237704918033,0.895570798932274,38.3,32.6,19.7,32.9,22,212.9,60.8,28.3,116.5,476.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.465686274509804,0.0254901960784314,0.157352941176471,0.351470588235294,0.38150289017341,0.634313725490196
"Amazona_ventralis",0.824956293706294,0.925429553264605,30.9,24.8,14.8,26.4,19.3,183.6,68.1,37,97.8,214,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.505718547986077,0.0268523122824465,0.205370462456489,0.262058677274988,0.121276595744681,0.535554450522128
"Amblyramphus_holosericeus",0.769097222222222,0.928188131313131,30.7,21.6,6.8,9.7,31.1,102.6,12.7,12.2,96.3,56.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.431166347992352,0.0535372848948375,0.140535372848948,0.374760994263862,0.454545454545455,0.611854684512428
"Anas_acuta",0.865536723163842,0.801960784313726,48.1,31.9,14.5,14.8,36.9,256.7,148.4,57.8,124.7,944.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.556671449067432,0.0492587278813965,0.0999521759923482,0.294117647058824,0.492718446601942,0.701578192252511
"Anas_crecca",0.838103448275862,0.818518518518518,36.2,29.2,11.8,11.4,26.4,178.8,95.1,53.1,61.5,341.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.446489104116223,0.0440677966101695,0.12590799031477,0.383535108958838,0.505703422053232,0.660048426150121
"Anas_platyrhynchos",0.832917068740421,0.799507735583685,58.5,41,20.8,17.8,40.6,263.4,133.5,50.7,86.9,843.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.426915322580645,0.0564516129032258,0.165322580645161,0.351310483870968,0.36,0.556451612903226
"Anas_poecilorhyncha",0.830674916274053,0.798582995951417,61,41.1,21,15.7,41.8,270.3,130.1,47.9,94.1,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.490291262135922,0.0339805825242718,0.153398058252427,0.322330097087379,0.355102040816327,0.625242718446602
"Anhinga_melanogaster",0.798112999337895,0.874672815654992,88,75.2,10.4,13.8,41.9,342.2,135.7,39.2,237.8,1480.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.414444983034416,0.060106640814348,0.106640814348037,0.418807561803199,0.59409594095941,0.66650508967523
"Anser_albifrons",0.837656261696235,0.899802078179119,48.7,27.6,18.4,17.5,65,408.2,213.8,52.6,123.5,2506.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.496464646464646,0.0555555555555556,0.115151515151515,0.332828282828283,0.485907553551297,0.658585858585858
"Anser_anser",0.842138599105812,0.885925487876996,61.2,31.8,22.5,21.6,76.2,435.7,204.7,47.2,136.1,3302.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.461538461538462,0.0556361877116594,0.100145137880987,0.382680212868892,0.585170340681363,0.688437348814707
"Anser_cygnoides",0.855707762557078,0.882844614963004,92.7,42.5,24.2,19.9,76.1,422.2,195,46.1,122.8,3511.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.477261369315342,0.0439780109945027,0.163418290854573,0.315342328835582,0.317327766179541,0.585207396301849
"Anser_indicus",0.853565365025467,0.890528735632184,49.9,25.2,19.8,14,70.8,437.8,215.2,50.3,132.6,2212.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.463697967086157,0.0663117134559535,0.131171345595353,0.338818973862536,0.441812564366632,0.605033881897386
"Anseranas_semipalmata",0.759708737864078,0.907204550242258,85.6,42.4,22.8,20.4,87,405.6,144,34.9,148.1,2393.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.476817959980478,0.0375793069790142,0.145436798438263,0.340165934602245,0.401005025125628,0.633967789165446
"Anthoscopus_minutus",0.888259925558313,0.921338383838384,8.6,6.7,2.5,3.7,13.4,49.8,7.4,14.9,34.8,6.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.484273589615577,0.0294558162755866,0.129306040938592,0.356964553170245,0.468172484599589,0.682476285571643
"Anthracoceros_coronatus",0.812361440256861,0.870829120323559,202.6,160.8,35,89.1,60.2,306.2,54.1,17,317.7,806.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.437808489634748,0.0375123395853899,0.123889437314906,0.400789733464956,0.527751646284102,0.677196446199408
"Anthus_novaeseelandiae",0.853944562899787,0.908427200667501,15.5,9.2,3.4,3.9,25.6,83.8,19.7,22.6,65.1,24.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.429426433915212,0.0369077306733167,0.140149625935162,0.393516209476309,0.474766355140187,0.645885286783042
"Aphelocoma_coerulescens",0.700543478260869,0.906101694915254,30,17.7,9.1,9.1,37.8,116.7,20.6,17.5,140.5,77.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.466699801192843,0.0690854870775348,0.121272365805169,0.342942345924453,0.477516059957173,0.619284294234592
"Aptenodytes_forsteri",0.829285714285714,0.912994772218073,94.2,53.5,13.9,17.7,47.2,179.4,6.7,3.7,117.5,33569.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.467171717171717,0.0328282828282828,0.123737373737374,0.376262626262626,0.505050505050505,0.686868686868687
"Aptenodytes_patagonicus",0.828386832119783,0.930614973262032,105.6,65.7,11,17.8,52.2,167.2,6.2,3.7,63.8,11731.1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.41457528957529,0.0583976833976834,0.123069498069498,0.403957528957529,0.532967032967033,0.637065637065637
"Apteryx_haastii",0.653342366757001,0.941462021701885,139.1,6.3,4.9,5.6,74.9,0.1,0.1,0.1,0.1,2022.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.405902273826802,0.0599903241412675,0.145137880986938,0.388969521044993,0.456521739130435,0.58974358974359
"Apus_apus",0.75,0.958923042901371,10.2,4.3,4,2.8,8.8,161.3,120.2,71.6,67.4,37.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.45578231292517,0.0223517978620019,0.102040816326531,0.419825072886297,0.608938547486033,0.751214771622935
"Aquila_chrysaetos",0.789596273291925,0.884042033235582,56.8,37,18.5,28.4,101.4,603.1,221.2,36.7,307.1,4248,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.427232363098175,0.0399605328071041,0.156882091761223,0.375925012333498,0.411111111111111,0.606314750863345
"Aquila_heliaca",0.78781512605042,0.885304659498208,59,37.5,19.8,28.4,93.7,582.2,230.8,39.5,316.2,3125.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.480334316617502,0.0550639134709931,0.119469026548673,0.345132743362832,0.485714285714286,0.650934119960669
"Aquila_nipalensis",0.774966828836798,0.915343915343915,54.1,32.4,17.7,25.2,95.1,559.6,225.2,40.5,271.4,2714.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.403517587939698,0.0316582914572864,0.172361809045226,0.392462311557789,0.389679715302491,0.591959798994975
"Ara_ararauna",0.75164035996506,0.873806998939555,66,61.9,30.2,55.1,31.9,381.3,115.4,30.1,492.5,1125,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.460917801311145,0.0373171961674231,0.159354513363591,0.342410489157842,0.364824120603015,0.606656580937973
"Ara_chloropterus",0.758422197464056,0.884138162307176,76.7,74.6,35.2,75.1,34.3,402.1,167.4,41.5,486.4,1214,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.410749506903353,0.0586785009861933,0.152859960552268,0.377712031558185,0.423791821561338,0.576923076923077
"Ara_glaucogularis",0.732410635527366,0.879482948294829,59.6,51.7,24.6,51.1,30.1,343.4,114.7,33.1,477,784,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.461347869177403,0.0341922695738355,0.0763131813676908,0.42814667988107,0.697445972495088,0.778989098116947
"Ara_macao",0.753641456582633,0.886335403726708,67.2,64.1,31.8,63.5,31.6,393.7,127.5,32.7,554.5,1015,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.467149758454106,0.0536231884057971,0.101449275362319,0.377777777777778,0.576612903225806,0.689855072463768
"Ara_militaris",0.763157894736842,0.889165487977369,56.6,49.3,27.2,57.2,28.8,366.7,151.2,41.1,366.1,1134,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.541708043694141,0.0476663356504469,0.136544190665343,0.27408142999007,0.334945586457074,0.631578947368421
"Aramus_guarauna",0.817347789824854,0.937906753440734,130.4,84.9,8.8,13.4,84.6,241.2,24.4,11.1,225.8,1080,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.530960507069722,0.0360799609946368,0.0775231594344222,0.355436372501219,0.641891891891892,0.772793759141882
"Aratinga_solstitialis",0.73772504091653,0.884920634920635,25.8,22.8,13.1,22.6,14.2,154.4,63.1,40.8,136.2,119.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.419770773638968,0.0654250238777459,0.0931232091690544,0.421680993314231,0.63821892393321,0.682903533906399
