species_name,higher_altitude,far_migration,wintering,diving,flying,lower_altitude,only_forest
Crotophaga_ani,2500,N,N,N,Y,0,Y
Crypturellus_tataupa,1400,N,N,N,N,0,Y
Cuculus_poliocephalus,3600,Y,N,N,Y,0,Y
Curaeus_curaeus,1500,N,N,N,Y,0,Y
Cursorius_temminckii,2500,M,N,N,Y,0,N
Cyanistes_cyanus,2500,M,Y,N,Y,0,Y
Cyanopica_cyanus,1600,N,Y,N,Y,0,Y
Cyanoptila_cyanomelana,1800,Y,N,N,Y,0,Y
Cygnus_atratus,1000,N,N,M,Y,0,Y
Cygnus_columbianus,1000,Y,N,M,Y,0,Y
Cygnus_cygnus,1850,Y,N,M,Y,0,Y
Cygnus_olor,1000,Y,N,M,Y,0,Y
Cypseloides_fumigatus,2100,M,N,N,Y,700,Y
Dacelo_novaeguineae,1000,N,N,N,Y,0,Y
Dendrocopos_leucotos,1700,N,Y,N,Y,0,Y
Dendrocopos_major,2500,N,Y,N,Y,0,Y
Dendrocygna_javanica,1000,M,N,M,Y,0,Y
Dendroica_coronata,1000,Y,N,N,Y,0,Y
Deroptyus_accipitrinus,1000,N,N,N,Y,0,Y
Didunculus_strigirostris,1600,N,N,N,Y,300,Y
Dinornis_giganteus,1000,N,N,N,N,0,N
Diomedea_chrysostoma,,,,,,,
Dives_dives,2000,N,N,N,Y,0,Y
Dromaius_novaehollandiae,1000,N,N,N,N,0,N
Dryocopus_pileatus,2300,N,M,N,Y,0,Y
Dupetor_flavicollis,,,,,,,
Eclectus_roratus,2000,N,N,N,Y,0,Y
Ectopistes_migratorius,2000,Y,M,N,Y,0,Y
Egretta_eulophotes,1000,Y,N,M,Y,0,Y
Egretta_garzetta,2000,M,N,M,Y,0,Y
Egretta_sacra,400,N,N,M,Y,0,Y
Emberiza_aureola,1000,Y,N,N,Y,0,Y
Emberiza_chrysophrys,1000,Y,N,N,Y,0,Y
Emberiza_cioides,1000,M,M,N,Y,0,M
Emberiza_elegans,1000,M,M,N,Y,0,Y
Emberiza_fucata,1000,M,M,N,Y,0,Y
Emberiza_jankowskii,1000,M,M,N,Y,0,Y
Emberiza_leucocephalos,1000,Y,N,N,Y,0,Y
Emberiza_pusilla,1000,Y,N,N,Y,0,Y
Emberiza_rustica,1000,Y,N,N,Y,0,Y
Emberiza_rutila,1000,Y,N,N,Y,0,Y
Emberiza_spodocephala,1000,Y,N,N,Y,0,Y
Emberiza_sulphurata,1500,M,M,N,Y,500,Y
Emberiza_tristrami,1000,Y,N,N,Y,0,Y
Emeus_crassus,1000,N,N,N,N,0,N
Eolophus_roseicapillus,1000,M,N,N,Y,0,M
Eophona_migratoria,1000,Y,N,N,Y,0,Y
Eophona_personata,1000,Y,N,N,Y,0,Y
Eopsaltria_australis,1000,N,N,N,Y,0,Y
Eopsaltria_georgiana,1000,N,N,N,Y,0,Y
Eopsaltria_griseogularis,1000,N,N,N,Y,0,Y
Epthianura_albifrons,1000,N,N,N,Y,0,Y
Eremopsaltria_mongolica,4500,N,N,N,Y,500,M
Eudocimus_ruber,1000,N,N,M,Y,0,N
Eudromia_elegans,2500,M,N,N,N,0,N
Eudynamys_taitensis,1500,Y,N,,,0,Y
Eudyptes_chrysocome,500,N,M,Y,N,0,N
Eudyptula_minor,500,N,N,Y,N,0,N
Eulabeornis_castaneoventris,1000,N,N,N,Y,0,N
Euphagus_cyanocephalus,3000,Y,N,N,Y,0,Y
Eupsittula_pertinax,1200,N,N,N,Y,0,N
Eurynorhynchus_pygmeus,1000,Y,N,M,Y,0,Y
Eurystomus_orientalis,1000,M,N,N,Y,0,Y
Falco_amurensis,,,,,,,
Falco_cherrug,,,,,,,
Falco_columbarius,,,,,,,
Falco_naumanni,,,,,,,
Falco_peregrinus,,,,,,,
Falco_rusticolus,,,,,,,
Falco_sparverius,,,,,,,
Falco_tinnunculus,,,,,,,
Ficedula_albicollis,1600,Y,N,N,Y,0,Y
Ficedula_zanthopygia,1000,Y,N,N,Y,0,Y
Florisuga_fusca,1400,M,N,N,Y,0,Y
Florisuga_mellivora,1000,M,N,N,Y,0,Y
Forpus_modestus,1000,M,N,N,Y,0,Y
Forpus_passerinus,1800,N,N,N,Y,0,Y
Francolinus_pintadeanus,1500,N,N,N,Y,0,Y
Fratercula_arctica,1000,Y,N,Y,Y,0,N
Fregata_sp.,,,,,,,
Fringilla_coelebs,2500,M,M,N,Y,0,Y
Fringilla_montifringilla,3050,Y,N,N,Y,0,Y
Fringilla_polatzeki,1200,N,N,N,Y,700,Y
Fringilla_teydea,2300,N,N,N,Y,1200,Y
Fulica_atra,1000,M,N,M,Y,0,Y
Galbula_albirostris,1300,N,N,N,Y,0,Y
Gallicolumba_luzonica,1400,N,N,N,Y,0,Y
Gallicrex_cinerea,1000,M,N,M,Y,0,Y
Gallinago_stenura,2500,Y,N,M,Y,0,Y
Gallinula_chloropus,3000,M,N,M,Y,0,Y
Gallirallus_australis,1500,N,N,N,N,0,Y
Gallirallus_okinawae,500,N,N,N,N,0,Y
Gallirallus_philippensis,3600,N,N,N,Y,0,Y
Gallus_gallus,,,,,,,
Gallus_lafayetii,2300,N,N,N,Y,0,Y
Gallus_sonneratii,2400,N,N,N,Y,0,Y
Gallus_varius,3000,N,N,N,Y,0,Y
Garrulax_affinis,4600,N,N,N,Y,1300,Y
Garrulax_albogularis,3800,N,N,N,Y,300,Y
Garrulax_canorus,800,N,N,N,Y,0,Y
Garrulax_cineraceus,1700,N,N,N,Y,200,Y
Garrulax_elliotii,4200,N,N,N,Y,1000,Y
Garrulax_formosus,3100,N,N,N,Y,900,Y
Garrulax_ocellatus,3660,N,N,N,Y,1100,Y
Garrulax_perspicillatus,1000,N,N,N,Y,0,Y
Garrulax_poecilorhynchus,2100,N,N,N,Y,1100,Y
Garrulax_sannio,1800,N,N,N,Y,600,Y
Garrulus_glandarius,4000,N,Y,N,Y,0,Y
Gavia_arctica,2000,Y,N,Y,Y,0,Y
Gavia_immer,2000,Y,N,Y,Y,0,Y
Gavia_pacifica,2000,Y,N,Y,Y,0,Y
Gavia_stellata,2000,Y,N,Y,Y,0,Y
Gelochelidon_nilotica,,,,,,,
Geobiastes_squamiger,600,N,N,N,Y,0,Y
Geococcyx_californianus,2500,N,N,N,Y,0,N
Geopelia_striata,2000,N,N,N,Y,0,Y
Geospiza_fortis,1700,N,N,N,Y,0,Y
Geospiza_magnirostris,1000,N,N,N,Y,0,Y
Geotrygon_violacea,1600,M,N,N,Y,0,Y
Gerygone_igata,1600,N,N,N,Y,0,Y
Glaucidium_brodiei,2700,N,N,N,Y,1300,Y
Glaucidium_cuculoides,2700,N,N,N,Y,0,Y
Glaucis_hirsutus,3500,N,N,N,Y,0,Y
Gnorimopsar_chopi,3400,N,N,N,Y,0,Y
Gorsachius_goisagi,2400,Y,N,M,Y,0,Y
Gorsachius_magnificus,2000,M,N,M,Y,0,Y
Gorsachius_melanolophus,2100,M,N,M,Y,0,Y
Goura_cristata,5000,N,N,N,Y,0,Y
Goura_scheepmakeri,800,N,N,N,Y,0,Y
Goura_sclaterii,500,N,N,N,Y,0,Y
Goura_victoria,600,N,N,N,Y,0,Y
Gracula_religiosa,2000,N,N,N,Y,0,Y
