"","Ecology1","Ecology2","p_value","mult_r_squared","effect_size","p_adj_bon","p_adj_holm","p_adj_hochberg","p_adj_hommel","p_adj_bh","p_adj_fdr","p_adj_by","p_adj_none"
"685","forest1","grassland1",2.26336727138232e-11,0.0570454428549289,-0.317343997145747,7.07075935579837e-08,6.7470978359907e-08,6.7470978359907e-08,6.74483446871931e-08,4.91024955263775e-10,4.91024955263775e-10,4.2347196226168e-09,2.26336727138232e-11
"686","forest1","human1",2.12957658218826e-06,0.0290820723584581,-0.354733655983554,0.00665279724275612,0.0062396593858116,0.0062396593858116,0.00617151293518158,3.41169089372109e-05,3.41169089372109e-05,0.000294232588773061,2.12957658218826e-06
"687","forest1","wetland1",1.12312352331667e-05,0.0250129677648482,-0.228447360221999,0.0350863788684128,0.0326379695875824,0.0326379695875824,0.0322111826487221,0.000160211775654853,0.000160211775654853,0.00138170564014496,1.12312352331667e-05
"688","forest1","shrubland1",0,0.148820325540544,-0.559647230043454,0,0,0,0,0,0,0,0
"689","forest1","woodland1",0,0.172715383278021,-0.586730778192857,0,0,0,0,0,0,0,0
"693","forest1","rock1",7.62791635180449e-05,0.0203396477993478,-0.462344212964208,0.238296106830372,0.218616082642717,0.218616082642717,0.213123982869417,0.000920062188534256,0.000920062188534256,0.00793484193022481,7.62791635180449e-05
"701","forest1","indo_malay1",0.00878822457387796,0.00897505758548586,0.129358083208268,1,1,0.999956867492758,0.999956867492758,0.0639963020251626,0.0639963020251626,0.551919801744667,0.00878822457387796
"706","forest1","oceania1",0.00770688276850273,0.00928082313786969,0.381572223448648,1,1,0.999956867492758,0.999956867492758,0.0575988080593362,0.0575988080593362,0.496746244999259,0.00770688276850273
"710","forest1","aquatic_predator1",0.000375168349373345,0.0164772700461753,-0.259284807427903,1,1,0.999956867492758,0.96230681614263,0.00406953445639698,0.00406953445639698,0.0350966630772601,0.000375168349373345
"712","forest1","granivore1",2.34516881181257e-06,0.0288459045319111,-0.314290405534158,0.00732630736810247,0.00686430911217539,0.00686430911217539,0.0067916088790092,3.70015523641539e-05,3.70015523641539e-05,0.000319110461055064,2.34516881181257e-06
"713","forest1","frugivore1",5.51552536691702e-05,0.0211289541689989,0.258278675157372,0.172305012462488,0.158516199045195,0.158516199045195,0.155206883825045,0.000686474153237003,0.000686474153237003,0.00592032143370463,5.51552536691702e-05
"719","forest1","terrestrial1",3.32535827096692e-07,0.0336313511174466,-0.233235274051937,0.00103884192385007,0.000979983082453951,0.000979983082453951,0.000974329973393307,5.83619058342734e-06,5.83619058342734e-06,5.03327387336038e-05,3.32535827096692e-07
"737","grassland1","Kipps_distance",0.00938532856504803,0.00882229324545977,0.000688821545886789,1,1,0.999956867492758,0.999956867492758,0.0675570655235254,0.0675570655235254,0.58262869931977,0.00938532856504803
"738","grassland1","Hand_wing_index",0.000196345113801843,0.018043664911394,0.00436640189656366,0.613382135516958,0.56036895479046,0.56036895479046,0.533469674199607,0.00226340271408471,0.00226340271408471,0.0195201400345726,0.000196345113801843
"741","grassland1","forest1",2.35367281220533e-14,0.0735990176789134,-0.195121992116215,7.35287386532945e-11,7.0633721094282e-11,7.0633721094282e-11,7.0633721094282e-11,5.92973698816891e-13,5.92973698816891e-13,5.11395058674078e-12,2.35367281220533e-14
"743","grassland1","wetland1",0,0.0862336667875575,-0.318290101266693,0,0,0,0,0,0,0,0
"744","grassland1","shrubland1",0.000102209529599495,0.0196280897293644,-0.157636480786601,0.319302570468822,0.292625883243354,0.292625883243354,0.284040282756997,0.00121871210102604,0.00121871210102604,0.0105104720100491,0.000102209529599495
"745","grassland1","woodland1",0.00125768271077442,0.0135690991937502,-0.128186082408273,1,1,0.999956867492758,0.999956867492758,0.0122739541191726,0.0122739541191726,0.105853590124837,0.00125768271077442
