Kingdom;Phylum;Class;Order;Family;Genus;Species;GenerationLength_d;FrT;Hib;Daily;Mars;Mono;residuals
Animalia;Chordata;Mammalia;Primates;Callitrichidae;Callithrix;Callithrix_penicillata;2110.588375;0.169272266901689;0;0;0;0;-0.0290907866224439
NA;NA;NA;NA;NA;Capra;Capra_aegagrus;2097.005;0.169367889406165;0;0;0;0;-0.0290671271149648
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Cercopithecus;Cercopithecus_diana;3285;0.163154753425678;0;0;0;0;-0.0289864163439935
NA;NA;NA;NA;NA;Madoqua;Madoqua_saltiana;2031.281016657;0.169819850420168;0;0;0;0;-0.028963363424231
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Martes;Martes_flavigula;2642.060566657;0.166663808221581;0;0;0;0;-0.0288835730758588
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Neophoca;Neophoca_cinerea;4599;0.156375584479699;0;0;0;0;-0.0288041800387589
NA;NA;NA;NA;NA;Pseudoryx;Pseudoryx_nghetinhensis;2287.54078725479;0.168872243934126;0;0;0;0;-0.0285533381654366
Animalia;Chordata;Mammalia;Soricomorpha;Talpidae;Condylura;Condylura_cristata;558.6411;0.178035371329853;0;0;0;0;-0.0285497019125397
Animalia;Chordata;Mammalia;Rodentia;Muridae;Microtus;Microtus_ochrogaster;615.4024;0.177844161002637;0;0;0;0;-0.0284401980754588
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca_largha;6935;0.144543286070171;0;0;0;0;-0.0282606468905717
Animalia;Chordata;Mammalia;Primates;Callitrichidae;Callithrix;Callithrix_geoffroyi;2110.588375;0.17014975162786;0;0;0;0;-0.0282133018962734
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Tragelaphus;Tragelaphus_imberbis;2555;0.167797465712335;0;0;0;0;-0.0282111514191224
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus_colocolo;2592.96;0.168041892731844;0;0;0;0;-0.027765617136801
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Mandrillus;Mandrillus_leucophaeus;3650;0.162731339324452;0;0;0;0;-0.0274761067643268
NA;NA;NA;NA;NA;Rattus;Rattus_tunneyi;534.7590666715;0.179567923289544;0;0;0;0;-0.027143673934753
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis_nigripes;1685.3793;0.173652485018535;0;0;0;0;-0.0269632722252093
Animalia;Chordata;Mammalia;Perissodactyla;Rhinocerotidae;Rhinoceros;Rhinoceros_unicornis;6851.98936657;0.146481507027548;0;0;0;0;-0.0267622057349195
NA;NA;NA;NA;NA;Papio;Papio_papio;3650;0.163474592467337;0;0;0;0;-0.0267328536214418
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Eudorcas;Eudorcas_rufifrons;1825;0.173273105846198;0;0;0;0;-0.0266029586470454
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Mandrillus;Mandrillus_sphinx;3650;0.163793156456335;0;0;0;0;-0.0264142896324443
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Redunca;Redunca_arundinum;2293.051666657;0.171717209687175;0;0;0;0;-0.025679176472654
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_sylvanus;2920;0.168429968214722;0;0;0;0;-0.0256449252358428
Animalia;Chordata;Mammalia;Primates;Galagonidae;Otolemur;Otolemur_crassicaudatus;2763.926;0.169600917504312;0;0;0;0;-0.0253008361922019
Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma_concolor;2693.790066657;0.170004535937605;0;0;0;0;-0.0252687890333945
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Epomophorus;Epomophorus_gambianus;2349.856740625;0.171855679957924;0;0;0;0;-0.0252397601286814
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;Gazella_subgutturosa;2496.146666657;0.171553202031929;0;0;0;0;-0.0247672125909938
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus_guigna;2190;0.173398500730408;0;0;0;0;-0.024543840081942
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_tonkeana;4745;0.159862748584093;0;0;0;0;-0.0245435264620071
NA;NA;NA;NA;NA;Urotrichus;Urotrichus_talpoides;680.5528;0.18140753463881;0;0;0;0;-0.0245316658877798
NA;NA;NA;NA;NA;Lophostoma;Lophostoma_silvicolum;2064.27635;0.174149849306987;0;0;0;0;-0.0244585594485231
