"Species" "Domain" "Kingdom" "Phylum" "Clade" "Subphylum" "Clade2" "Class" "Clade3" "Superorder" "Clade4" "Order" "Suborder" "Superfamily" "Family" "Subfamily" "Genus" "Subgenus"
"Dasypus_pilosus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Dasypodidae" NA "Dasypus" NA
"Dasypus_sabanicola" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Dasypodidae" NA "Dasypus" NA
"Dasypus_septemcinctus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Dasypodidae" NA "Dasypus" NA
"Dasypus_yepesi" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Dasypodidae" NA "Dasypus" NA
"Euphractus_sexcinctus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Chlamyphoridae" NA "Euphractus" NA
"Priodontes_maximus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Chlamyphoridae" NA "Priodontes" NA
"Tolypeutes_matacus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Chlamyphoridae" NA "Tolypeutes" NA
"Tolypeutes_tricinctus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Chlamyphoridae" NA "Tolypeutes" NA
"Zaedyus_pichiy" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Chlamyphoridae" NA "Zaedyus" NA
"Condylura_cristata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Condylura" NA
"Mogera_robusta" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Mogera" NA
