Kingdom	Phylum	Class	Subclass	Infraclass	Superorder	Order (or infraorder for Cetacea)	Family	Species	AdultBodyMass_g	Sources_AdultBodyMass	GenerationLength_d	Sources_GL	FrT	residuals	Hib	Hib+unconfirmedHib	Daily	Daily+unconfirmedDaily	Mars	Mono	Temperature(C)_White2003,2006	Temperature(C)_White2003,2006+other	Temperature(C)_White2003,2006+other+close species	BMR(mL O2 h−1)_White2003,2006+other	BodyMassBMR(g)_White2003,2006+other	BMR(mL O2 h−1 g-1)_White2003,2006+other	Sourses_BodyT&BMR
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Hominidae	Pongo_pygmaeus	53408,29	PanTHERIA	7300	GMA	0,12552583	-0,045344379	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Iniidae	Pontoporia_blainvillei	40499,99	PanTHERIA	4380	GMA	0,179658036	-0,006681963	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Suidae	Potamochoerus_porcus	70000,31	PanTHERIA	3134,383667	Rspan-AFR(SM+Gest)	0,155584063	-0,037355053	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Metatheria	Australidelphia	Diprotodontia	Potoroidae	Potorous_tridactylus	1054,67	PanTHERIA	1685,9516	Rspan-AFB	0,170711757	-0,029900969	0	0	0	0	1	0	35,85	35,85	35,90	416,43	976,00	0,43	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cercopithecidae	Presbytis_melalophos	6439,12	PanTHERIA	3650	GMA	0,252033775	0,061826329	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Xenarthra	Cingulata	Chlamyphoridae	Priodontes_maximus	40641,89	PanTHERIA	1979,1637	Rspan-AFR(SM+Gest)	0,098358995	-0,10070033	0	0	0	0	0	0	33,60	33,60	33,60	3027,73	45190,00	0,07	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Felidae	Prionailurus_bengalensis	2780,97	PanTHERIA	2350,842867	Rspan-AFR(SM+Gest)	0,194055357	-0,003034859	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Felidae	Prionailurus_planiceps	3533,76	PanTHERIA	2190	GMA	0,178888422	-0,019053919	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Felidae	Prionailurus_rubiginosus	1418,75	PanTHERIA	2153,865	Rspan-ASMmales	0,18628467	-0,011849109	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Felidae	Prionailurus_viverrinus	8826,46	PanTHERIA	2190	GMA	0,187278156	-0,010664185	0	0	0	0	0	0							
