Species Class
Lopholatilus_chamaeleonticeps Actinopterygii
Dicentrarchus_labrax Actinopterygii
Morone_americana Actinopterygii
Morone_chrysops Actinopterygii
Morone_mississippiensis Actinopterygii
Morone_saxatilis Actinopterygii
Mullus_surmuletus Actinopterygii
Upeneus_moluccensis Actinopterygii
Nemipterus_japonicus Actinopterygii
Dissostichus_mawsoni Actinopterygii
Lepidonotothen_squamifrons Actinopterygii
Notothenia_rossii Actinopterygii
Pleuragramma_antarcticum Actinopterygii
Trematomus_bernacchii Actinopterygii
Betta_splendens Actinopterygii
Maccullochella_peelii Actinopterygii
Macquaria_ambigua Actinopterygii
Macquaria_novemaculeata Actinopterygii
Ammocrypta_clara Actinopterygii
Crystallaria_asprella Actinopterygii
Etheostoma_acuticeps Actinopterygii
Etheostoma_asprigene Actinopterygii
Etheostoma_barbouri Actinopterygii
Etheostoma_blennioides Actinopterygii
Etheostoma_blennius Actinopterygii
Etheostoma_caeruleum Actinopterygii
Etheostoma_collettei Actinopterygii
Etheostoma_coosae Actinopterygii
Etheostoma_cragini Actinopterygii
Etheostoma_ditrema Actinopterygii
Etheostoma_exile Actinopterygii
Etheostoma_flabellare Actinopterygii
Etheostoma_fusiforme Actinopterygii
Etheostoma_gracile Actinopterygii
Etheostoma_juliae Actinopterygii
Etheostoma_kennicotti Actinopterygii
Etheostoma_longimanum Actinopterygii
Etheostoma_microperca Actinopterygii
Etheostoma_moorei Actinopterygii
Etheostoma_nianguae Actinopterygii
Etheostoma_nigrum Actinopterygii
Etheostoma_olivaceum Actinopterygii
Etheostoma_olmstedi Actinopterygii
Etheostoma_pallididorsum Actinopterygii
Etheostoma_proeliare Actinopterygii
Etheostoma_punctulatum Actinopterygii
Etheostoma_radiosum Actinopterygii
Etheostoma_rubrum Actinopterygii
Etheostoma_rufilineatum Actinopterygii
Etheostoma_smithi Actinopterygii
Etheostoma_squamiceps Actinopterygii
Etheostoma_striatulum Actinopterygii
Etheostoma_variatum Actinopterygii
Etheostoma_zonale Actinopterygii
Perca_flavescens Actinopterygii
Perca_fluviatilis Actinopterygii
Percina_aurantiaca Actinopterygii
Percina_burtoni Actinopterygii
Percina_caprodes Actinopterygii
Percina_evides Actinopterygii
Percina_macrocephala Actinopterygii
Percina_maculata Actinopterygii
Percina_pantherina Actinopterygii
Percina_phoxocephala Actinopterygii
Percina_rex Actinopterygii
Percina_roanoka Actinopterygii
Percina_sciera Actinopterygii
Percina_shumardi Actinopterygii
Percina_tanasi Actinopterygii
Percina_vigil Actinopterygii
Sander_canadensis Actinopterygii
Sander_lucioperca Actinopterygii
Sander_vitreus Actinopterygii
Pholis_gunnellus Actinopterygii
Acanthoclinus_fuscus Actinopterygii
Polydactylus_macrochir Actinopterygii
Polyprion_oxygeneios Actinopterygii
Stereolepis_gigas Actinopterygii
Centropyge_bicolor Actinopterygii
Centropyge_flavissima Actinopterygii
Pomacanthus_navarchus Actinopterygii
Pygoplites_diacanthus Actinopterygii
Amphiprion_clarkii Actinopterygii
Amphiprion_ephippium Actinopterygii
Amphiprion_melanopus Actinopterygii
Pomatomus_saltatrix Actinopterygii
Cookeolus_japonicus Actinopterygii
Rachycentron_canadum Actinopterygii
Chlorurus_gibbus Actinopterygii
Scarus_frenatus Actinopterygii
Scarus_ghobban Actinopterygii
Scarus_psittacus Actinopterygii
Scarus_rubroviolaceus Actinopterygii
Aplodinotus_grunniens Actinopterygii
Argyrosomus_japonicus Actinopterygii
Atractoscion_nobilis Actinopterygii
Cheilotrema_saturnum Actinopterygii
Cynoscion_nebulosus Actinopterygii
Genyonemus_lineatus Actinopterygii
Leiostomus_xanthurus Actinopterygii
Menticirrhus_undulatus Actinopterygii
Micropogonias_furnieri Actinopterygii
Micropogonias_undulatus Actinopterygii
Pogonias_cromis Actinopterygii
Sciaenops_ocellatus Actinopterygii
Totoaba_macdonaldi Actinopterygii
Auxis_thazard Actinopterygii
Euthynnus_affinis Actinopterygii
Katsuwonus_pelamis Actinopterygii
Rastrelliger_brachysoma Actinopterygii
Sarda_sarda Actinopterygii
Scomber_japonicus Actinopterygii
Scomber_scombrus Actinopterygii
Scomberomorus_commerson Actinopterygii
Scomberomorus_maculatus Actinopterygii
Scomberomorus_tritor Actinopterygii
Thunnus_alalunga Actinopterygii
Thunnus_albacares Actinopterygii
Thunnus_maccoyii Actinopterygii
Thunnus_obesus Actinopterygii
Thunnus_thynnus Actinopterygii
Centropristis_striata Actinopterygii
Cephalopholis_miniata Actinopterygii
Epinephelus_areolatus Actinopterygii
Epinephelus_chlorostigma Actinopterygii
Epinephelus_coioides Actinopterygii
Epinephelus_drummondhayi Actinopterygii
Epinephelus_flavolimbatus Actinopterygii
Epinephelus_marginatus Actinopterygii
Epinephelus_niveatus Actinopterygii
Epinephelus_striatus Actinopterygii
Mycteroperca_interstitialis Actinopterygii
Mycteroperca_phenax Actinopterygii
Paralabrax_clathratus Actinopterygii
Paralabrax_nebulifer Actinopterygii
Plectropomus_leopardus Actinopterygii
Serranus_scriba Actinopterygii
Sillaginodes_punctatus Actinopterygii
Sillago_ciliata Actinopterygii
Sillago_schomburgkii Actinopterygii
Sillago_sihama Actinopterygii
Acanthopagrus_australis Actinopterygii
Acanthopagrus_butcheri Actinopterygii
Archosargus_probatocephalus Actinopterygii
Calamus_nodosus Actinopterygii
Chrysophrys_auratus Actinopterygii
Diplodus_annularis Actinopterygii
Diplodus_sargus Actinopterygii
Lithognathus_aureti Actinopterygii
Pagellus_bogaraveo Actinopterygii
Sparus_aurata Actinopterygii
Spondyliosoma_cantharus Actinopterygii
Stenotomus_chrysops Actinopterygii
Sphyraena_argentea Actinopterygii
Sphyraena_barracuda Actinopterygii
Trichiurus_lepturus Actinopterygii
Bellapiscis_lesleyae Actinopterygii
Forsterygion_lapillum Actinopterygii
Forsterygion_varium Actinopterygii
Kathetostoma_giganteum Actinopterygii
Lycodes_pacificus Actinopterygii
Zoarces_americanus Actinopterygii
Zoarces_viviparus Actinopterygii
Forbesichthys_agassizii Actinopterygii
Typhlichthys_subterraneus Actinopterygii
Aphredoderus_sayanus Actinopterygii
Percopsis_omiscomaycus Actinopterygii
Percopsis_transmontana Actinopterygii
Trinectes_maculatus Actinopterygii
Arnoglossus_imperialis Actinopterygii
Arnoglossus_thori Actinopterygii
Etropus_crossotus Actinopterygii
Paralichthys_californicus Actinopterygii
Paralichthys_lethostigma Actinopterygii
Pseudorhombus_pentophthalmus Actinopterygii
Eopsetta_jordani Actinopterygii
Glyptocephalus_cynoglossus Actinopterygii
Glyptocephalus_zachirus Actinopterygii
Hippoglossoides_platessoides Actinopterygii
Hippoglossus_hippoglossus Actinopterygii
Hippoglossus_stenolepis Actinopterygii
Isopsetta_isolepis Actinopterygii
Lepidopsetta_bilineata Actinopterygii
Limanda_aspera Actinopterygii
Limanda_ferruginea Actinopterygii
Microstomus_kitt Actinopterygii
Microstomus_pacificus Actinopterygii
Platichthys_bicoloratus Actinopterygii
Platichthys_flesus Actinopterygii
Platichthys_stellatus Actinopterygii
Pleuronectes_platessa Actinopterygii
Pseudopleuronectes_americanus Actinopterygii
Reinhardtius_hippoglossoides Actinopterygii
Reinhardtius_stomias Actinopterygii
Rhombosolea_plebeia Actinopterygii
Psetta_maxima Actinopterygii
Scophthalmus_rhombus Actinopterygii
Buglossidium_luteum Actinopterygii
Microchirus_variegatus Actinopterygii
Pegusa_impar Actinopterygii
Pegusa_lascaris Actinopterygii
Solea_solea Actinopterygii
Solea_vulgaris Actinopterygii
Polypterus_senegalus Actinopterygii
Coregonus_albula Actinopterygii
Coregonus_artedi Actinopterygii
Coregonus_clupeaformis Actinopterygii
Coregonus_hoyi Actinopterygii
Coregonus_kiyi Actinopterygii
Coregonus_muksun Actinopterygii
Coregonus_nasus Actinopterygii
Coregonus_nigripinnis Actinopterygii
Coregonus_pidschian Actinopterygii
Coregonus_pollan Actinopterygii
Coregonus_reighardi Actinopterygii
Coregonus_sardinella Actinopterygii
Coregonus_zenithicus Actinopterygii
Hucho_hucho Actinopterygii
Hucho_taimen Actinopterygii
Oncorhynchus_clarkii Actinopterygii
Oncorhynchus_gorbuscha Actinopterygii
Oncorhynchus_keta Actinopterygii
Oncorhynchus_kisutch Actinopterygii
Oncorhynchus_mykiss Actinopterygii
Oncorhynchus_nerka Actinopterygii
Oncorhynchus_tshawytscha Actinopterygii
Prosopium_coulterii Actinopterygii
Prosopium_cylindraceum Actinopterygii
Prosopium_gemmifer Actinopterygii
Prosopium_spilonotus Actinopterygii
Prosopium_williamsoni Actinopterygii
Salmo_salar Actinopterygii
Salmo_trutta Actinopterygii
Salvelinus_alpinus Actinopterygii
Salvelinus_fontinalis Actinopterygii
Salvelinus_namaycush Actinopterygii
Stenodus_leucichthys Actinopterygii
Thymallus_arcticus Actinopterygii
Agonus_cataphractus Actinopterygii
Anoplopoma_fimbria Actinopterygii
Cottus_aleuticus Actinopterygii
Cottus_asper Actinopterygii
Cottus_bairdii Actinopterygii
Cottus_carolinae Actinopterygii
Cottus_cognatus Actinopterygii
Cottus_confusus Actinopterygii
Cottus_gobio Actinopterygii
Cottus_paulus Actinopterygii
Cottus_poecilopus Actinopterygii
Leptocottus_armatus Actinopterygii
Myoxocephalus_octodecemspinosus Actinopterygii
Myoxocephalus_quadricornis Actinopterygii
Hexagrammos_decagrammus Actinopterygii
Ophiodon_elongatus Actinopterygii
Neoplatycephalus_richardsoni Actinopterygii
Platycephalus_conatus Actinopterygii
Gymnapistes_marmoratus Actinopterygii
Helicolenus_percoides Actinopterygii
Pterois_volitans Actinopterygii
Sebastes_aleutianus Actinopterygii
Sebastes_alutus Actinopterygii
Sebastes_atrovirens Actinopterygii
Sebastes_auriculatus Actinopterygii
Sebastes_babcocki Actinopterygii
Sebastes_borealis Actinopterygii
Sebastes_brevispinis Actinopterygii
Sebastes_carnatus Actinopterygii
Sebastes_caurinus Actinopterygii
Sebastes_chlorostictus Actinopterygii
Sebastes_chrysomelas Actinopterygii
Sebastes_ciliatus Actinopterygii
Sebastes_constellatus Actinopterygii
Sebastes_crameri Actinopterygii
Sebastes_dallii Actinopterygii
Sebastes_diploproa Actinopterygii
Sebastes_elongatus Actinopterygii
Sebastes_entomelas Actinopterygii
Sebastes_flavidus Actinopterygii
Sebastes_goodei Actinopterygii
Sebastes_helvomaculatus Actinopterygii
Sebastes_hopkinsi Actinopterygii
Sebastes_jordani Actinopterygii
Sebastes_levis Actinopterygii
Sebastes_maliger Actinopterygii
Sebastes_melanops Actinopterygii
Sebastes_mentella Actinopterygii
Sebastes_miniatus Actinopterygii
Sebastes_mystinus Actinopterygii
