"Species" "Temperature" "Longevity" "LongevityDummy" "AC_TGSkew" "Ectothermy"
"Plectropomus_areolatus" NA 895 0 0.325432098765432 1
"Pollachius_pollachius" 13 1096 0 0.262425447316103 1
"Pollachius_virens" 6.5 1735 1 0.256944444444444 1
"Polyodon_spathula" 20 2739 1 0.614432989690722 1
"Pomatomus_saltatrix" 24 785 0 0.371124031007752 1
"Prionace_glauca" 12 2192 1 0.376035339591386 1
"Procypris_rabaudi" NA 1461 1 0.582089552238806 1
"Promethichthys_prometheus" 18 1461 1 0.386352479135984 1
"Prosopium_cylindraceum" NA 1461 1 0.356411506582155 1
"Pseudaspius_leptocephalus" NA 1826 1 0.412 1
"Pseudocarcharias_kamoharai" NA 1498 1 0.433538979248458 1
"Pseudorasbora_parva" NA 365 0 0.377049180327869 1
"Pterapogon_kauderni" 28 334 0 0.430097087378641 1
"Rastrelliger_kanagurta" 28 205 0 0.424824355971897 1
"Reinhardtius_hippoglossoides" 2 3397 1 0.350287907869482 1
"Rhabdosargus_sarba" NA 749 0 0.327699530516432 1
"Rhinogobius_cliffordpopei" 18.7 121 0 0.455560725919032 1
"Rhinogobius_giurinus" NA 142 0 0.429397590361446 1
"Rhodeus_sericeus" NA 730 0 0.441250630358043 1
"Rhynchocypris_percnurus" NA 730 0 0.400205761316872 1
"Romanogobio_tenuicorpus" NA 1096 0 0.423155737704918 1
"Rudarius_ercodes" 19.7 365 0 0.244817374136229 1
"Salmo_salar" 10.5 1753 1 0.43620178041543 1
"Salmo_trutta" 9.15 730 0 0.466209598432909 1
"Salvelinus_alpinus" NA 3086 1 0.365422396856582 1
"Sander_lucioperca" 14 1461 1 0.342857142857143 1
"Sander_vitreus" NA 1826 1 0.305232558139535 1
"Sarcocheilichthys_sinensis" NA 1096 0 0.467692307692308 1
"Sardina_pilchardus" 19 730 0 0.190654205607477 1
"Sardinella_maderensis" 26.6 1096 0 0.363984674329502 1
"Saurida_undosquamis" 27 530 0 0.447355883754169 1
"Saurogobio_dabryi" NA 1096 0 0.388295165394402 1
"Scarus_ghobban" 27 730 0 0.439770554493308 1
"Scarus_rubroviolaceus" 27 1461 1 0.403559403559404 1
"Scomber_colias" NA 384 0 0.434740882917466 1
"Scomber_japonicus" 14 730 0 0.438579654510557 1
"Scomber_scombrus" 10.95 657 0 0.432134292565947 1
"Scophthalmus_maximus" 12.5 1461 1 0.296511627906977 1
"Scyliorhinus_canicula" 11.5 1826 1 0.38436303991252 1
"Sebastes_minor" NA 1461 1 0.378365149290259 1
"Seriola_dumerili" 26 1461 1 0.401054144705319 1
"Siganus_canaliculatus" 28.25 548 0 0.473940574768631 1
"Sphyrna_lewini" 22 3251 1 0.459105779716467 1
"Sphyrna_tiburo" 26 840 0 0.423618634886241 1
"Spicara_maena" 19 730 0 0.344529750479846 1
"Spinachia_spinachia" 8.2 365 0 0.141242937853107 1
"Sprattus_sprattus" 9 730 0 0.274302213666987 1
"Squaliobarbus_curriculus" 22.4 730 0 0.543094496365524 1
"Squalus_acanthias" 9 3652 1 0.404117009750812 1
"Thunnus_alalunga" 14 1918 1 0.426470588235294 1
"Thunnus_atlanticus" 25.5 1096 0 0.42815105443845 1
"Thunnus_orientalis" NA 1461 1 0.422418012726383 1
"Thunnus_thynnus" 15.5 1096 0 0.43740795287187 1
"Tinca_tinca" NA 730 0 0.49468085106383 1
"Trachidermus_fasciatus" NA 365 0 0.362523540489642 1
