allparameters.Kingdom allparameters.Phylum allparameters.Class allparameters.Order allparameters.Family allparameters.Genus allparameters.Species allparameters.GenerationLength_d allparameters.FrT allparameters.Hib allparameters.Mono allparameters.Mars
Animalia Chordata Mammalia Primates Cercopithecidae Colobus Colobus_guereza 4509.575 0.194608253597862 0 0 0
Animalia Chordata Mammalia Soricomorpha Talpidae Condylura Condylura_cristata 558.6411 0.178035371329853 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Connochaetes Connochaetes_gnou 2860.14 0.129310595103046 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Connochaetes Connochaetes_taurinus 2942.265 0.130895896260564 0 0 0
NA NA NA NA NA Cricetulus Cricetulus_kamensis 589.388299099621 0.195194240609484 0 0 0
NA NA NA NA NA Cricetulus Cricetulus_longicaudatus 589.388299099621 0.285287748252351 0 0 0
NA NA NA NA NA Crocidura Crocidura_attenuata 427.67965 0.287845510185853 0 0 0
NA NA NA NA NA Crocidura Crocidura_beatus 427.67965 0.303425463509821 0 0 0
NA NA NA NA NA Crocidura Crocidura_grayi 427.67965 0.287053465222432 0 0 0
NA NA NA NA NA Crocidura Crocidura_lasiura 427.67965 0.290443530289479 0 0 0
NA NA NA NA NA Crocidura Crocidura_mindorus 427.67965 0.288582014104611 0 0 0
NA NA NA NA NA Crocidura Crocidura_negrina 427.67965 0.305695264145656 0 0 0
NA NA NA NA NA Crocidura Crocidura_orientalis 427.67965 0.288566836754968 0 0 0
NA NA NA NA NA Crocidura Crocidura_palawanensis 409.171225 0.286129714493606 0 0 0
NA NA NA NA NA Crocidura Crocidura_shantungensis 409.171225 0.302319396037678 0 0 0
Animalia Chordata Mammalia Carnivora Hyaenidae Crocuta Crocuta_crocuta 5054.41125 0.136359217242917 0 0 0
NA NA NA NA NA Ctenomys Ctenomys_leucodon 600.93415 0.25088815348086 0 0 0
Animalia Chordata Mammalia Carnivora Canidae Cuon Cuon_alpinus 2041.808633343 0.258316391769575 0 0 0
NA NA NA NA NA Cynomys Cynomys_leucurus 1567.7682 0.290782377592019 1 0 0
Animalia Chordata Mammalia Rodentia Sciuridae Cynomys Cynomys_ludovicianus 1567.7682 0.294949786478273 1 0 0
Animalia Chordata Mammalia Chiroptera Pteropodidae Cynopterus Cynopterus_brachyotis 1287.664 0.149408192535859 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Cystophora Cystophora_cristata 3650 0.146245958839914 0 0 0
NA NA NA NA NA Dactylomys Dactylomys_dactylinus 739.009588885667 0.259058566607381 0 0 0
Animalia Chordata Mammalia Diprotodontia Petauridae Dactylopsila Dactylopsila_trivirgata 1905.2339 0.194158496811414 0 0 1
Animalia Chordata Mammalia Artiodactyla Cervidae Dama Dama_dama 3286.095 0.215595122134623 0 0 0
NA NA NA NA NA Dama Dama_mesopotamica 2605.92075 0.217302049416379 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Damaliscus Damaliscus_lunatus 2190 0.12170638579635 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Damaliscus Damaliscus_pygargus 3053.358833343 0.131132819683812 0 0 0
NA NA NA NA NA Dasypus Dasypus_hybridus 1460 0.150169603118858 0 0 0
NA NA NA NA NA Dasypus Dasypus_kappleri 1642.5 0.108958043205645 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Dasypus Dasypus_novemcinctus 1825 0.136145333529868 0 0 0
NA NA NA NA NA Dasypus Dasypus_pilosus 1642.5 0.138441264614288 0 0 0
NA NA NA NA NA Dasypus Dasypus_sabanicola 1642.5 0.136885614547873 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Dasypus Dasypus_septemcinctus 1642.5 0.149401327619592 0 0 0
NA NA NA NA NA Dasypus Dasypus_yepesi 1642.5 0.135611604107263 0 0 0
Animalia Chordata Mammalia Primates Daubentoniidae Daubentonia Daubentonia_madagascariensis 2920 0.156728058080074 0 0 0
NA NA NA NA NA Delphinus Delphinus_capensis 3545.59095 0.23229717033487 0 0 0
NA NA NA NA NA Dendrohyrax Dendrohyrax_dorsalis 1675.3724 0.126525479501446 0 0 0
Animalia Chordata Mammalia Chiroptera Phyllostomidae Desmodus Desmodus_rotundus 2779.7975 0.1040245140238 0 0 0
Animalia Chordata Mammalia Perissodactyla Rhinocerotidae Dicerorhinus Dicerorhinus_sumatrensis 7300 0.131144027091298 0 0 0
Animalia Chordata Mammalia Perissodactyla Rhinocerotidae Diceros Diceros_bicornis 6205 0.166293783095116 0 0 0
Animalia Chordata Mammalia Didelphimorphia Didelphidae Didelphis Didelphis_virginiana 745.99 0.278012912124786 0 0 1
NA NA NA NA NA Dipus Dipus_sagitta 726.1971375 0.239635507350817 0 0 0
Animalia Chordata Mammalia Diprotodontia Acrobatidae Distoechurus Distoechurus_pennatus 997.9661 0.230093275072652 0 0 1
NA NA NA NA NA Dorcatragus Dorcatragus_megalotis 1825 0.216814139690564 0 0 0
NA NA NA NA NA Dremomys Dremomys_rufigenis 1384.1212625 0.216095237424983 0 0 0
Animalia Chordata Mammalia Microbiotheria Microbiotheriidae Dromiciops Dromiciops_gliroides 998.676563583815 0.245857366057744 1 0 1
Animalia Chordata Mammalia Sirenia Dugongidae Dugong Dugong_dugon 10246.2396 0.190342159267771 0 0 0
Animalia Chordata Mammalia Afrosoricida Tenrecidae Echinops Echinops_telfairi 1967.0915 0.307626089488576 1 0 0
Animalia Chordata Mammalia Erinaceomorpha Erinaceidae Echinosorex Echinosorex_gymnura 1202.9252375 0.274025995345405 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Elaphodus Elaphodus_cephalophus 2555 0.199285821986223 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Elaphurus Elaphurus_davidianus 3530.65 0.201584535340588 0 0 0
Animalia Chordata Mammalia Proboscidea Elephantidae Elephas Elephas_maximus 8030 0.250218017728269 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Enhydra Enhydra_lutris 5475 0.163396194577427 0 0 0
NA NA NA NA NA Eospalax Eospalax_rothschildi 1032.92357373767 0.267993421878535 0 0 0
NA NA NA NA NA Eothenomys Eothenomys_chinensis 589.388299099621 0.163957666410965 0 0 0
NA NA NA NA NA Eothenomys Eothenomys_melanogaster 589.388299099621 0.168316606650772 0 0 0
NA NA NA NA NA Eothenomys Eothenomys_miletus 589.388299099621 0.151896034071955 0 0 0
NA NA NA NA NA Eozapus Eozapus_setchuanus 726.1971375 0.256364409408396 0 0 0
NA NA NA NA NA Episoriculus Episoriculus_caudatus 426.91011944525 0.238600204696797 0 0 0
NA NA NA NA NA Episoriculus Episoriculus_fumidus 426.91011944525 0.237930335248971 0 0 0
NA NA NA NA NA Episoriculus Episoriculus_macrurus 426.91011944525 0.248767129536427 0 0 0
Animalia Chordata Mammalia Chiroptera Pteropodidae Epomophorus Epomophorus_gambianus 2349.856740625 0.171855679957924 0 0 0
Animalia Chordata Mammalia Chiroptera Vespertilionidae Eptesicus Eptesicus_serotinus 2400.9362 0.223114836521724 0 0 0
Animalia Chordata Mammalia Perissodactyla Equidae Equus Equus_grevyi 2190 0.159043350186875 0 0 0
Animalia Chordata Mammalia Perissodactyla Equidae Equus Equus_hemionus 1825 0.152520646196811 0 0 0
Animalia Chordata Mammalia Perissodactyla Equidae Equus Equus_kiang 3704.385 0.153376650567329 0 0 0
Animalia Chordata Mammalia Perissodactyla Equidae Equus Equus_zebra 4024.699366657 0.157214730184807 0 0 0
NA NA NA NA NA Eremitalpa Eremitalpa_granti 1036.5575833285 0.253054350945855 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Erignathus Erignathus_barbatus 6935 0.15983882333633 0 0 0
Animalia Chordata Mammalia Erinaceomorpha Erinaceidae Erinaceus Erinaceus_europaeus 1608.5234 0.320080855365585 1 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Erythrocebus Erythrocebus_patas 3529.3359 0.213834133620379 0 0 0
Animalia Chordata Mammalia Cetacea Eschrichtiidae Eschrichtius Eschrichtius_robustus 10444.3345 0.163629524608013 0 0 0
Animalia Chordata Mammalia Cetacea Balaenidae Eubalaena Eubalaena_australis 9855 0.163931740692057 0 0 0
NA NA NA NA NA Eubalaena Eubalaena_japonica 9704.4375 0.166511197718761 0 0 0
NA NA NA NA NA Euchoreutes Euchoreutes_naso 726.1971375 0.24094222457798 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Eudorcas Eudorcas_rufifrons 1825 0.173273105846198 0 0 0
Animalia Chordata Mammalia Primates Lemuridae Eulemur Eulemur_mongoz 4154.1015 0.223699361658221 0 0 0
NA NA NA NA NA Eulemur Eulemur_rufus 3206.29594444444 0.227739346663222 0 0 0
Animalia Chordata Mammalia Carnivora Otariidae Eumetopias Eumetopias_jubatus 3650 0.145688072544344 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Felis Felis_chaus 1903.782066657 0.191888916937047 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Felis Felis_margarita 1730.465 0.190144323619299 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Felis Felis_nigripes 1685.3793 0.173652485018535 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Felis Felis_silvestris 2905.4 0.172913200978689 0 0 0
NA NA NA NA NA Feresa Feresa_attenuata 7142.099015 0.209508299610978 0 0 0
Animalia Chordata Mammalia Primates Galagonidae Galago Galago_moholi 1930.5215 0.194637482455619 1 0 0
Animalia Chordata Mammalia Primates Galagonidae Galago Galago_senegalensis 2167.5525 0.195785360339232 0 0 0
Animalia Chordata Mammalia Soricomorpha Talpidae Galemys Galemys_pyrenaicus 730 0.193907568914145 0 0 0
NA NA NA NA NA Galeopterus Galeopterus_variegatus 2840.44163887554 0.143712733069256 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Gazella Gazella_cuvieri 2022.515 0.174396641037437 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Gazella Gazella_gazella 2190 0.182641846739507 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Gazella Gazella_leptoceros 1729.8227 0.170048868813612 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Gazella Gazella_spekei 2190 0.182344281226011 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Gazella Gazella_subgutturosa 2496.146666657 0.171553202031929 0 0 0
Animalia Chordata Mammalia Carnivora Viverridae Genetta Genetta_servalina 2211.9 0.209792305351163 0 0 0
Animalia Chordata Mammalia Artiodactyla Giraffidae Giraffa Giraffa_camelopardalis 5251.01166657 0.160542665369837 0 0 0
