"Species" "A_T" "A_G" "A_C" "T_A" "T_G" "T_C" "G_A" "G_T" "G_C" "C_A" "C_T" "C_G" "Class"
"Cottus_bairdii" 0 0.0459422370241332 0 0.0113344334763487 0.00566721673817433 0.0963279645054878 0.655425935806249 0.0468161382718749 0.0936322765437498 0.00829881449135355 0.0282561686512757 0.00829881449135355 "Actinopterygii"
"Centromochlus_existimatus" 0.00238155110000621 0.0404863687001056 0.0166708577000435 0.0114314452800298 0.0057157226400149 0.0971672848802533 0.556069714388242 0.111213942877648 0.0222427885755297 0.0289800686971783 0.0993602355331827 0.00828001962776522 "Actinopterygii"
"Poecilia_gillii" 0.0104388805878466 0.0541799501807341 0.0106846143980397 0.0162402793814409 0.00928015964653763 0.0973694257070117 0.669530191957523 0.0171674408194237 0.051502322458271 0.00942321997972914 0.0541835148834426 0 "Actinopterygii"
"Coryphaena_hippurus" 0.012279219099152 0.0941406797601653 0.00409307303305067 0.0177142832905799 0.00442857082264498 0.0974285580981896 0.586353520507776 0 0.0338280877216025 0.0128343435143005 0.119787206133471 0.0171124580190673 "Actinopterygii"
"Salmo_trutta" 0 0.0816401449640177 0.00782769497313612 0.012017887406881 0 0.0976172392378985 0.696964712903817 0 0.0287393391462866 0.0107252847676934 0.0608165733876949 0.00365112321257515 "Actinopterygii"
"Anguilla_rostrata" 0.00715568092306188 0.0630637676517743 0 0.022894705322282 0 0.0977097001328268 0.809176145970055 0 0 0 0 0 "Actinopterygii"
"Rhinogobius_nagoyae" 0 0.0925056571077377 0.0513920317265209 0 0 0.097989056335833 0.567236114885236 0 0 0.0908938761641296 0.0727151009313036 0.0272681628492389 "Actinopterygii"
"Tribolodon_brandtii" 0.0184199545416611 0.101309749979136 0.00920997727083057 0.049119878777763 0 0.0982397575555261 0.626783110705291 0 0.0272514395958822 0.0232220438579697 0.0348330657869545 0.0116110219289848 "Actinopterygii"
"Siganus_argenteus" 0.011743466574561 0.0352303997236831 0 0.0245733331406013 0 0.0982933325624052 0.66937759474998 0 0.11156293245833 0 0.0492189407904397 0 "Actinopterygii"
"Lepidonotothen_larseni" 0 0.0522171046978838 0.0522171046978838 0 0.0658602120529904 0.0987903180794856 0.242842309086602 0.0809474363622006 0.0809474363622006 0.0407722598325942 0.285405818828159 0 "Actinopterygii"
"Campostoma_ornatum" 0.00719952827313614 0.18718773510154 0.0143990565462723 0.0070677187277315 0.014135437455463 0.098948062188241 0.498989019570676 0 0.0767675414724116 0.0114367080797435 0.0724324845050422 0.0114367080797435 "Actinopterygii"
"Poecilia_mexicana" 0.0179618817980821 0.0675912165889878 0.00526008336614089 0.0106906816032747 0.00325260594463125 0.0992002226105295 0.669739276745907 0 0.0315662405872953 0.0212355218282212 0.0735022689269306 0 "Actinopterygii"
"Carassius_cuvieri" 0.00530234528121904 0.0266090672767321 0.0133916824657718 0.0405591061079704 0.00310956222905224 0.0992660799814867 0.691856369490973 0.00370277740704945 0.0136431549600175 0.0267431235465642 0.0719953736527316 0.00382135760043207 "Actinopterygii"
"Colomesus_asellus" 0 0.0480110047801652 0.0119758706946522 0 0 0.0994098321421203 0.680751157243956 0.0534289475709041 0.0465163669820055 0.00441745714705463 0.0517177661162769 0.00377159732286531 "Actinopterygii"
"Huso_dauricus" 0 0.0173985733460195 0 0.0664477428853299 0 0.0996716143279949 0.73483386249659 0 0 0 0.0714421810760573 0.0102060258680082 "Actinopterygii"
"Exocoetus_volitans" 0.0112411949119651 0.0737703416097707 0.00491802277398471 0.0132122004028655 0 0.0996920575852581 0.680472656990538 0.00441865361682167 0.0220932680841084 0.00789089035216022 0.0800361735719108 0.00225454010061721 "Actinopterygii"
"Gobiobotia_brevibarba" 0.00639569337422618 0.102331093987619 0.0191870801226786 0 0.0199410290253332 0.0997051451266658 0.528978042839812 0.0587753380933125 0.039183558728875 0.0289622350849563 0.0772326268932169 0.0193081567233042 "Actinopterygii"
"Clupea_pallasii" 0.0117648536088528 0.284709457334238 0.016470795052394 0.004165926225157 0.004165926225157 0.099982229403768 0.383025893548318 0.0145452870967716 0.0824232935483722 0.030383488602145 0.0455752329032176 0.0227876164516088 "Actinopterygii"
"Telestes_souffia" 0.00876361716787141 0.144599683269878 0.0175272343357428 0.0273335782034752 0.0273335782034752 0.100223120079409 0.520899704528437 0.0130224926132109 0.0781349556792655 0.0310810179596173 0.0248648143676939 0.00621620359192347 "Actinopterygii"
"Fundulus_notatus" 0.0105609951248809 0.0929367570989517 0.0211219902497617 0.0137127830023191 0.00228546383371985 0.100560408683674 0.572583517578242 0.0100453248697937 0.0602719492187624 0.0241501688208114 0.0869406077549211 0.00483003376416228 "Actinopterygii"
