"Species" "TemperatureC" "SAG_STC" "LongevityDAYS" "DummyCOLDER"
"Martes_melampus" NA 0.499157776530039 1772.805 0
"Martes_pennanti" 38.5 0.502805836139169 1738.868111 0
"Martes_zibellina" NA 0.475815523059617 2087.381433 0
"Mazama_americana" NA 0.464805119255381 2017.365 0
"Mazama_nemorivaga" NA 0.433607520564042 2181.36375 0
"Megaptera_novaeangliae" NA 0.614647887323944 8030 0
"Meles_anakuma" NA 0.52954808806489 3136.8 1
"Meles_meles" 37 0.524868344060854 2161.2481 1
"Melogale_moschata" NA 0.483258928571429 1627.173333 0
"Melursus_ursinus" NA 0.43013698630137 3650 0
"Mephitis_mephitis" 36.45 0.477085781433607 1735.559295 1
"Meriones_libycus" NA 0.477363896848138 649.48035 0
"Meriones_meridianus" NA 0.429065743944637 608.1480167 0
"Meriones_unguiculatus" 38.2 0.380265435660704 503.8875 0
"Mesocricetus_auratus" 38.1 0.337182448036951 787.9135 1
"Mesoplodon_europaeus" NA 0.46719908727895 6460.5 0
"Mesoplodon_ginkgodens" NA 0.481609195402299 6460.5 0
"Mesoplodon_grayi" NA 0.435280641466208 6460.5 0
"Metachirus_nudicaudatus" 35 0.402257872846108 843.3734222 1
"Microcebus_murinus" NA 0.419392523364486 2053.5145 1
"Micromys_minutus" 38 0.482718894009217 502.66 0
"Micronycteris_megalotis" NA 0.657526580861779 2064.27635 0
"Microtus_kikuchii" NA 0.584269662921348 373.6238021 0
"Microtus_levis" NA 0.516508114157806 373.6238021 0
"Microtus_ochrogaster" 37.9 0.568385650224215 615.4024 0
"Mirounga_leonina" NA 0.585564610011641 3467.5 0
"Mogera_robusta" NA 0.545997610513739 759.1857214 0
"Mogera_wogura" NA 0.579693034238489 759.1857214 0
"Monachus_schauinslandi" NA 0.564809384164223 5475 0
"Monodelphis_domestica" 32.6 0.426190476190476 717.0425 1
"Monodon_monoceros" NA 0.554798409994322 8760 0
"Moschus_berezovskii" NA 0.552678045909359 2555 0
"Moschus_chrysogaster" NA 0.550205519671169 2555 0
"Moschus_moschiferus" NA 0.539812646370023 2190 0
"Mungotictis_decemlineata" NA 0.53470294280955 2146.94685 0
"Muntiacus_crinifrons" NA 0.518710420264825 2190 0
"Muntiacus_muntjak" NA 0.514908256880734 2416.4143 0
"Muntiacus_reevesi" NA 0.498559077809798 2931.795 0
"Muntiacus_vuquangensis" NA 0.510650546919977 2555 0
"Murina_leucogaster" NA 0.444888635065677 1825 0
"Murina_ussuriensis" NA 0.43739079790332 1825 0
"Mus_caroli" NA 0.430588235294118 628.295 0
"Mus_cervicolor" NA 0.513641755634638 628.295 0
"Mus_cookii" NA 0.532467532467533 628.295 0
"Mus_famulus" NA 0.532314923619271 628.295 0
"Mus_fragilicauda" NA 0.541984732824427 628.295 0
"Mus_musculus" 36.9 0.541617819460727 628.295 1
"Mus_spretus" NA 0.556333917104495 628.295 0
"Mus_terricolor" NA 0.554899645808737 435.665 0
"Mustela_altaica" NA 0.465448315248429 1846.9 0
"Mustela_erminea" 39.6 0.571346042749856 1078.777858 0
"Mustela_frenata" 39 0.519675925925926 986.1104833 0
"Mustela_kathiah" NA 0.504383401519579 1253.04 0
"Mustela_nigripes" NA 0.502876869965478 1497.506633 0
"Mustela_nivalis" NA 0.480251860331998 1194.19395 0
"Mustela_putorius" NA 0.497695852534562 1652.464383 0
"Mustela_sibirica" NA 0.476603119584055 1484.792222 0
"Myodes_glareolus" NA 0.587229190421893 577.7512 0
"Myodes_regulus" NA 0.58813462635482 433.3599222 0
"Myodes_rufocanus" NA 0.574857142857143 433.3599222 0
"Myospalax_aspalax" NA 0.488773747841105 1032.923574 0
"Myospalax_psilurus" NA 0.54392088423502 1032.923574 0
"Myotis_bombinus" NA 0.391771019677996 2106.628504 1
"Myotis_brandtii" NA 0.444380403458213 2106.628504 1
"Myotis_davidii" NA 0.361578641903656 2106.628504 1
"Myotis_formosus" NA 0.454328358208955 2106.628504 1
"Myotis_ikonnikovi" NA 0.39917695473251 2106.628504 1
"Myotis_lucifugus" 37 0.391812865497076 4117.2 1
"Myotis_macrodactylus" NA 0.373892498523331 2106.628504 1
"Myotis_muricola" NA 0.381261048909841 2106.628504 0
"Myotis_myotis" 35 0.334511189634865 2847 1
"Myrmecobius_fasciatus" 32.5 0.441700172314762 886.2761 1
"Myrmecophaga_tridactyla" 32.5 0.610823258491652 4124.5275 1
"Mystacina_tuberculata" NA 0.410958904109589 1888.065371 0
"Naemorhedus_goral" NA 0.606818181818182 2555 0
"Naemorhedus_griseus" NA 0.595008508224617 2555 0
"Nandinia_binotata" 37.4 0.646506165590135 2850.514083 0
"Nanger_dama" 39.2 0.577929465301479 2171.91595 0
"Nanger_soemmerringii" NA 0.5625 2555 0
"Nasalis_larvatus" NA 0.488027366020525 4015 0
"Nasua_nasua" 36.4 0.478460654796094 2778.4359 1
"Nectogale_elegans" NA 0.371461582900058 379.2929563 0
"Neodon_irene" NA 0.564534231200898 589.3882991 0
"Neofelis_nebulosa" NA 0.443767313019391 2550.887933 0
"Neomys_fodiens" 37.3 0.387521465369204 576.8888 0
"Neophoca_cinerea" NA 0.525539160045403 4599 0
"Neophocaena_asiaeorientalis" NA 0.479283314669653 6095.5 0
"Neophocaena_phocaenoides" NA 0.460724233983287 5840 0
"Neotetracus_sinensis" NA 0.316151202749141 1202.925238 0
"Neotragus_batesi" NA 0.555555555555556 1741.05 0
"Neovison_vison" 39 0.525522041763341 1473.65 0
"Niviventer_confucianus" NA 0.537757437070938 624.3996409 0
"Niviventer_excelsior" NA 0.523156089193825 639.6318318 0
"Niviventer_fulvescens" NA 0.529342723004695 624.3996409 0
"Nomascus_leucogenys" NA 0.648387096774194 5475 0
"Nomascus_siki" NA 0.650963597430407 5475 0
"Notoryctes_typhlops" NA 0.454851374088615 998.6765636 1
"Nyctalus_noctula" NA 0.348519362186788 1529.35 1
"Nyctereutes_procyonoides" 38 0.483183856502242 2091.936667 0
"Nycticebus_bengalensis" NA 0.449048152295633 2555 0
"Nycticebus_coucang" 35.4 0.453527435610302 2555 1
"Ochotona_collaris" NA 0.605479452054795 894.25 0
"Ochotona_curzoniae" NA 0.583558680367766 751.47417 0
"Ochotona_princeps" 40.1 0.635060639470783 1045.7507 0
"Odocoileus_hemionus" 39 0.480791618160652 2717.425 0
"Okapia_johnstoni" 38.07 0.643586833144154 4764.235717 0
"Onychomys_leucogaster" NA 0.588785046728972 671.9993 0
"Orcaella_heinsohni" NA 0.487091222030981 5475 0
"Oreamnos_americanus" NA 0.587521663778163 2864.106333 0
"Oreotragus_oreotragus" NA 0.526436781609195 2700.0653 0
"Ornithorhynchus_anatinus" 34 0.347006651884701 2878.755 1
"Orycteropus_afer" 34.5 0.448115942028986 3624.815 1
"Oryctolagus_cuniculus" 39 0.443592552026287 1515.3536 0
"Oryx_beisa" NA 0.574614065180103 2555 0
"Oryx_dammah" NA 0.570621468926554 3247.0961 0
"Oryx_gazella" 38.9 0.564233163554047 2866.554367 0
"Oryx_leucoryx" 38.5 0.591039632395175 2663.526667 0
"Otocolobus_manul" NA 0.518582046883934 2036.1475 0
"Otolemur_crassicaudatus" 36.6 0.552319309600863 2763.926 1
"Ourebia_ourebi" NA 0.592910234419668 2156.849633 0
"Ovis_ammon" NA 0.607184241019699 2920 0
"Ovis_canadensis" 38 0.626081938834391 2634.501667 0
"Ovis_orientalis" NA 0.590514748409485 2920 0
"Ozotoceros_bezoarticus" 37.5 0.43952802359882 2846.6847 0
"Paguma_larvata" NA 0.42790426152948 3014.413333 0
"Pan_paniscus" NA 0.620445894507885 9125 0
"Pan_troglodytes" 35.7 0.600433134813211 7300 1
"Panthera_leo" 37.9 0.49386845039019 2190 0
"Panthera_onca" 37 0.482300884955752 3581.681317 0
"Panthera_pardus" NA 0.48993288590604 3400.645433 0
"Panthera_tigris" 37.5 0.48914858096828 2920 0
"Panthera_uncia" NA 0.474804031354983 2920 0
"Pantholops_hodgsonii" NA 0.597023468803664 2190 0
"Papio_anubis" 37.3 0.551442569406641 3833.595 0
"Papio_cynocephalus" NA 0.542981501632209 6188.575 0
"Papio_hamadryas" 38 0.545157780195865 5332.504 0
"Papio_papio" NA 0.537710255018991 3650 0
"Papio_ursinus" 37 0.545700378583018 5714.3305 0
"Pardofelis_marmorata" NA 0.502799552071669 1821.16 0
"Pecari_tajacu" 37.5 0.656036446469248 3102.921667 0
"Peponocephala_electra" NA 0.532838378069674 8245.925 0
"Perameles_gunnii" 35.2 0.484098939929329 706.1569 1
