"Species" "A_T" "A_G" "A_C" "T_A" "T_G" "T_C" "G_A" "G_T" "G_C" "C_A" "C_T" "C_G" "Temperature" "Tm" "AGdivTC"
"Micropterus_salmoides" 0.0256928734557782 0.0822176309274211 0.0256928734557782 0.0278840716936455 0.0464734528227425 0.137219985911897 0.386252070891338 0.0429759661670104 0.0859519323340207 0.0421965623099115 0.0718277927497463 0.0256147872807109 11.25 NA 1.66898491678786
"Anarhichas_lupus" 0.0285137263901618 0.0901177498412072 0 0 0 0.151507989112268 0.627228160957615 0 0.080776588167801 0 0.0218557855309469 0 4 NA 1.68122250476997
"Micromesistius_poutassou" 0.00663310777096789 0.106129724335486 0.059697969938711 0.0501045787191764 0.0286311878395294 0.178944923997059 0.371118181616178 0.0463897727020223 0.0231948863510111 0.0581200500284367 0.0710356167014226 0 14 2 1.68609619140626
"Scombrops_boops" 0.00403967755897916 0.0888729062975416 0.00807935511795833 0.0136060909690044 0 0.156470046143551 0.628869691885703 0.0196521778714282 0.0196521778714282 0.0151894690711017 0.0394926195848644 0.00607578762844068 12 NA 1.76060458313018
"Lota_lota" 0.00846536757065356 0.0320420482500218 0.00965944233594977 0.00675814957908712 0 0.0568950178979818 0.675962511180767 0 0.119761813445149 0.0218996532936772 0.055136924312959 0.0134190721337538 3.1 5 1.77563610959056
"Oryzias_latipes" 0.0258811010263922 0.0830188661028188 0.0234441538063497 0.0401718377500955 0.0115396385395226 0.149279772009895 0.40240765652024 0.0393715598051321 0.0698265073700748 0.0324823748578288 0.106618697665088 0.0159578345465617 26.5 NA 1.79814274775823
"Solea_solea" 0.00477569397696065 0.0668597156774491 0.00477569397696065 0.0242738657144292 0.00910269964291096 0.12440356178645 0.559624304511746 0.0771895592429995 0.0771895592429995 0.0296030549869109 0.0185019093668193 0.00370038187336386 16.4 2.5 1.86066543247969
"Danio_rerio" 0.00660628987142505 0.0555554861080244 0.00264411844135268 0.0146496847076744 0.0036624211769186 0.104363661369785 0.612754308989218 0.0149867173313172 0.0374667933282931 0.0305473691286247 0.105307886124132 0.0114552634232343 25 0.2 1.87854825294582
"Squalidus_chankaensis" 0.00772349412660355 0.0772349412660355 0.0154469882532071 0.0485241390994079 0 0.145572417298224 0.515881633466644 0 0.0468983303151494 0.0118931713478941 0.130824884826835 0 NA 2 1.8848
"Esox_lucius" 0.0177784823622598 0.0325388283191474 0.0248898753071637 0.0606072304062347 0.0202024101354116 0.0646383451598691 0.529674362345396 0.0278202918225178 0.128137284716218 0.0349295515363008 0.0550484547280034 0.00373488316147857 9 3 1.98649885379655
