Species-ID,Order,Species name,IUCN name,Tree name,HWI,Sample size,Body mass (log),Range Size,Island,Migration-1,Migration-2,Migration-3,Territoriality,Diet,Habitat,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange,Synonym,Notes
10075,Galliformes,Megapodius freycinet,Megapodius freycinet,Megapodius_freycinet,"24,66283654",4,"2,807859613",23,"0,956521739",Not a Migrant,1,resident,strong,invertebrates,2,"-4,9","26,20044138","8,17211069","3207,513218","195,3688023",,
10076,Galliformes,Megapodius forstenii, NA,NA,"25,53585767",4,"2,838219222",NA,NA,NA,1,NA,strong,NA,2,"-12,36","25,9371125","8,275999167","2136,307917","182,463",NA,
10077,Galliformes,Megapodius geelvinkianus,Megapodius geelvinkianus,Megapodius_geelvinkianus,"18,55604554",2,"2,807859613",4,1,Not a Migrant,1,resident,strong,invertebrates,1,NA,NA,NA,NA,NA,,
10078,Galliformes,Megapodius eremita,Megapodius eremita,Megapodius_eremita,"27,96968446",4,"2,830376923",39,1,Not a Migrant,1,resident,strong,omnivore,1,"-5,78","26,04803649","8,405595","3224,636081","207,4958662",,
10079,Galliformes,Megapodius layardi,Megapodius layardi,Megapodius_layardi,"25,27901602",4,"2,885683428",12,1,Not a Migrant,1,resident,strong,invertebrates,1,"-15,76","24,4547","9,494126429","2844,130714","228,50915",,
10080,Galliformes,Megapodius decollatus,Megapodius decollatus,Megapodius_affinis,"14,52866744",4,"2,823695884",31,"0,129032258",Not a Migrant,1,resident,strong,invertebrates,1,"-4,59","24,40734776","10,7673306","2810,636716","203,0550493",,
10081,Galliformes,Megapodius reinwardt,Megapodius reinwardt,Megapodius_reinwardt,"22,84065888",4,"2,9424099",186,"0,413978495",Not a Migrant,1,resident,strong,plants,2,"-12,36","25,40213311","15,13512861","1942,725159","261,7374733",,
10082,Galliformes,Ortalis vetula,Ortalis vetula,Ortalis_vetula,"11,43402018",4,"2,750199728",87,"0,057471264",Not a Migrant,1,resident,strong,fruit,1,"18,85","23,57631842","18,42749123","1448,401561","236,0142039",,
10083,Galliformes,Ortalis cinereiceps,Ortalis cinereiceps,Ortalis_cinereiceps,"13,33004674",4,"2,692846919",36,"0,027777778",Not a Migrant,1,resident,strong,fruit,1,"10,09","25,08228727","11,53117582","2866,217273","366,5572705",,
10084,Galliformes,Ortalis garrula,Ortalis garrula,Ortalis_garrula,"11,94353575",7,"2,725911632",16,0,Not a Migrant,1,resident,strong,fruit,1,"8,98","25,96333182","11,79769409","1977,36","267,4664977",,
10085,Galliformes,Ortalis ruficauda,Ortalis ruficauda,Ortalis_ruficauda,"9,873723288",4,"2,768075448",60,"0,016666667",Not a Migrant,1,resident,strong,fruit,1,"9,52","25,97023889","12,17785033","1300,776956","199,4151758",,
10086,Galliformes,Ortalis erythroptera,Ortalis erythroptera,Ortalis_erythroptera,"12,25219658",4,"2,800717078",12,0,Not a Migrant,1,resident,strong,omnivore,1,"-1,46","22,439375","11,537265","1380,59635","207,5018399",,
10087,Galliformes,Ortalis wagleri,Ortalis wagleri,Ortalis_wagleri,"17,85197681",4,"2,921160843",19,0,Not a Migrant,1,resident,strong,fruit,1,"24,84","20,71272857","25,567025","865,8728214","220,3897398",,
10088,Galliformes,Ortalis poliocephala,Ortalis poliocephala,Ortalis_poliocephala,"9,835392347",4,"2,880813592",31,0,Not a Migrant,1,resident,strong,omnivore,1,"18,07","22,667475","19,98075","1159,215227","261,6803489",,
10089,Galliformes,Ortalis canicollis,Ortalis canicollis,Ortalis_canicollis,"13,14876499",9,"2,731588765",122,0,Not a Migrant,1,resident,strong,omnivore,1,"-23,3","22,64276352","22,98890755","949,5152264","133,4170101",,
10090,Galliformes,Ortalis leucogastra,Ortalis leucogastra,Ortalis_leucogastra,"17,19149178",4,"2,695324041",14,0,Not a Migrant,1,resident,strong,fruit,1,"13,89","24,68513333","15,87877619","1719,853333","344,1275022",,
10091,Galliformes,Ortalis guttata,Ortalis guttata,Ortalis_guttata,"15,00279256",4,"2,738558599",399,0,Not a Migrant,1,resident,strong,fruit,1,"-7,81","24,10084944","13,62120797","2071,512883","200,5733985",,
10092,Galliformes,Ortalis araucuan,Ortalis araucuan,NA,"11,64757957",4,NA,NA,NA,Not a Migrant,1,resident,strong,NA,1,NA,NA,NA,NA,NA,,
10093,Galliformes,Ortalis squamata,Ortalis squamata,NA,"10,01645347",5,NA,NA,NA,Not a Migrant,1,resident,strong,NA,1,NA,NA,NA,NA,NA,,
10094,Galliformes,Ortalis columbiana,Ortalis columbiana,NA,"11,93080782",4,NA,NA,NA,Not a Migrant,1,resident,strong,NA,1,NA,NA,NA,NA,NA,,
10095,Galliformes,Ortalis motmot,Ortalis motmot,Ortalis_motmot,"14,84231273",4,"2,716003344",209,0,Not a Migrant,1,resident,strong,fruit,1,"1,26","26,00688889","12,02194799","2264,559283","294,7598384",,
10096,Galliformes,Ortalis ruficeps, NA,NA,"16,01638912",4,NA,NA,NA,NA,1,resident,strong,NA,1,NA,NA,NA,NA,NA,,
10097,Galliformes,Ortalis superciliaris,Ortalis superciliaris,Ortalis_superciliaris,"12,28942928",5,"2,762378429",41,0,Not a Migrant,1,resident,strong,fruit,1,"-3,51","26,63142394","12,61143606","1917,437746","336,5179614",,
10098,Galliformes,Penelope argyrotis,Penelope argyrotis,Penelope_argyrotis,"12,65632801",4,"2,906717441",29,0,Not a Migrant,1,resident,weak,fruit,1,"8,74","23,12042353","12,75408824","1613,237059","224,6548844",,
10099,Galliformes,Penelope barbata,Penelope barbata,Penelope_barbata,"12,23723181",4,"3,071756854",7,0,Not a Migrant,1,resident,weak,fruit,1,"-4,87","19,02587333","13,89616667","1102,657667","121,6288491",,
10100,Galliformes,Penelope ortoni,Penelope ortoni,Penelope_ortoni,"12,19379252",4,"3,071756854",19,0,Not a Migrant,1,resident,weak,fruit,1,"2,29","22,43285556","10,12451593","3436,851222","285,5602604",,
10101,Galliformes,Penelope montagnii,Penelope montagnii,Penelope_montagnii,"10,20607674",4,"2,848804701",89,0,Not a Migrant,1,resident,weak,fruit,1,"-3,13","19,551653","14,49899391","1813,286391","205,3678114",,
10102,Galliformes,Penelope marail,Penelope marail,Penelope_marail,"10,66501014",4,"2,944319781",121,0,Not a Migrant,1,resident,weak,fruit,1,"2,6","26,16188795","11,2878638","2224,72753","298,5215042",,
10103,Galliformes,Penelope superciliaris,Penelope superciliaris,Penelope_superciliaris,"13,36030331",4,"2,951818183",502,0,Not a Migrant,1,resident,weak,fruit,1,"-13,53","23,96893517","16,40011535","1497,440121","226,0366819",,
10104,Galliformes,Penelope dabbenei,Penelope dabbenei,Penelope_dabbenei,"12,26300796",4,"3,089905111",10,0,Not a Migrant,1,resident,weak,fruit,1,"-20,34","19,34104167","21,96305833","770,1591667","142,9875",,
10105,Galliformes,Penelope purpurascens,Penelope purpurascens,Penelope_purpurascens,"12,02755229",6,"3,31386722",190,"0,026315789",Not a Migrant,1,resident,weak,fruit,1,"12,46","24,08309386","14,37393155","1900,830448","273,6907412",,
10106,Galliformes,Penelope perspicax,Penelope perspicax,Penelope_perspicax,"12,21590909",1,"3,071756854",5,0,Not a Migrant,1,resident,weak,fruit,1,"3,41","19,85029","10,99566","2823,58","206,39552",,
10107,Galliformes,Penelope albipennis,Penelope albipennis,Penelope_albipennis,"16,44685018",4,"3,243038049",5,0,Not a Migrant,1,resident,weak,fruit,1,"-4,92","21,4922125","15,0825625","509,3474625","118,1287709",,
10108,Galliformes,Penelope jacquacu,Penelope jacquacu,Penelope_jacquacu,"9,835742428",4,"3,172573744",458,0,Not a Migrant,1,resident,weak,fruit,1,"-4,37","25,20192781","13,60605207","2277,018351","248,1493436",,
10109,Galliformes,Penelope obscura,Penelope obscura,Penelope_obscura,"4,863629775",5,"3,247973266",125,0,Not a Migrant,1,resident,weak,fruit,1,"-26,55","19,22408947","21,18107895","1355,45455","115,305908",,
10110,Galliformes,Penelope pileata,Penelope pileata,Penelope_pileata,"9,643403016",4,"3,096837045",52,0,Not a Migrant,1,resident,weak,fruit,1,"-4,28","26,28055515","12,81332676","1967,86","291,8962871",,
10111,Galliformes,Penelope ochrogaster,Penelope ochrogaster,Penelope_ochrogaster,"10,03791669",4,"3,071756854",74,0,Not a Migrant,1,resident,weak,fruit,1,"-14,55","24,71269905","17,39934095","1531,089267","269,4286217",,
10112,Galliformes,Penelope jacucaca,Penelope jacucaca,Penelope_jacucaca,"16,26389397",5,"3,107888025",72,0,Not a Migrant,1,resident,weak,fruit,1,"-9,52","24,30514891","15,13130543","772,190663","141,9140156",,
10113,Galliformes,Pipile pipile,Pipile pipile,Pipile_pipile,"18,67389071",4,"3,259256919",622,"0,001607717",Not a Migrant,1,resident,strong,fruit,1,"10,65","25,9825","10,41129","1981,5575","199,157125",,
10114,Galliformes,Pipile cumanensis,Pipile cumanensis,Pipile_cumanensis,"19,30183402",4,"3,093148414",387,0,Not a Migrant,1,resident,strong,fruit,1,"-3,75","24,94674646","13,41433685","2228,465079","234,4888833",,
10115,Galliformes,Pipile cujubi,Pipile cujubi,Pipile_cujubi,"15,57129087",4,"3,077665813",176,0,Not a Migrant,1,resident,strong,fruit,1,"-8,61","25,60889195","15,65806762","1991,999536","304,7686449",,
10116,Galliformes,Pipile jacutinga,Pipile jacutinga,Pipile_jacutinga,"19,57223822",4,"3,093757783",97,0,Not a Migrant,1,resident,strong,fruit,1,"-23,88","20,48082126","18,54757244","1483,741724","128,9906614",,
10117,Galliformes,Aburria aburri,Aburria aburri,Aburria_aburri,"14,97944068",4,"3,147701052",66,0,Not a Migrant,1,resident,weak,fruit,1,"-1,28","19,51496153","13,88689444","1791,585889","176,7755135",,
10118,Galliformes,Chamaepetes unicolor,Chamaepetes unicolor,Chamaepetes_unicolor,"14,96027047",4,"3,054995862",10,0,Not a Migrant,1,resident,none,fruit,1,"9,69","24,17223333","12,33421667","2910,029167","384,3514208",,
10119,Galliformes,Chamaepetes goudotii,Chamaepetes goudotii,Chamaepetes_goudotii,"9,270292631",4,"2,86193447",66,0,Not a Migrant,1,resident,none,fruit,1,"-0,81","20,28925375","12,55070838","2173,258113","192,2389504",,
