"","species_name","ability_to_dive","GhAhSkew","fAn","fGn"
"Hirundo_smithii","Hirundo_smithii","Non-diving","0.473964396378088","0.115562122089421","0.328798144859073"
"Hirundo_tahitica","Hirundo_tahitica","Non-diving","0.480885489680034","0.116515500045043","0.336959701606366"
"Hylia_prasina","Hylia_prasina","Non-diving","0.573670977126124","0.0983916183956231","0.360246647672425"
"Hyliota_flavigaster","Hyliota_flavigaster","Non-diving","0.35855936749536","0.165729517976377","0.347958936171341"
"Hylocharis_cyanus","Hylocharis_cyanus","Non-diving","0.490301161274145","0.127812200047667","0.372278016756513"
"Hypocryptadius_cinnamomeus","Hypocryptadius_cinnamomeus","Non-diving","0.582041645813116","0.0949033698863454","0.354274272687761"
"Ifrita_kowaldi","Ifrita_kowaldi","Non-diving","0.351430077058703","0.158788613902246","0.320857982628765"
"Indicator_maculatus","Indicator_maculatus","Non-diving","0.441633226960662","0.173534081328861","0.449212110071292"
"Indicator_xanthonotus","Indicator_xanthonotus","Non-diving","0.267725714391739","0.215343251864186","0.369844669015655"
"Irena_cyanogastra","Irena_cyanogastra","Non-diving","0.567499990857978","0.102793202535829","0.36469950150463"
"Ixobrychus_cinnamomeus","Ixobrychus_cinnamomeus","Non-diving","0.411040960015618","0.155496127612735","0.365731362300023"
"Ixobrychus_eurhythmus","Ixobrychus_eurhythmus","Non-diving","0.361758712323321","0.16695785546946","0.349861134859974"
"Ixobrychus_flavicollis","Ixobrychus_flavicollis","Non-diving","0.372647597411211","0.16038075126232","0.347833873143213"
"Ixobrychus_sinensis","Ixobrychus_sinensis","Non-diving","0.4088897657441","0.156109244355895","0.363535348278598"
"Jynx_ruficollis","Jynx_ruficollis","Non-diving","0.30818408996504","0.213440072405719","0.400457539872143"
"Jynx_torquilla","Jynx_torquilla","Non-diving","0.285311933047396","0.213944423193656","0.386445290798538"
"Lanius_cristatus","Lanius_cristatus","Non-diving","0.284207383698621","0.160377071523336","0.288391828427274"
"Lanius_ludovicianus","Lanius_ludovicianus","Non-diving","0.317393245951494","0.15606544385065","0.295763420045537"
"Lanius_schach","Lanius_schach","Non-diving","0.256103870279628","0.168656778399711","0.288355520136053"
"Lanius_tephronotus","Lanius_tephronotus","Non-diving","0.271508172096973","0.164799133809308","0.292213164726457"
"Lanius_tigrinus","Lanius_tigrinus","Non-diving","0.323212331196793","0.156143377621409","0.306919270827475"
"Larus_crassirostris","Larus_crassirostris","Non-diving","0.435704893248192","0.142231870022893","0.358578327525572"
"Larus_dominicanus","Larus_dominicanus","Non-diving","0.450868606631868","0.137172460088488","0.3631500072988"
"Leiothrix_argentauris","Leiothrix_argentauris","Non-diving","0.433120988374567","0.140528008830798","0.35732344718561"
"Leiothrix_lutea","Leiothrix_lutea","Non-diving","0.44269879882436","0.13819114140196","0.36260529687172"
"Lepidocolaptes_angustirostris","Lepidocolaptes_angustirostris","Non-diving","0.342335640771946","0.171371324079905","0.347560409557998"
"Lepidothrix_coronata","Lepidothrix_coronata","Non-diving","0.227919201445361","0.227816689857186","0.360804332629434"
"Leptotila_verreauxi","Leptotila_verreauxi","Non-diving","0.461998507190815","0.145669553903804","0.384776560487344"
"Leucopsar_rothschildi","Leucopsar_rothschildi","Non-diving","0.621534509223442","0.0911641958216577","0.387632578200518"
"Leucosticte_arctoa","Leucosticte_arctoa","Non-diving","0.506297477938774","0.120492561308149","0.369790350833085"
"Leucosticte_brandti","Leucosticte_brandti","Non-diving","0.504929684330155","0.121125494122833","0.369999971427554"
"Locustella_pryeri","Locustella_pryeri","Non-diving","0.528472735144199","0.117808003394233","0.375712696765426"
"Lonchura_caniceps","Lonchura_caniceps","Non-diving","0.635449961489446","0.0815349624975913","0.363565626749149"
"Lonchura_castaneothorax","Lonchura_castaneothorax","Non-diving","0.634903094791876","0.0813112252521189","0.366801055759763"
"Lonchura_flaviprymna","Lonchura_flaviprymna","Non-diving","0.636676144437266","0.0809548007207769","0.367999231132856"
"Lonchura_forbesi","Lonchura_forbesi","Non-diving","0.631018696829191","0.0821734698737567","0.364525326826201"
"Lonchura_grandis","Lonchura_grandis","Non-diving","0.626454951756026","0.0833127260484367","0.362738038614756"
"Lonchura_hunsteini","Lonchura_hunsteini","Non-diving","0.631436407773218","0.0821283088747954","0.364937420941723"
"Lonchura_leucosticta","Lonchura_leucosticta","Non-diving","0.697410911585835","0.0688427996670922","0.383139568965959"
"Lonchura_melaena","Lonchura_melaena","Non-diving","0.630374989613081","0.0816082007086916","0.365603515391833"
"Lonchura_nevermanni","Lonchura_nevermanni","Non-diving","0.638449194082656","0.0804861427438681","0.367626138268014"
"Lonchura_nigerrima","Lonchura_nigerrima","Non-diving","0.632783225104269","0.0817435137027005","0.365097920542288"
"Lonchura_punctulata","Lonchura_punctulata","Non-diving","0.533746774655987","0.1085536863402","0.344884679478067"
"Lonchura_spectabilis","Lonchura_spectabilis","Non-diving","0.631018696829191","0.0821734698737567","0.364525326826201"
"Lonchura_striata","Lonchura_striata","Non-diving","0.590433512040747","0.095642945592077","0.365001008010099"
"Lonchura_stygia","Lonchura_stygia","Non-diving","0.625389379920714","0.0835128799671366","0.361349833640818"
"Lophornis_magnificus","Lophornis_magnificus","Non-diving","0.511358686620733","0.126199307669044","0.388765843301647"
