"","species_name","ability_to_fly","GhAhSkew","fAn","fGn"
"Larus_crassirostris","Larus_crassirostris","Flying","0.435704893248192","0.142231870022893","0.358578327525572"
"Larus_dominicanus","Larus_dominicanus","Flying","0.450868606631868","0.137172460088488","0.3631500072988"
"Leiothrix_argentauris","Leiothrix_argentauris","Flying","0.433120988374567","0.140528008830798","0.35732344718561"
"Leiothrix_lutea","Leiothrix_lutea","Flying","0.44269879882436","0.13819114140196","0.36260529687172"
"Lepidocolaptes_angustirostris","Lepidocolaptes_angustirostris","Flying","0.342335640771946","0.171371324079905","0.347560409557998"
"Lepidothrix_coronata","Lepidothrix_coronata","Flying","0.227919201445361","0.227816689857186","0.360804332629434"
"Leptotila_verreauxi","Leptotila_verreauxi","Flying","0.461998507190815","0.145669553903804","0.384776560487344"
"Leucopsar_rothschildi","Leucopsar_rothschildi","Flying","0.621534509223442","0.0911641958216577","0.387632578200518"
"Leucosticte_arctoa","Leucosticte_arctoa","Flying","0.506297477938774","0.120492561308149","0.369790350833085"
"Leucosticte_brandti","Leucosticte_brandti","Flying","0.504929684330155","0.121125494122833","0.369999971427554"
"Limosa_haemastica","Limosa_haemastica","Flying","0.272458693743787","0.185492500920746","0.32197372730308"
"Limosa_lapponica","Limosa_lapponica","Flying","0.256130104748821","0.188971693805632","0.3238125060455"
"Locustella_pryeri","Locustella_pryeri","Flying","0.528472735144199","0.117808003394233","0.375712696765426"
"Lonchura_caniceps","Lonchura_caniceps","Flying","0.635449961489446","0.0815349624975913","0.363565626749149"
"Lonchura_castaneothorax","Lonchura_castaneothorax","Flying","0.634903094791876","0.0813112252521189","0.366801055759763"
"Lonchura_flaviprymna","Lonchura_flaviprymna","Flying","0.636676144437266","0.0809548007207769","0.367999231132856"
"Lonchura_forbesi","Lonchura_forbesi","Flying","0.631018696829191","0.0821734698737567","0.364525326826201"
"Lonchura_grandis","Lonchura_grandis","Flying","0.626454951756026","0.0833127260484367","0.362738038614756"
"Lonchura_hunsteini","Lonchura_hunsteini","Flying","0.631436407773218","0.0821283088747954","0.364937420941723"
"Lonchura_leucosticta","Lonchura_leucosticta","Flying","0.697410911585835","0.0688427996670922","0.383139568965959"
"Lonchura_melaena","Lonchura_melaena","Flying","0.630374989613081","0.0816082007086916","0.365603515391833"
"Lonchura_nevermanni","Lonchura_nevermanni","Flying","0.638449194082656","0.0804861427438681","0.367626138268014"
"Lonchura_nigerrima","Lonchura_nigerrima","Flying","0.632783225104269","0.0817435137027005","0.365097920542288"
"Lonchura_punctulata","Lonchura_punctulata","Flying","0.533746774655987","0.1085536863402","0.344884679478067"
"Lonchura_spectabilis","Lonchura_spectabilis","Flying","0.631018696829191","0.0821734698737567","0.364525326826201"
"Lonchura_striata","Lonchura_striata","Flying","0.590433512040747","0.095642945592077","0.365001008010099"
"Lonchura_stygia","Lonchura_stygia","Flying","0.625389379920714","0.0835128799671366","0.361349833640818"
"Lophornis_magnificus","Lophornis_magnificus","Flying","0.511358686620733","0.126199307669044","0.388765843301647"
"Loxia_curvirostra","Loxia_curvirostra","Flying","0.438071629754146","0.142002419515911","0.356522914047779"
"Loxia_leucoptera","Loxia_leucoptera","Flying","0.484506929705546","0.129419262763354","0.367960731090195"
"Loxops_caeruleirostris","Loxops_caeruleirostris","Flying","0.408937655903607","0.146898519125021","0.351948482628068"
"Loxops_coccineus","Loxops_coccineus","Flying","0.462322860227725","0.133974299815055","0.363118384797248"
"Machaerirhynchus_nigripectus","Machaerirhynchus_nigripectus","Flying","0.384171072992503","0.133737451555714","0.302022674363575"
"Macroagelaius_imthurni","Macroagelaius_imthurni","Flying","0.479481452776798","0.132740350348935","0.365426972744093"
"Malurus_elegans","Malurus_elegans","Flying","0.471963319847904","0.141343729920733","0.392636388503831"
"Malurus_melanocephalus","Malurus_melanocephalus","Flying","0.477213206508559","0.139587465356575","0.39084862029896"
"Megaceryle_lugubris","Megaceryle_lugubris","Flying","0.514643145144875","0.117659924443386","0.361254245512129"
"Megalaima_virens","Megalaima_virens","Flying","0.283862153512654","0.207960201838653","0.375682434108128"
"Melamprosops_phaeosoma","Melamprosops_phaeosoma","Flying","0.345146759783319","0.166467277580398","0.327066179832631"
"Melanocharis_versteri","Melanocharis_versteri","Flying","0.488963296016612","0.119328171576597","0.349048473142387"
"Melanocorypha_mongolica","Melanocorypha_mongolica","Flying","0.663942300619044","0.0902730055259525","0.446653759834812"
"Melophus_lathami","Melophus_lathami","Flying","0.615873940502606","0.100322999946429","0.422391361305641"
"Melopsittacus_undulatus","Melopsittacus_undulatus","Flying","0.583809610254397","0.103570782275249","0.397325132402972"
"Menura_novaehollandiae","Menura_novaehollandiae","Flying","0.430380370025396","0.146749055589147","0.372513022226575"
"Mergus_merganser","Mergus_merganser","Flying","0.687413994678406","0.0764798275776329","0.40888383132584"
"Merops_viridis","Merops_viridis","Flying","0.595684406424885","0.116125247611707","0.458280543381636"
