"MusYoungAhGhDownSampledSlopes" "MusYoungChThDownSampledSlopes" "MusOldAhGhDownSampledSlopes" "MusOldChThDownSampledSlopes" "HumanAhGhDownSampledSlopes" "HumanChThDownSampledSlopes"
"24" 7.13453698311007e-09 3.37216074548632e-08 1.33663366336634e-08 7.77810133954572e-08 1.01530612244898e-07 5.66836734693878e-07
"25" 6.46476412347116e-09 3.64589400116482e-08 1.46476412347117e-08 4.41467676179383e-08 1.18622448979592e-07 5.68622448979592e-07
"26" -1.31042516016307e-09 5.03494467093768e-08 1.58998252766453e-08 3.89341875364007e-08 1.07397959183674e-07 5.11224489795918e-07
"27" 2.73733255678509e-09 1.91030867792662e-08 1.71811298776936e-08 5.89982527664531e-08 1.72448979591837e-07 5.35714285714286e-07
"28" -3.08677926616191e-09 3.0984274898078e-08 1.4618520675597e-08 4.05649388468258e-08 1.66836734693878e-07 5.18367346938776e-07
"29" 3.17414094350611e-09 3.96913220733838e-08 1.75305765870705e-08 8.67501456027956e-08 2.04081632653061e-07 5.00510204081633e-07
"30" 1.80547466511357e-09 1.41817122888759e-08 1.0658124635993e-08 6.55794991263832e-08 1.14795918367347e-07 5.00000000000001e-07
"31" 7.04717530576586e-09 3.5934769947583e-08 5.59114735002911e-09 5.83284799068142e-08 2.71683673469388e-07 5.93367346938776e-07
"32" 7.86255096097845e-10 3.94583576004659e-08 1.59580663948748e-08 5.98136284216658e-08 9.79591836734697e-08 4.43367346938777e-07
"33" 9.02737332556781e-10 3.54397204426325e-08 1.87245195107746e-08 8.65171811298777e-08 7.80612244897959e-08 5.83163265306123e-07
"34" 6.69772859638906e-10 3.20617355853233e-08 1.06872451951077e-08 3.6924868957484e-08 1.78316326530612e-07 5.39285714285714e-07
"35" 1.77635410599883e-09 2.00349446709377e-08 1.41817122888759e-08 9.91846243447875e-08 9.33673469387758e-08 6.06632653061225e-07
"36" -1.51426907396622e-09 2.42574257425743e-08 1.21141525917298e-08 5.51834595224228e-08 1.84948979591837e-07 3.51530612244897e-07
"37" -6.69772859638905e-10 5.57658707047175e-08 1.44437973209086e-08 4.37099592312173e-08 1.31122448979592e-07 6.60459183673469e-07
"38" 4.36808386721024e-10 3.13046010483401e-08 4.60104834012813e-09 6.50553290623181e-08 1.18877551020408e-07 5.61479591836735e-07
"39" 1.28130460104834e-09 2.50436808386721e-08 1.43855562026791e-08 4.47000582411183e-08 1.6454081632653e-07 5.01785714285715e-07
"40" 3.20326150262086e-10 2.67617938264415e-08 9.231217239371e-09 3.97204426324986e-08 1.16326530612245e-07 3.98724489795919e-07
"41" 2.44612696563773e-09 3.08095515433897e-08 2.05008736167734e-08 8.0547466511357e-08 1.32142857142857e-07 3.64030612244898e-07
"42" 3.66919044845661e-09 5.78334304018637e-08 1.72393709959231e-08 5.14851485148515e-08 2.16071428571429e-07 5.4234693877551e-07
"43" 3.20326150262085e-09 3.9341875364007e-08 2.07338380896913e-08 4.49039021549214e-08 8.75e-08 5.1734693877551e-07
"44" 6.11531741409434e-10 3.09551543389633e-08 2.19569015725102e-08 6.4298194525335e-08 1.82908163265306e-07 3.61734693877551e-07
"45" 1.00465928945836e-08 2.57716948165405e-08 1.87245195107746e-08 4.98835177635411e-08 1.14030612244898e-07 5.38775510204082e-07
"46" -1.1648223645894e-09 2.8567268491555e-08 1.31916132789749e-08 6.35119394292371e-08 1.18112244897959e-07 5.10714285714286e-07
"47" -6.69772859638903e-10 3.54688410017472e-08 4.6592894583576e-09 8.06930693069307e-08 1.99234693877551e-07 4.82908163265306e-07
"48" -4.36808386721024e-10 4.18171228887594e-08 9.26033779848573e-09 3.44496214327315e-08 1.11479591836735e-07 5.27551020408163e-07
"49" -1.1648223645894e-10 2.33255678509027e-08 9.05649388468258e-09 8.32556785090274e-08 1.85714285714286e-07 3.39285714285714e-07
