Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Acrossocheilus_beijiangensis 0 0 0.20810874150457 0.0290602296695571 0 0.464963674712913 0.235059760956175 0 0.013827044762128 0 0.0489805483946567 0
Acrossocheilus_yunnanensis 0.011327566754419 0.294516735614893 0.011327566754419 0.0272282813087627 0 0.187875141030463 0.04275291462956 0 0.00147423843550207 0.0529371944339977 0.370560361037984 0
Adelomyia_melanogenys 0.0287231207002125 0.147718906458236 0.00820660591434643 0.00526456074631704 0.00150416021323344 0.154928501963044 0.0206029607751324 0 0.00309044411626986 0.0370565140654828 0.551215646724057 0.0416885783236682
Aegithalos_concinnus 0.0423045930701048 0 0.0423045930701048 0.00770547945205479 0.00770547945205479 0.246575342465753 0.0179794520547945 0.000856164383561644 0 0.0846091861402095 0.549959709911362 0
Aerodramus_fuciphagus 0 0.242546583850932 0.0606366459627329 0.00722049689440994 0 0.0433229813664596 0.0242236024844721 0 0.00403726708074534 0.12360248447205 0.494409937888199 0
Agelaius_phoeniceus 0.0475905254560305 0.237952627280152 0.0475905254560305 0.0144296215627552 0 0.144296215627552 0.0310372992104547 0 0 0.0367002450313096 0.440402940375715 0
Agkistrodon_contortrix 0 0.119272618870174 0.0298181547175436 0 0 0.157318527351319 0.0152481740944999 0 0 0.0226114174988821 0.655731107467581 0
Agonostomus_monticola 0.0358729695445718 0.113597736891144 0.0179364847722859 0.0898373390509761 0.0138211290847656 0.393902178915818 0.0198471054433605 0.000583738395392957 0.00291869197696479 0.0332461467653035 0.265969174122428 0.0124673050369888
Ailuropoda_melanoleuca 0 0.131624018832584 0.131624018832584 0.00915391847473562 0.0183078369494712 0.347848902039954 0.0688876094133767 0.00405221231843392 0 0.0696382890335182 0.218863194105343 0
Alburnus_alburnus 0.0250967102528853 0.42664407429905 0.0250967102528853 0.00946321813357204 0 0.0946321813357205 0.199494868761789 0 0.0166245723968158 0 0.202947664567282 0
Alectoris_chukar 0.0126514979630953 0.113863481667858 0.101211983704762 0.00777173121662304 0 0.0932607745994765 0.0271180930643648 0 0.000968503323727316 0.183758266988598 0.459395667471495 0
Alectoris_rufa 0 0.150503883828988 0.0250839806381647 0 0 0.0944815242596038 0.0179246863400312 0.00188680908842434 0 0.0789021239827542 0.631216991862034 0
Alethe_poliocephala 0.0128420547287566 0.205472875660106 0.064210273643783 0.0212618634366114 0 0.212618634366114 0.0408896192621589 0 0 0.0491894087669412 0.385317035341039 0.00819823479449019
Anaecypris_hispanica 0.0166254388764762 0.282632460900096 0.0166254388764762 0 0 0.0993935525055857 0.158187041174593 0 0.0148300351101181 0.036327002872646 0.375379029684009 0
Anguilla_bicolor_bicolor 0.0579817067317581 0.367217475967802 0.0193272355772527 0.0114038094976893 0 0.186262221795593 0.0408183974877611 0 0.00123692113599276 0.0175417906558973 0.292363177598289 0.00584726355196577
Anguilla_luzonensis 0 0.371883665969974 0.106252475991421 0 0 0.195278882013032 0.0845320546972119 0 0 0.037238910973594 0.204814010354767 0
