Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Aegithalos_concinnus 0.0229126545752839 0.171307600000208 0.0279511133988194 0.00960494571619963 0.00233793779763875 0.246799863597048 0.0490911013738257 0.000259770866404306 0.000808072466283987 0.060848495747256 0.408078444461032 0
Aerodramus_fuciphagus 0 0.242546583850932 0.0606366459627329 0.00722049689440994 0 0.0433229813664596 0.0242236024844721 0 0.00403726708074534 0.12360248447205 0.494409937888199 0
Aethopyga_pulcherrima 0.010036187961081 0.29104945087135 0.0301085638832431 0.00265889128739911 0 0.143580129519552 0.0739802701253284 0.00154125562761101 0 0.0827861575415621 0.355980477428717 0.00827861575415621
Agelaius_phoeniceus 0.0191218592613369 0.274552942163854 0.0489458002375318 0.0145616744580634 0 0.145616744580633 0.0537078535891714 0 0 0.0443688777399904 0.399124247969419 0
Agkistrodon_contortrix 0.0433240961317574 0.175890005572899 0.0282006410975363 0.00385266816383231 0 0.141117178540096 0.0251806255460041 0 0 0.0507831151150144 0.53165166983286 0
Agkistrodon_piscivorus 0.0151682582363839 0.205078935445136 0.0150537803980795 0.00522921632481005 0 0.114213226729002 0.0500894717492375 0 0.00126253966563101 0.0352746239551822 0.558629947496538 0
Agonostomus_monticola 0.0358729695445718 0.113597736891144 0.0179364847722859 0.0898373390509761 0.0138211290847656 0.393902178915818 0.0198471054433605 0.000583738395392957 0.00291869197696479 0.0332461467653035 0.265969174122428 0.0124673050369888
Ailuropoda_melanoleuca 0 0.20591969577843 0.0860102477153502 0.00598166506813288 0.0191220906113913 0.358913603531035 0.0550411907002977 0.00264793453653016 0 0.0531839018863063 0.213179670172527 0
Alauda_arvensis 0 0.133773699072207 0.0364837361106018 0.00497359639150684 0.00497359639150684 0.308362976273424 0.09938024863398 0 0.0024845062158495 0.102391910227731 0.263293483442737 0.0438822472404562
Alburnus_alburnus 0.0250967102528853 0.42664407429905 0.0250967102528853 0.00946321813357204 0 0.0946321813357205 0.199494868761789 0 0.0166245723968158 0 0.202947664567282 0
Alectoris_chukar 0.0119288909736734 0.119598114921581 0.0954311277893873 0.00732783853976994 0 0.0993604481762659 0.0283477547610576 0 0.000913185979248018 0.173262671251449 0.463829967607568 0
Alectoris_rufa 0 0.150503883828988 0.0250839806381647 0 0 0.0944815242596038 0.0179246863400312 0.00188680908842434 0 0.0789021239827542 0.631216991862034 0
