"","species_name","med_c","med_a","realm"
"123","Campylorhamphus procurvoides",0.648257201973579,0.951991710798987,"Neotropic"
"124","Campylorhynchus brunneicapillus",0.877185902609631,0.87815693078851,"Nearctic"
"125","Campylorhynchus zonatus",0.856213204166421,0.875258799171843,"Neotropic"
"126","Caracara cheriway",0.81988939740656,0.909154727793696,"Neotropic"
"127","Caracara plancus",0.826459942084942,0.923333333333333,"Neotropic"
"128","Cardinalis cardinalis",0.720907079646018,0.918942436412316,"Nearctic"
"129","Carpodacus erythrinus",0.797845227062095,0.912858851674641,"Palearctic"
"130","Carpodacus pulcherrimus",0.751745486281569,0.911615551799082,"Palearctic"
"131","Carpodacus roseus",0.770084566596195,0.93824163969795,"Palearctic"
"132","Carpodacus rubicilloides",0.746816168327796,0.904372496662216,"Palearctic"
"133","Casuarius casuarius",0.654037886340977,0.888042005420054,"Australian"
"134","Cathartes aura",0.744772727272727,0.894796380090498,"Neotropic"
"135","Catharus fuscescens",0.802912621359223,0.889260249554367,"Nearctic"
"136","Centropus bengalensis",0.617334167709637,0.927018633540373,"Indo_Malay"
"137","Centropus unirufus",0.64980959634425,0.924546925566343,"Indo_Malay"
"138","Cephalopterus ornatus",0.663522012578616,0.900671470684573,"Neotropic"
"139","Certhia brachydactyla",0.740701509161989,0.896078431372549,"Palearctic"
"140","Certhia himalayana",0.733015873015873,0.910280060372296,"Palearctic"
"141","Ceryle rudis",0.779081825037707,0.93343023255814,"Afrotropic"
"142","Ceuthmochares aereus",0.693108357703555,0.938047684078753,"Afrotropic"
"143","Chaetops frenatus",0.84355242753191,0.875,"Afrotropic"
"144","Chaetorhynchus papuensis",0.681320450885668,0.911896551724138,"Australian"
"145","Chaetura pelagica",0.816606769296787,0.950133541788809,"Nearctic"
"146","Charadrius alexandrinus",0.754478486522685,0.918367346938776,"Palearctic"
"147","Charadrius vociferus",0.778845727953227,0.948910874625873,"Nearctic"
"148","Chauna torquata",0.750042052144659,0.925925925925926,"Neotropic"
"149","Chloroceryle aenea",0.789153810191678,0.9447261663286,"Neotropic"
"150","Chlorophanes spiza",0.792238759039933,0.946332565284178,"Neotropic"
"151","Chloropsis cyanopogon",0.762993917214777,0.961161387631976,"Indo_Malay"
"152","Chloropsis hardwickii",0.800280951489043,0.935648854961832,"Indo_Malay"
"153","Chrysolampis mosquitus",0.756335282651072,0.878467406380028,"Neotropic"
"154","Chrysolophus amherstiae",0.704103967168263,0.921464646464646,"Palearctic"
"155","Chrysolophus pictus",0.707829457364341,0.917222222222222,"Palearctic"
"156","Chrysomus icterocephalus",0.796897546897547,0.941277472527473,"Neotropic"
