Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
40 Andrias_davidianus 0.0150676410397045 0.0542703243679811 0.0091703198026505 0.0351679110867045 0.0075981500798195 0.0511144990504313 0.540141805349115 0.0574320882368909 0.0764420777229898 0.0558180621280369 0.0878921302057053 0.00988499092997041
41 Anguilla_anguilla 0.00398904225776802 0.0506120787501872 0.00378146382430185 0.0374902688856292 0 0.0777334042769625 0.644988191316066 0.054737056676128 0.041313903274462 0.0446388490730011 0.0407157416654942 0
42 Anguilla_bicolor_bicolor 0.00504615503533969 0.0201846201413588 0.00168205167844656 0.0256567493030583 0 0.162492745586036 0.630780568231287 0 0.0262825236763036 0.0166792938715004 0.105635527852836 0.00555976462383346
43 Anguilla_luzonensis 0 0.0232052339373574 0.00928209357494297 0 0 0.0946958602123641 0.793363998086884 0 0 0.0264842713961506 0.0529685427923011 0
44 Anguis_fragilis 0.00549422880631073 0.0439538304504858 0.0109884576126215 0 0 0.0363889715158867 0.677037836570481 0 0.0677037836570481 0.0344419329102535 0.117102571894862 0.0068883865820507
45 Anniella_pulchra 0.00834855673140313 0.0245238853984967 0.0104356959142539 0.029572153297017 0.00369651916212713 0.147860766485085 0.67499873453579 0.0196601573165764 0.0196601573165764 0.0217315197506263 0.0385240577397466 0.000987796352301195
46 Anolis_allisoni 0.00821905353060049 0.0261075818030839 0.0116033696902595 0.0177495385440066 0.00443738463600165 0.103538974840038 0.70370012157559 0.0168888029178142 0.0168888029178142 0.0194713649024551 0.0695405889373397 0.00185441570499572
47 Anolis_allogus 0.0111993586613876 0.0328981160678261 0.0146991582430712 0.0528278838675227 0.00251561351750108 0.0804996325600346 0.572255832335953 0 0.0915609331737525 0.0672331489971516 0.0690024423918135 0.00530788018398565
48 Anolis_homolechis 0.00335941594834046 0.0369535754317451 0.0089584425289079 0.0225587251089848 0.00375978751816413 0.112793625544924 0.654503811162011 0.0218167937054004 0.0218167937054004 0.0351244614642757 0.0756526862307477 0.00270188165109813
49 Anolis_jubar 0.0133863169198849 0.0305972958168798 0.0191233098855499 0.089799876004228 0.027630731078224 0.124338289852008 0.442091697251584 0.0184204873854827 0.0368409747709653 0.0608526218569827 0.121705243713965 0.0152131554642457
50 Anolis_porcatus 0.0072798556895132 0.0336260000896562 0.0072798556895132 0.0198276326962908 0.00313067884678276 0.104355961559425 0.691533868778696 0.0188943679994179 0.0264521151991851 0.0194710363225599 0.0667578388202055 0.00139078830875428
