Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Accipiter_melanoleucus,"3,535420073","0,7314034133","-0,3910951184","-0,1226915951","0,1643805487","-0,05080725185","-0,09650788093","-0,1520900223","-0,08778558948","1,163290679","-0,458668622","-0,1117580477","-0,04045993067",Afrotropic,Carnivore,Vertivore,Generalist
Accipiter_meyerianus,"3,734922436","0,5185458741","-0,364292824","0,01285940973","0,1837555622","0,0008319554536","-0,05101714827","-0,1326045324","-0,0410265457","1,464424452","-0,4763230378","-0,06631080125","-0,05929947404",Australian,Carnivore,Vertivore,Generalist
Accipiter_minullus,"0,7793291727","0,6387326335","-0,440133365","0,1810209119","0,2451646256","0,07818663268","-0,04021804632","-0,1682447931","-0,05102278712","-0,01310154976","-0,6296036157","-0,04759660623","2,07E-05",Afrotropic,Carnivore,Vertivore,Vertivore aerial
Accipiter_nanus,"1,939015671","0,9546360812","-0,0259410254","0,3975146755","-0,04068148532","-0,2348769629","-0,04452422292","-0,08048443329","-0,1805441907","0,2158372865","-0,6154692605","-0,06223227759","0,01476531246",Australian,Carnivore,Invertivore,Invertivore sally ground
Accipiter_nisus,"2,014221441","0,7616608931","-0,552092102","-0,0344409345","0,1453405181","-0,05499086481","0,0489991272","-0,2075866731","-0,04147675765","0,446106048","-0,6116633739","0,03706822463","-0,06599267673",Palearctic,Carnivore,Vertivore,Vertivore perch
Accipiter_novaehollandiae,"2,638537749","0,4391004433","-0,4021627063","0,05500522408","0,2204886242","-0,003033784862","-0,07412992269","-0,1344597193","-0,03468831001","1,017900523","-0,487554401","-0,08867304542","-0,03326773829",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_ovampensis,"1,853975233","0,7697713477","-0,4889635675","-0,107757537","0,1174053777","0,05776713096","-0,05937038994","-0,1922260726","-0,0194771594","0,3363957504","-0,5197194037","-0,06238118365","-0,06675023724",Afrotropic,Carnivore,Vertivore,Generalist
Accipiter_poliocephalus,"2,228683047","0,3963257515","-0,5229443316","0,02310572695","0,3544355281","0,01005323562","-0,0255496232","-0,2208139773","-0,05748148884","0,8859256637","-0,5316778518","-0,04083987475","-0,0002830417009",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_poliogaster,"3,621665648","1,121560336","0,1088036673","0,1383682919","-0,3265488851","-0,3089711291","-0,1533688434","0,07528217863","-0,1526927704","0,7787075417","-0,4095409395","-0,1700782445","-0,06376251126",Neotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_princeps,"3,046472706","0,1307002335","-0,6200698001","-0,05060951334","0,3784690406","0,08870108382","0,04275495319","-0,1746267152","-0,04706983427","1,501350903","-0,4725981412","0,0331989223","0,01828363668",Australian,Carnivore,Vertivore,Vertivore perch
