Species,A_T,A_G,A_C,T_A,T_G,T_C,G_A,G_T,G_C,C_A,C_T,C_G,Class
Larus_dominicanus,0,0.0703298325387585,0.0094583259532851,0,0,0.0919718453798061,0.764501180103436,0,0,0,0.0637388160247143,0,Aves
Catharus_guttatus,0.0139100735854007,0.0417302207562021,0.0139100735854007,0,0,0.0996158419363931,0.728876407254761,0,0,0.0169928971469737,0.0849644857348685,0,Aves
Setophaga_coronata,0.00940690349170501,0.017602261620198,0.00412647536431249,0.0147214796780878,0,0.101028809048409,0.627421681871272,0,0.0493727653824642,0.00940173788535742,0.161560232398299,0.00535765325989425,Aves
Myioborus_melanocephalus,0.00815952993474003,0.0244785898042201,0.00815952993474003,0.0337130278740756,0,0.101139083622227,0.714997402811657,0,0,0.0436223700130613,0.0657304660052788,0,Aves
Todiramphus_chloris,0.0105006558203378,0.0350021860677928,0.00700043721355856,0.011260838432814,0,0.101347545895326,0.697184977075419,0,0,0.0110162687595801,0.126687090735171,0,Aves
Pachycephala_caledonica,0,0,0.00887698160237167,0,0,0.105359584919952,0.494379590778238,0.123594897694559,0,0.0973777981835923,0.170411146821286,0,Aves
Pomatorhinus_ferruginosus,0,0,0,0.0366895536524609,0,0.110068660957383,0.687355856707822,0.0624868960643475,0.0624868960643475,0.0409121365536393,0,0,Aves
Garrulus_glandarius,0,0.0236806842578013,0,0.00772228009225032,0,0.112243724380565,0.716838262478754,0,0.0323223520407701,0.0082919564924983,0.0957430613605688,0.00315767889679165,Aves
Pachycephala_macrorhyncha,0.00251070392654498,0.0263623912287223,0.00251070392654498,0.00249603098151972,0.00499206196303944,0.112321394168387,0.649671162513865,0.027069631771411,0,0.00649305356679116,0.165572865953175,0,Aves
Columba_livia,0.0393090859469469,0.133445383837569,0,0,0,0.114017535629867,0.633889550900621,0,0,0,0.0793384436849965,0,Aves
Pachycephala_philippinensis,0.0019090469286127,0.0267266570005777,0.0019090469286127,0,0,0.114170496812902,0.696304558201602,0.0732952166528002,0.0366476083264001,0.00490373691484926,0.0441336322336434,0,Aves
Pachycephala_graeffii,0.00777965609757367,0.0311186243902947,0,0.0326672507684033,0,0.114335377689411,0.630264892542563,0,0,0,0.183834198511754,0,Aves
Catharus_frantzii,0.0219175776860464,0.10228202920155,0,0.0229413286607662,0,0.114706643303831,0.622339282892491,0,0,0.0248171010547103,0.0827236701823678,0.00827236701823678,Aves
Sturnella_neglecta,0.0237816225716193,0.057068796260409,0.0118908112858097,0.0449297097577909,0.0449297097577909,0.115495511490829,0.688871834609124,0,0,0.0130320042666278,0,0,Aves
Phasianus_colchicus,0.00276725771208979,0.0248688257409266,0.00276725771208979,0.0373210036895777,0,0.116177444748065,0.740710293896036,0,0,0.0300803697709771,0.0453075467302378,0,Aves
Pyrocephalus_rubinus,0.00378748755913602,0.0227249253548161,0.00378748755913602,0.0270780766403166,0,0.117338332108039,0.741337564908224,0,0,0.00559640839135549,0.0727533090876214,0.00559640839135549,Aves
Sitta_carolinensis,0.00393757071083607,0.0374069217529426,0.0059063560662541,0,0.0159226739988436,0.119420054991327,0.668826252257926,0.0743140280286584,0.0247713426762195,0.00309342496981206,0.0402145246075568,0.00618684993962412,Aves
Fringilla_coelebs,0.00838103763440384,0.0167620752688077,0,0,0.0185843673690105,0.120798387898568,0.589991300317194,0.104116111820681,0.0347053706068937,0.00790084067292157,0.0987605084115196,0,Aves
Gallus_gallus,0.00723432877975819,0.0283648049224536,0.00354470224920244,0.0210787322535196,0,0.120823693553769,0.772723438337995,0,0,0.00562559689385159,0.0394868556432057,0.00111784736624513,Aves
Larus_vegae,0.010657473879645,0.00266436846991125,0.0532873693982249,0.112500294273533,0,0.121154163063804,0.432693439513587,0.0432693439513587,0.0865386879027173,0.0847627073674003,0.0524721521798193,0,Aves
Perisoreus_canadensis,0.00286842723816108,0.0602369720013827,0.00860528171448324,0.00533400103698583,0,0.122682023850674,0.594196244550249,0.0198065414850083,0,0.0258709039059799,0.15522542343588,0.00517418078119599,Aves
Picus_viridis,0,0,0,0,0,0.122977262421455,0.813992356027726,0,0,0,0.0630303815508195,0,Aves
Trogon_rufus,0.00263101861472441,0.0236791675325197,0.00263101861472441,0.0295306015417104,0.0118122406166842,0.124028526475184,0.632746414889597,0.0527288679074665,0.0263644339537332,0.011730963731707,0.0821167461219489,0,Aves
Vireo_olivaceus,0.00396614991918466,0.0317291993534773,0.00198307495959233,0.00525270861780161,0,0.126065006827239,0.687208025021654,0,0.0381782236123141,0.00812443166836442,0.0947850361309183,0.00270814388945481,Aves
Trogon_violaceus,0.021270355958475,0.0340325695335599,0.00425407119169499,0.0459062745686074,0.0183625098274429,0.128537568792101,0.598388289001797,0.0543989353637997,0,0.0111587559720615,0.0781112918044304,0.00557937798603074,Aves
Perdix_hodgsoniae,0,0.0148263566575709,0,0,0,0.130219095210017,0.668260512050899,0,0.164943274596289,0,0.0217507614852249,0,Aves
Lanius_collaris,0,0.0291619105525505,0,0.0186707354147427,0,0.130695147903199,0.592645278971188,0.0246935532904662,0,0.0107438617825186,0.193389512085335,0,Aves
Aerodramus_fuciphagus,0,0.0159773730418114,0.0079886865209057,0.0670877868045952,0,0.13417557360919,0.59991963200263,0,0.119983926400526,0.015676291891526,0.039190729728815,0,Aves
Lanius_collurio,0,0.0471061366730912,0,0,0,0.135074592198098,0.727901969067528,0,0,0,0.0899173020612829,0,Aves
Minla_ignotincta,0,0.00386724753584378,0,0.0618759605735006,0,0.139220911290376,0.549684468632484,0,0.0336282394421199,0.137267489326878,0.0586171267380035,0.0158385564607937,Aves
Sylviparus_modestus,0,0.0275103107094111,0,0,0,0.141063056738612,0.703186447575273,0.0692746234080622,0,0.00993162454915229,0.0490339370194897,0,Aves
Artamus_superciliosus,0,0.0207706020390453,0,0.0176430593407108,0.0352861186814215,0.141144474725686,0.609325595148585,0.130569770388983,0,0.00754339661259476,0.0377169830629738,0,Aves
Phasianus_versicolor,0,0.0221052280763059,0,0.0240442831707187,0,0.144265699024312,0.761402300406091,0,0,0.00803041488709549,0.0321216595483819,0.00803041488709549,Aves
Garrulax_affinis,0.00851711092282967,0.025551332768489,0,0.0293167923343716,0,0.146583961671858,0.742692072470747,0,0,0,0.0394489415264207,0.00788978830528414,Aves
Certhia_americana,0.00934189584463174,0.0537159011066325,0.00700642188347381,0.0285699985383927,0.0204071418131377,0.146931421054591,0.613156122477813,0.0593376892720465,0,0.00473333907763696,0.054433399392825,0.00236666953881848,Aves
Pucrasia_macrolopha,0.0246432561278286,0.0246432561278286,0.0492865122556572,0.0820595023638003,0,0.150442421000301,0.568555123520616,0,0,0.0349112795144238,0.0654586490895446,0,Aves
Paradoxornis_webbianus,0.00639876916288513,0.0510670512804499,0.00849065820963646,0.0223255269587415,0,0.150808338946462,0.647561448828046,0.0169124152889565,0.0169124152889565,0.0329159509370533,0.041951297721755,0.00465612737705771,Aves
Motacilla_alba,0,0.0905088629117288,0.00861989170587894,0,0,0.151852349419176,0.622681904083805,0.0239493040032233,0,0.0102387687876188,0.0921489190885691,0,Aves
Empidonax_difficilis,0,0.0494895084487627,0,0,0.0304612755365215,0.152306377682608,0.449364736714766,0.224682368357383,0,0,0.0936957332599595,0,Aves
Leptopogon_superciliaris,0,0.0201323021465717,0.00671076738219058,0.0153326918182089,0,0.153326918182089,0.663292248055717,0,0.094756035436531,0.00774150616311528,0.0387075308155764,0,Aves
Empidonax_traillii,0.0154009832998435,0.0338821632596558,0.00616039331993741,0.0351156771693041,0,0.154508979544938,0.691849199515594,0,0,0.00485250799159441,0.0582300958991329,0,Aves
Aegithalos_concinnus,0.00505015845896453,0.0297056940620625,0.00646471531906275,0.0118753275857142,0.00304849277870131,0.157746394922077,0.667326070803252,0.0274364350083118,0.00881998433374395,0.0199225496581896,0.062604177069921,0,Aves
Cardinalis_cardinalis,0.00502589185463039,0.0430293342527541,0.00533946956748717,0.00419037403086041,0,0.157851936533705,0.646199350819719,0,0,0.0126728245682272,0.119354406088504,0.00633641228411358,Aves
