Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Alectoris_chukar 0.0209917083254379 0.0839668333017516 0.167933666603503 0.0128950670789293 0 0.0864770009844889 0.0201213926066177 0 0.0016069669649559 0.304896697155129 0.301110666979187 0
Alectoris_rufa 0 0.329168112923753 0.0548613521539589 0 0 0.0652551197500868 0.0288865748775502 0.00412665355393575 0 0.172567395580238 0.345134791160477 0
Alethe_poliocephala 0.0228276031837204 0.273931238204644 0.114138015918602 0.03779437105112 0 0.145778288340034 0.0557807499794863 0 0 0.0874374333305982 0.247739394436695 0.0145729055550997
Alophoixus_pallidus 0.0765747769343455 0.229724330803036 0.0765747769343455 0 0 0.142162738047676 0.0582634172326542 0 0 0.238114262884539 0.178585697163404 0
Alouatta_seniculus 0.0713564220140891 0.215975551297406 0.0363136394254241 0.0205519648658091 0.0181154602145054 0.157106204972562 0.0127549966405524 0.00213740434604415 0 0.0233267569885412 0.442361599235066 0
Amblyeleotris_wheeleri 0.0100587409679264 0.11064615064719 0.050293704839632 0.0350886312834642 0.0116962104278214 0.192987472059053 0.0760513593595675 0 0.0280189218693143 0.299656911160784 0.0998856370535946 0.0856162603316525
Amblysomus_hottentotus 0.0225353685629614 0.270424422755537 0.180282948503691 0.0220886497525098 0 0.206160731023425 0.00703582126461309 0.000586318438717757 0 0.070517755078435 0.22036798462011 0
Amphiprion_percula 0 0.314387211367673 0.104795737122558 0.0452930728241563 0.0452930728241563 0.226465364120782 0.0310834813499112 0.0155417406749556 0 0.217140319715808 0 0
Anaecypris_hispanica 0.0336887889983912 0.202132733990347 0.0336887889983912 0 0 0.0629390982367351 0.220371732785732 0 0.030050690834418 0.0736108528510563 0.343517313304929 0
Anas_platyrhynchos 0.14172822396557 0.178676778601059 0.0944854826437134 0.0189631702928292 0 0.103848337567155 0.0498079175588404 0.00874376144744853 0.0268842773558782 0 0.334706989080311 0.0421550614871952
Anas_poecilorhyncha 0 0 0.424579152500207 0 0 0.0415457334770711 0.0587113359316693 0 0 0.190065511236421 0.190065511236421 0.0950327556182105
Andrias_davidianus 0.0812144346783138 0.291162875733781 0.0478121313032719 0.0913725044538656 0.0256409604741767 0.139499383997093 0.080790471221492 0.00852742471593944 0.0103438215184107 0.0899494597197955 0.113935708535952 0.0197508236479083
Anguilla_anguilla 0.0413792260638776 0.551558684718467 0.0436506837118872 0.0396255182056681 0 0.0768666329135435 0.106372292554736 0.0120622840456477 0.0039953494654323 0.0596245955719596 0.0648647327487811 0
Anguilla_bicolor_bicolor 0.103858907911867 0.415435631647466 0.0346196359706222 0.0204269116455012 0 0.129370440421508 0.0531748176168603 0 0.00221561740070251 0.0314214831372356 0.199002726535826 0.0104738277124119
Anguilla_luzonensis 0 0.42280930637095 0.16912372254838 0 0 0.103609480321809 0.126636225266362 0 0 0.0592737551641661 0.118547510328332 0
Anguis_fragilis 0.0298333269030441 0.238666615224353 0.0596666538060882 0 0 0.0180176704348162 0.096840155870211 0 0.0096840155870211 0.118976426559667 0.404519850302867 0.0237952853119333
Anniella_pulchra 0.105197063229317 0.309016373236118 0.131496329036646 0.0296983328040418 0.00371229160050522 0.148491664020209 0.0539195853834319 0.00157047336068248 0.00157047336068248 0.0764065017307109 0.135447889431715 0.00347302280594141
Anolis_allisoni 0.091825422409523 0.291680753536132 0.129635890460503 0.0211866516756167 0.00529666291890419 0.123588801441098 0.0579854859380282 0.00139165166251268 0.00139165166251268 0.0591465060632507 0.211237521654467 0.00563300057745245
Anolis_allogus 0.115393783719358 0.338969239675613 0.151454341131657 0.0421415957617595 0.00200674265532188 0.0642157649703002 0.0496212729315956 0 0.0079394036690553 0.108422481355536 0.111275704549103 0.00855966958070024
Anolis_homolechis 0.037976131071191 0.4177374417831 0.101269682856509 0.0226214238190286 0.00377023730317143 0.113107119095143 0.0779690618762475 0.00259896872920825 0.00259896872920825 0.0682038700377024 0.146900643158128 0.00524645154136172
Anolis_jubar 0.116279755324637 0.265782297884885 0.166113936178053 0.0597833296484634 0.0183948706610657 0.0827769179747955 0.0413884589873977 0.00172451912447491 0.00344903824894981 0.0751713464514703 0.150342692902941 0.0187928366128676
Anolis_porcatus 0.0806985343641144 0.372750373015195 0.0806985343641144 0.0242541559022955 0.00382960356352035 0.127653452117345 0.0645117097824274 0.0017626150213778 0.00246766102992892 0.0536385246310403 0.183903513020709 0.00383132318793145
Anolis_sagrei 0.049269098539983 0.358960575077019 0.112615082377104 0.0205920435772648 0.00617761307317944 0.129729874536768 0.0874617136223601 0.00265035495825334 0.00728847613519668 0.0792106085636469 0.13119257043354 0.0148519891056838
Anourosorex_squamipes 0.0625399638503285 0.193797298209061 0.0597875351059849 0.0221401828110088 0.00764044339102569 0.222964122834224 0.0288539521554377 0.000670857827527597 0.000670857827527597 0.0657936854784419 0.330313217682268 0.00482788282716442
Anser_cygnoides 0.0158462957891237 0.504385328198917 0.0448652808861806 0 0.00238545686943488 0.0582688431189082 0.115531862928299 0.00238545686943488 0.00211122797093952 0.0123852920661059 0.229975309116457 0.0118596461861986
Ansonia_muelleri 0.0576245157237095 0.288122578618547 0.0576245157237095 0.0345188649610834 0 0.241632054727584 0.0890544832641095 0.00329831419496702 0 0.0360196851767827 0.168091864158319 0.0240131234511884
Aotus_lemurinus 0.0857428416124564 0 0.0857428416124564 0.127101153449053 0 0.245639368475556 0.0318217027478348 0 0 0 0.385657129713768 0.0382949623888762
Aotus_nancymaae 0 0.124934507483956 0.0240875798283663 0.0433541471925632 0 0.360264339285296 0.0160546527230445 0.00352082272001077 0 0.0202974258803282 0.388851926587841 0.0186345982985936
Aphanius_anatoliae 0.0507563327201971 0.270700441174384 0.0930532766536946 0.0326034017240319 0.0279457729063131 0.0884949475366581 0.146471787063613 0.0160203517100827 0.00915448669147583 0.112539660773308 0.0992997006823308 0.0529598403639098
Apodemus_chevrieri 0 0.548958958496838 0.0499053598633489 0.0150500900235446 0 0.0752504501177231 0.0798208762291676 0 0 0.0577535663173445 0.173260698952034 0
Apodemus_flavicollis 0.0649892527500316 0.194967758250095 0.0649892527500316 0.0371728410671387 0 0.204450625869263 0.00749146541914275 0 0.00249715513971425 0.149449993678088 0.249083322796814 0.0249083322796814
Apodemus_ilex 0.212105044452539 0.2757365577883 0.0424210088905077 0.0511883936037594 0.00639854920046992 0.262340517219267 0.0115120019289272 0.000523272814951238 0 0.0387491214659847 0.0990255326352942 0
Apodemus_latronum 0.178985092336454 0.3324008857677 0.102277195620831 0.0571023530791465 0 0.17130705923744 0.0245759145689471 0.000983036582757883 0 0.0305465683400134 0.101821894466711 0
Apodemus_peninsulae 0.113287804243875 0.317205851882849 0.0679726825463247 0.00697561986325023 0.00697561986325023 0.244146695213758 0.0197527453553422 0.00151944195041094 0 0.0634752968802688 0.158688242200672 0
Apodemus_speciosus 0.0772085286073034 0.347438378732865 0.0772085286073034 0.0190182184615877 0 0.0855819830771445 0.00959708248692397 0.000799756873910331 0 0.039635950670996 0.343511572481965 0
Apteronotus_albifrons 0.0729046206445774 0.145809241289155 0.0729046206445774 0.0301674292322389 0 0.150837146161195 0.00905022876967168 0 0 0.0398712856352758 0.478455427623309 0
Arachnothera_longirostra 0 0.0445718513038654 0.312002959127058 0.093212502311818 0 0.332901793970779 0.111522100980211 0 0.00619567227667838 0.0995931200295913 0 0
Arctocephalus_forsteri 0.0389302025027741 0.358445661205289 0.0419071867481031 0.0282237849622623 0 0.138161128615713 0.101788523960508 0.00199485931810381 0.00115816546166013 0.0528315766420639 0.236558910583523 0
Artamus_personatus 0 0.305933951970962 0.0764834879927405 0 0 0.192278192483445 0.0780498871112359 0.0045911698300727 0 0.079076148602664 0.26358716200888 0
Artibeus_fimbriatus 0.0466445396978946 0.116611349244737 0.0466445396978946 0.0182797671664693 0 0.292476274663509 0.000266857914838968 0 0.000133428957419484 0.0266079579254021 0.439031305769135 0.013303978962701
Artibeus_glaucus 0 0.127647636414644 0.0382942909243933 0.0111570292521338 0.00557851462606688 0.34028939219008 0.033233704155292 0.00528718020652373 0 0.0822210472932874 0.356291204937579 0
Artibeus_jamaicensis 0.0200142550656394 0.140099785459476 0.0800570202625576 0.00845300383529147 0.00422650191764573 0.22823110355287 0.00261342870055609 0.000137548878976636 0.000137548878976636 0.0660038120689316 0.438025298275637 0.0120006931034421
Artibeus_obscurus 0.0277791407602638 0.277791407602638 0.0277791407602638 0.0110962351308346 0 0.244117172878362 0.00355387947652126 0.00027337534434779 0 0.0407609648046768 0.358696490281156 0.00815219296093537
Artibeus_planirostris 0.0693764941079864 0.182113297033464 0.0346882470539932 0.0305696572489099 0.00382120715611374 0.286590536708531 0.00258882787748091 0 0.000337673201410553 0.0455743706040129 0.329148232140093 0.0151914568680043
Aspidomorphus_lineaticollis 0.0929205282364987 0.175516553335609 0.041298012549555 0.0484391819160388 0.00403659849300323 0.149354144241119 0.0778177426553598 0.00409567066607157 0.00546089422142876 0.0985061303788495 0.295518391136549 0.00703615216991782
Asymmetron_lucayanum 0.0221053965331781 0.348398275848578 0.0420533469160767 0.0433152856544999 0.0135304068807048 0.211796989482555 0.107006387482457 0.00329758864519417 0.00814428501180512 0.0457701240915918 0.151041709098319 0.00354020435504097
Ateles_geoffroyi 0.17226214462911 0.154413062973876 0.0957011914606166 0.0814613153818381 0 0.159363273197377 0.00415089505130385 0 0.00138363168376795 0.114668475792269 0.203855068075145 0.0127409417546965
Automolus_ochrolaemus 0 0.0986199932682598 0.0986199932682598 0.0706832716257152 0 0.212049814877146 0.00201952204644901 0 0 0 0.51800740491417 0
Automolus_rubiginosus 0.0319433949302741 0.223603764511919 0.0638867898605482 0.0471250944562753 0 0.377000755650203 0.0288520986466992 0.00192347324311328 0 0 0.225664628700969 0
Auxis_rochei 0.0238663197060569 0.340605318742615 0.0065731805025498 0.0395922739721962 0 0.14247708248813 0.0935893586120936 0.00169095553175918 0.00397809105713229 0.0272459299673292 0.314490382763874 0.00589110665626406
Avahi_laniger 0.051925270169247 0.357714018540002 0.0275838411255407 0.015286071423168 0 0.155808523475264 0.107100124579656 0.00275242892588924 0.00713063811506242 0.0570499177047107 0.20883045472053 0.00881871122092986
Bambusicola_thoracicus 0 0.103014462449904 0.0515072312249521 0 0 0.145582854155776 0.0248126851367834 0 0.00310158564209793 0.17919498170413 0.447987454260324 0.0447987454260324
Bandicota_indica 0.153314249600357 0.210807093200491 0.172478530800401 0.0145544444031377 0 0.0824751849511134 0.0202238001412692 0.00126398750882932 0.00126398750882932 0.0969181010446485 0.246700620840923 0
Barbatula_barbatula 0.0197929946171654 0.464235691929879 0.0395859892343307 0.00740116293260285 0.00123352715543381 0.0400896325515988 0.15661398360429 0.00648696973508893 0.0217776841106557 0.0960743045216187 0.128531839832976 0.0181762197743603
Barbatula_nuda 0.0409269785745518 0.15006558810669 0.0954962833406209 0.0275470048097945 0.0165282028858767 0.170791429820726 0.252645386969829 0.00935723655443813 0.0280717096633144 0.0811106252732838 0.104285089637079 0.0231744643637954
