Species,A_T,A_G,A_C,T_A,T_G,T_C,G_A,G_T,G_C,C_A,C_T,C_G,Phenotype
Pygoscelis_papua,0,0,0,0.0595370804975358,0,0.178611241492607,0.382480638347806,0,0.191240319173903,0.136822342173199,0.0513083783149495,0,,"DI"
Pygoscelis_papua,0,0,0,0.0595370804975358,0,0.178611241492607,0.382480638347806,0,0.191240319173903,0.136822342173199,0.0513083783149495,0,,"NF"
Regulus_regulus,0.00258380416796921,0.0245483877742025,0.0132425584054659,0.0535035264524569,0,0.184067496716846,0.540846729531236,0.0776565051623768,0.026190924676948,0.0457417374274135,0.0316183296850856,0,,"WI"
Sturnus_vulgaris,0,0.0763203488582184,0,0,0,0.51649144457424,0.359778366204848,0,0,0,0.0474098403626931,0,,"FM"
Sylvia_atricapilla,0,0.0459944367292913,0,0,0.0348836237782155,0.313952614003939,0.308865418869616,0.154432709434808,0,0.0236451995306883,0.118225997653442,0,,"FM"
Syrmaticus_ellioti,0,0.0179376207711457,0.0358752415422915,0.148008849923171,0,0.518030974731099,0,0,0,0.119956253190915,0.160191059841377,0,,"TROPIC"
Tachycineta_bicolor,0,0.0554561096924432,0,0,0,0.282908929744434,0.596065984052738,0,0,0.0109281627517308,0.054640813758654,0,,"AI"
Tetraogallus_himalayensis,0.0183325294209055,0.0130637623798495,0.0320819264865847,0.0510806088660987,0.0170268696220329,0.180859078646925,0.425350547492303,0.0650804794442147,0.0650804794442147,0.0609025635967383,0.0711411546001325,0,,"WI"
Tetraogallus_himalayensis,0.0183325294209055,0.0130637623798495,0.0320819264865847,0.0510806088660987,0.0170268696220329,0.180859078646925,0.425350547492303,0.0650804794442147,0.0650804794442147,0.0609025635967383,0.0711411546001325,0,,"HI"
Tregellasia_capito,0.0182725381697551,0.0548176145092654,0,0,0,0.240588419235109,0.618655935175995,0,0,0,0.0676654929098745,0,,"TROPIC"
Tregellasia_leucops,0,0.0482229846295861,0,0,0,0.220593561122656,0.614901577066822,0,0,0.0310085005815827,0.0852733765993525,0,,"TROPIC"
Trogon_viridis,0.0211172493293287,0.0211172493293287,0,0,0.0374102994584229,0.205756647021326,0.271224671073566,0.271224671073566,0,0.0286915354524103,0.143457677262051,0,,"TROPIC"
