Species Class
562 Girardinus_metallicus Actinopterygii
563 Glaucomys_sabrinus Mammalia
564 Glirulus_japonicus Mammalia
565 Globicephala_macrorhynchus Mammalia
566 Gloydius_brevicaudus Reptilia
567 Gloydius_halys Reptilia
568 Gloydius_intermedius Reptilia
569 Gloydius_saxatilis Reptilia
570 Gloydius_shedaoensis Reptilia
571 Gloydius_ussuriensis Reptilia
572 Glyptocephalus_zachirus Actinopterygii
573 Glyptothorax_trilineatus Actinopterygii
574 Glyptothorax_zanaensis Actinopterygii
575 Gnathonemus_petersii Actinopterygii
576 Gnathopogon_elongatus Actinopterygii
577 Gobio_gobio Actinopterygii
578 Gobiobotia_brevibarba Actinopterygii
579 Gobiobotia_macrocephala Actinopterygii
580 Gobiobotia_naktongensis Actinopterygii
581 Gobiocypris_rarus Actinopterygii
582 Gobiomorphus_australis Actinopterygii
583 Gracilinanus_agilis Mammalia
584 Graomys_griseoflavus Mammalia
585 Grus_antigone Aves
586 Grus_japonensis Aves
587 Gulo_gulo Mammalia
588 Gymnocypris_eckloni Actinopterygii
589 Gymnocypris_namensis Actinopterygii
590 Gymnocypris_przewalskii Actinopterygii
591 Gymnocypris_waddellii Actinopterygii
592 Gymnodiptychus_dybowskii Actinopterygii
593 Gymnodiptychus_pachycheilus Actinopterygii
594 Handleyomys_alfaroi Mammalia
595 Handleyomys_chapmani Mammalia
596 Handleyomys_rostratus Mammalia
597 Hatcheria_macraei Actinopterygii
598 Helicolenus_dactylopterus Actinopterygii
599 Hemibagrus_guttatus Actinopterygii
600 Hemibagrus_macropterus Actinopterygii
601 Hemiculter_eigenmanni Actinopterygii
602 Hemiculter_leucisculus Actinopterygii
603 Hemidactylus_alkiyumii Reptilia
604 Hemiechinus_auritus Mammalia
605 Hemiphyllodactylus_yunnanensis Reptilia
606 Hemisalanx_brachyrostralis Actinopterygii
607 Henicorhina_leucosticta Aves
608 Herichthys_minckleyi Actinopterygii
609 Herpestes_javanicus Mammalia
610 Herzensteinia_microcephalus Actinopterygii
