Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Acomys_cahirinus 0.0561053721495822 0.280526860747911 0.0280526860747911 0.0219605576825833 0 0.18300464735486 0.0360230200582725 0 0 0.137157167280695 0.257169688651304 0
Acrossocheilus_beijiangensis 0 0 0.357487922705314 0.0499194847020934 0 0.199677938808374 0.285024154589372 0 0.0237520128824477 0 0.0841384863123994 0
Acrossocheilus_yunnanensis 0.0225192894311861 0.382827920330163 0.0225192894311861 0.0541300317004606 0 0.140738082421197 0.0586159459297805 0 0.00293079729648902 0.105239547819846 0.210479095639691 0
Adelomyia_melanogenys 0.049343969744147 0.176228463371953 0.0140982770697563 0.00904408434215053 0.00258402409775729 0.121449132594593 0.0251298818625765 0 0.00530912997096686 0.0636600572742506 0.461535415238317 0.0716175644335319
Aegithalos_concinnus 0.0725451247948873 0 0.0725451247948873 0.0132135763019259 0.0132135763019259 0.22463079713274 0.0220226271698765 0.00146817514465843 0 0.145090249589775 0.435270748769324 0
Aerodramus_fuciphagus 0 0.18363508111921 0.091817540559605 0.0109334587350106 0 0.0218669174700212 0.0305666588290618 0 0.00611333176581237 0.187162003291794 0.467905008229485 0
Agelaius_phoeniceus 0.0767272408041436 0.306908963216575 0.0767272408041436 0.0232639803353525 0 0.116319901676762 0.0450355543850408 0 0 0.0591695197963304 0.295847598981652 0
Agkistrodon_contortrix 0 0.13875257928595 0.0693762896429748 0 0 0.154115586690018 0.00645038234121135 0 0 0.0526087635033206 0.578696398536526 0
Agonostomus_monticola 0.0628130233435807 0.136094883911092 0.0314065116717904 0.15730381249656 0.0242005865379323 0.296457185089671 0.0163538726442168 0.00102211704026355 0.00511058520131775 0.0582134966623947 0.189193864152783 0.021830061248398
Ailuropoda_melanoleuca 0 0.137582529202641 0.229304215337735 0.0159471813103098 0.0318943626206196 0.223260538344337 0.0776536312849162 0.00705942102590147 0 0.121317927882174 0.155980192991366 0
Alburnus_alburnus 0.036873502747898 0.55310254121847 0.036873502747898 0.0139038940297806 0 0.0278077880595613 0.2076189581474 0 0.0244257597820471 0 0.0993940532669454 0
Alectoris_chukar 0.0217269935796036 0.0869079743184144 0.173815948636829 0.0133467479296548 0 0.0756315716013771 0.0182958034800409 0 0.0016632548618219 0.315576439936727 0.293035265655532 0
Alectoris_rufa 0 0.329168112923753 0.0548613521539589 0 0 0.0652551197500868 0.0288865748775502 0.00412665355393575 0 0.172567395580238 0.345134791160477 0
Alethe_poliocephala 0.0228276031837204 0.273931238204644 0.114138015918602 0.03779437105112 0 0.145778288340034 0.0557807499794863 0 0 0.0874374333305982 0.247739394436695 0.0145729055550997
Anaecypris_hispanica 0.0336887889983912 0.202132733990347 0.0336887889983912 0 0 0.0629390982367351 0.220371732785732 0 0.030050690834418 0.0736108528510563 0.343517313304929 0
Anguilla_bicolor_bicolor 0.103858907911867 0.415435631647466 0.0346196359706222 0.0204269116455012 0 0.129370440421508 0.0531748176168603 0 0.00221561740070251 0.0314214831372356 0.199002726535826 0.0104738277124119
Anguilla_luzonensis 0 0.42280930637095 0.16912372254838 0 0 0.103609480321809 0.126636225266362 0 0 0.0592737551641661 0.118547510328332 0
Anourosorex_squamipes 0.0322415106623955 0.177328308643175 0.0644830213247911 0.0189307537713434 0.00473268844283586 0.179842160827763 0.0342523663442214 0.000925739630924903 0.000925739630924903 0.0866080854709743 0.393067464829806 0.00666216042084418
Anser_cygnoides 0 0.573568858357867 0.0521426234870788 0 0.00817795224075891 0.0654236179260713 0.122669283611384 0.00817795224075891 0 0.0424599280340203 0.127379784102061 0
Aotus_nancymaae 0 0.110957278481013 0.0369857594936709 0 0 0.372626582278481 0.0162183544303797 0.00540611814345992 0 0 0.429193037974684 0.0286128691983122
Apodemus_chevrieri 0 0.548958958496838 0.0499053598633489 0.0150500900235446 0 0.0752504501177231 0.0798208762291676 0 0 0.0577535663173445 0.173260698952034 0
Apodemus_flavicollis 0.0649892527500316 0.194967758250095 0.0649892527500316 0.0371728410671387 0 0.204450625869263 0.00749146541914275 0 0.00249715513971425 0.149449993678088 0.249083322796814 0.0249083322796814
Apodemus_ilex 0.212105044452539 0.2757365577883 0.0424210088905077 0.0511883936037594 0.00639854920046992 0.262340517219267 0.0115120019289272 0.000523272814951238 0 0.0387491214659847 0.0990255326352942 0
